Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,评估日期,病程记录
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,各年龄段
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,人群特征

Diagnosis,allergic_rhinitis,变应性鼻炎,boolean,,,,,Y,AR诊断,IgE介导
Diagnosis,ar_classification_duration,病程分类,categorical,,"Intermittent,Persistent",,,Y,间歇性<4天周或<4周/持续性≥4天周且≥4周,ARIA分类
Diagnosis,ar_classification_severity,严重度分类,categorical,,"Mild,Moderate_Severe",,,Y,轻度/中重度,ARIA分类
Diagnosis,confirmed_by,确诊方式,categorical,,"Clinical,SPT,Specific_IgE",,,Y,临床/皮肤点刺试验/血清特异性IgE,诊断依据

Onset,onset_age,发病年龄,integer,years,0-120,,,Y,起病年龄,儿童青少年多见
Onset,disease_duration,病程,integer,years,0-100,,,Y,病程年数,慢性病程
Onset,seasonal_pattern,季节性模式,categorical,,"Perennial,Seasonal_Spring,Seasonal_Summer,Seasonal_Fall,Seasonal_Winter,Mixed",,,Y,常年性/春季/夏季/秋季/冬季/混合,变应原暴露模式

Cardinal_Symptoms,sneezing,喷嚏,boolean,,,,,Y,阵发性喷嚏,经典四大症状
Cardinal_Symptoms,sneezing_severity,喷嚏严重度,categorical,,"Mild,Moderate,Severe",,,Y,轻/中/重,症状评估
Cardinal_Symptoms,rhinorrhea,流涕,boolean,,,,,Y,清水样鼻涕,经典症状
Cardinal_Symptoms,rhinorrhea_severity,流涕严重度,categorical,,"Mild,Moderate,Severe",,,Y,轻/中/重,症状评估
Cardinal_Symptoms,nasal_congestion,鼻塞,boolean,,,,,Y,鼻腔阻塞,经典症状
Cardinal_Symptoms,congestion_severity,鼻塞严重度,categorical,,"Mild,Moderate,Severe",,,Y,轻/中/重,症状评估
Cardinal_Symptoms,nasal_itching,鼻痒,boolean,,,,,Y,鼻腔瘙痒,经典症状
Cardinal_Symptoms,itching_severity,鼻痒严重度,categorical,,"Mild,Moderate,Severe",,,Y,轻/中/重,症状评估

Associated_Symptoms,eye_symptoms,眼部症状,boolean,,,,,N,眼痒/流泪/红,变应性结膜炎
Associated_Symptoms,ear_symptoms,耳部症状,boolean,,,,,N,耳痒/耳闷,咽鼓管功能
Associated_Symptoms,palate_throat_itching,腭咽部痒,boolean,,,,,N,软腭/咽部瘙痒,变态反应
Associated_Symptoms,cough,咳嗽,boolean,,,,,N,咳嗽,鼻后滴漏
Associated_Symptoms,headache,头痛,boolean,,,,,N,头痛,鼻窦炎
Associated_Symptoms,fatigue,疲劳,boolean,,,,,N,乏力,慢性炎症
Associated_Symptoms,sleep_disturbance,睡眠障碍,boolean,,,,,N,睡眠质量差,鼻塞影响

Triggers,dust_mites,尘螨,boolean,,,,,Y,屋尘螨/粉尘螨,常年性最常见
Triggers,pollen,花粉,boolean,,,,,Y,树/草/杂草花粉,季节性
