Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,presentation_date,就诊日期,datetime,,,,,Y,就诊时间,病程
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,老年谵妄多见
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征

AMS_Type,mental_status_change,意识状态改变,categorical,,Confusion,Delirium,Lethargy,Obtundation,Stupor,Coma,,,Y,意识模糊/谵妄/嗜睡/迟钝/昏睡/昏迷,意识水平
AMS_Type,onset,起病,categorical,,Acute,Subacute,Chronic,Acute_on_Chronic,,,Y,急性/亚急性/慢性/急性加慢性,病程
AMS_Type,onset_duration,起病时长,integer,hours,0-720,,,Y,症状持续时间,急性<hours

Presentation,confusion,意识模糊,boolean,,,,,Y,定向力障碍,常见表现
Presentation,disorientation,定向力障碍,categorical,,None,Time,Place,Person,,,Y,无/时间/地点/人物,定向评估
Presentation,agitation,躁动,boolean,,,,,N,精神运动性兴奋,谵妄
Presentation,hallucinations,幻觉,boolean,,,,,N,视幻觉/听幻觉,谵妄
Presentation,inappropriate_behavior,不当行为,boolean,,,,,N,行为异常,精神症状
Presentation,slurred_speech,言语不清,boolean,,,,,N,构音障碍,脑干/小脑
Presentation,inability_to_follow_commands,不能服从指令,boolean,,,,,Y,指令执行,意识障碍
Presentation,seizure_witnessed,目击癫痫发作,boolean,,,,,Y,抽搐,癫痫后状态

GCS,gcs_total,GCS总分,integer,,3-15,9269-2,,Y,格拉斯哥昏迷评分,意识严重度
GCS,gcs_eye,睁眼反应,integer,,1-4,9267-6,,Y,E,自主4/语言3/疼痛2/无1
GCS,gcs_verbal,语言反应,integer,,1-5,9270-0,,Y,V,定向5/混乱4/单词3/发音2/无1
GCS,gcs_motor,运动反应,integer,,1-6,9268-4,,Y,M,遵嘱6/定位5/躲避4/屈曲3/伸展2/无1
GCS,gcs_severity,GCS严重度,categorical,,Coma,Severe,Moderate,Mild,,,Y,昏迷3-8/重度9-12/中度13/轻度14-15,意识状态

AVPU,avpu_scale,AVPU量表,categorical,,Alert,Voice,Pain,Unresponsive,,,Y,清醒/语言反应/疼痛反应/无反应,快速评估

CAM,cam_performed,CAM评估,boolean,,,,,N,谵妄评估方法,ICU谵妄
CAM,cam_positive,CAM阳性,boolean,,,,,N,谵妄诊断,4项特征
CAM,cam_acute_onset,急性起病或波动,boolean,,,,,N,特征1,必需
CAM,cam_inattention,注意力不集中,boolean,,,,,N,特征2,必需
CAM,cam_disorganized_thinking,思维紊乱,boolean,,,,,N,特征3,3或4
CAM,cam_altered_consciousness,意识水平改变,boolean,,,,,N,特征4,3或4

Vital_Signs,sbp,收缩压,integer,mmHg,0-300,8480-6,,Y,收缩压,低血压/高血压脑病
Vital_Signs,dbp,舒张压,integer,mmHg,0-200,8462-4,,Y,舒张压,灌注
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,心率,心律失常
Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,呼吸频率,呼吸衰竭
Vital_Signs,temperature,体温,decimal,°C,30-42,8310-5,,Y,体温,低体温/高热/感染
Vital_Signs,spo2,血氧饱和度,decimal,%,0-100,59408-5,,Y,SpO2,低氧血症
Vital_Signs,glucose_poc,即时血糖,decimal,mmol/L,0-50,2345-7,,Y,POC血糖,低血糖/高血糖

Neurological_Exam,pupils,瞳孔,categorical,,Equal_Reactive,Unequal,Dilated,Pinpoint,Nonreactive,,,Y,等大等圆/不等/散大/针尖/无反应,脑干功能
Neurological_Exam,pupil_size,瞳孔大小,categorical,,Normal,Miosis,Mydriasis,,,Y,正常2-4mm/缩小<2/散大>6,药物/脑疝
Neurological_Exam,light_reflex,光反射,categorical,,Brisk,Sluggish,Absent,,,Y,灵敏/迟钝/消失,脑干功能
Neurological_Exam,focal_deficits,局灶性神经体征,boolean,,,,,Y,偏瘫/失语/共济失调,卒中/占位
Neurological_Exam,meningeal_signs,脑膜刺激征,boolean,,,,,Y,颈项强直/Kernig/Brudzinski,脑膜炎
Neurological_Exam,pathological_reflexes,病理反射,boolean,,,,,N,Babinski征,锥体束损害

AEIOU_TIPS,aeiou_tips_mnemonic,AEIOU TIPS记忆法,string,,,,,Y,AMS鉴别诊断,病因评估
AEIOU_TIPS,alcohol,酒精,boolean,,,,,Y,A-酒精中毒,常见原因
AEIOU_TIPS,epilepsy,癫痫,boolean,,,,,Y,E-癫痫后状态,Todd麻痹
AEIOU_TIPS,insulin,胰岛素,boolean,,,,,Y,I-低血糖/高血糖,糖尿病
AEIOU_TIPS,opiates_overdose,阿片类过量,boolean,,,,,Y,O-药物过量,呼吸抑制
AEIOU_TIPS,uremia,尿毒症,boolean,,,,,Y,U-尿毒症,代谢性脑病
AEIOU_TIPS,trauma,创伤,boolean,,,,,Y,T-颅脑外伤,硬膜下血肿
AEIOU_TIPS,infection,感染,boolean,,,,,Y,I-感染,脑炎/脑膜炎/脓毒症
AEIOU_TIPS,psychiatric,精神疾病,boolean,,,,,Y,P-精神疾病,转换障碍/假性发作
AEIOU_TIPS,stroke,卒中,boolean,,,,,Y,S-脑卒中,缺血/出血

Labs,glucose,血糖,decimal,mmol/L,0-50,2345-7,,Y,GLU,<3.0低血糖/>16.7高血糖
Labs,sodium,钠,decimal,mmol/L,0-200,2951-2,,Y,Na+,低钠/高钠血症
Labs,potassium,钾,decimal,mmol/L,0-10,2823-3,,Y,K+,电解质紊乱
Labs,calcium,钙,decimal,mmol/L,0-5,17861-6,,Y,Ca2+,低钙高钙
Labs,creatinine,肌酐,decimal,μmol/L,0-2000,2160-0,,Y,Cr,肾衰竭
Labs,bun,尿素氮,decimal,mmol/L,0-100,3094-0,,Y,BUN,尿毒症
Labs,ammonia,血氨,decimal,μmol/L,0-300,1845-7,,N,NH3,肝性脑病
Labs,lactate,乳酸,decimal,mmol/L,0-20,2524-7,,Y,Lac,组织低灌注/脓毒症
Labs,hemoglobin,血红蛋白,decimal,g/L,0-250,718-7,,Y,Hb,严重贫血

ABG,ph,pH值,decimal,,6.8-7.8,2744-1,,Y,酸碱度,酸碱失衡
ABG,pao2,动脉血氧分压,decimal,mmHg,0-600,2703-7,,Y,PaO2,低氧血症
ABG,paco2,动脉二氧化碳分压,decimal,mmHg,0-150,2019-8,,Y,PaCO2,高碳酸血症
ABG,hco3,碳酸氢根,decimal,mmol/L,0-50,1959-6,,Y,HCO3-,代谢性酸碱

Infection_Workup,wbc,白细胞计数,decimal,×10⁹/L,0-100,6690-2,,Y,WBC,感染
Infection_Workup,procalcitonin,降钙素原,decimal,ng/mL,0-200,33959-8,,N,PCT,细菌感染
Infection_Workup,crp,C反应蛋白,decimal,mg/L,0-500,1988-5,,N,CRP,炎症
Infection_Workup,blood_culture,血培养,boolean,,,,,Y,血培养,脓毒症
Infection_Workup,urinalysis,尿液分析,boolean,,,,,Y,尿检,UTI
Infection_Workup,chest_xray,胸部X线,categorical,,Normal,Pneumonia,Not_Done,,,Y,正常/肺炎,肺部感染

Toxicology,drug_screen,药物筛查,boolean,,,,,Y,尿液/血液毒物筛查,药物过量
Toxicology,acetaminophen_level,对乙酰氨基酚水平,decimal,μg/mL,0-500,3298-8,,N,扑热息痛,肝毒性
Toxicology,salicylate_level,水杨酸盐水平,decimal,mg/dL,0-100,3309-3,,N,阿司匹林,酸中毒
Toxicology,alcohol_level,血醇浓度,decimal,mg/dL,0-500,5640-8,,Y,乙醇,中毒
Toxicology,carbon_monoxide,一氧化碳,decimal,%,0-50,2030-5,,N,COHb,CO中毒

Liver_Function,alt,丙氨酸转氨酶,decimal,U/L,0-3000,1742-6,,Y,ALT,肝功能
Liver_Function,ast,天冬氨酸转氨酶,decimal,U/L,0-3000,1920-8,,Y,AST,肝损伤
Liver_Function,total_bilirubin,总胆红素,decimal,μmol/L,0-500,1975-2,,Y,TBil,肝性脑病
Liver_Function,inr,国际标准化比值,decimal,,0-10,6301-6,,Y,INR,肝合成功能

Thyroid,tsh,促甲状腺激素,decimal,mIU/L,0-100,3016-3,,N,TSH,甲减/甲亢
Thyroid,free_t4,游离甲状腺素,decimal,pmol/L,0-100,3024-7,,N,FT4,甲状腺功能

Lumbar_Puncture,lp_performed,腰椎穿刺,boolean,,,,,N,LP,脑膜炎/蛛网膜下腔出血
Lumbar_Puncture,opening_pressure,开放压,decimal,cmH2O,0-60,,,N,OP,颅内压,正常<20 cmH2O
Lumbar_Puncture,csf_appearance,脑脊液外观,categorical,,Clear,Cloudy,Bloody,Xanthochromic,,,N,清亮/混浊/血性/黄变,感染/出血
Lumbar_Puncture,csf_wbc,CSF白细胞,decimal,×10⁶/L,0-10000,26465-5,,N,CSF WBC,>5提示炎症
Lumbar_Puncture,csf_rbc,CSF红细胞,decimal,×10⁶/L,0-100000,26466-3,,N,CSF RBC,出血/穿刺损伤
Lumbar_Puncture,csf_glucose,CSF葡萄糖,decimal,mmol/L,0-10,2349-9,,N,CSF GLU,<2.2细菌性脑膜炎
Lumbar_Puncture,csf_protein,CSF蛋白,decimal,g/L,0-10,2880-3,,N,CSF蛋白,>0.45升高
Lumbar_Puncture,csf_gram_stain,CSF革兰染色,categorical,,Negative,Positive,Not_Done,,,N,阴性/阳性,细菌
Lumbar_Puncture,csf_culture,CSF培养,categorical,,Negative,Positive,Pending,Not_Done,,,N,阴性/阳性/待定,病原体

CT_Head,ct_head_performed,头颅CT,boolean,,,,,Y,NCCT,结构性病变
CT_Head,ct_result,CT结果,categorical,,Normal,Ischemic_Stroke,ICH,SAH,Mass_Lesion,Hydrocephalus,Atrophy,,,Y,正常/缺血性卒中/脑出血/蛛网膜下腔出血/占位/脑积水/萎缩,诊断
CT_Head,mass_effect,占位效应,boolean,,,,,N,中线移位/脑疝,颅高压

MRI_Brain,mri_performed,头颅MRI,boolean,,,,,N,MRI,精确诊断
MRI_Brain,mri_result,MRI结果,categorical,,Normal,Acute_Infarct,Hemorrhage,Encephalitis,Demyelination,Tumor,,,N,正常/急性梗死/出血/脑炎/脱髓鞘/肿瘤,病因

EEG,eeg_performed,脑电图,boolean,,,,,N,EEG,癫痫/脑病
