schema,fields,numeric_fields,boolean_fields,date_fields,enum_hint_fields,unit_fields,numeric_ratio,enum_ratio,unit_ratio
dermatological-metabolism-schema,299,9,15,1,0,0,0.03,0.0,0.0
pulmonary-function-metabolism-schema,294,96,15,2,2,0,0.327,0.007,0.0
family-support-assessment-schema,258,165,13,4,1,0,0.64,0.004,0.0
systematic-physical-examination-schema,253,16,19,1,0,0,0.063,0.0,0.0
cardiovascular-metabolic-risk-schema,253,175,24,6,42,144,0.692,0.166,0.569
gestational-diabetes-schema,249,113,28,6,105,70,0.454,0.422,0.281
diabetic-retinopathy-schema,239,51,26,9,124,36,0.213,0.519,0.151
reproductive-endocrine-metabolism-schema,239,90,34,1,113,74,0.377,0.473,0.31
peripheral-vascular-disease-schema,229,69,19,4,97,43,0.301,0.424,0.188
digestive-metabolism-function-schema,217,81,10,4,1,0,0.373,0.005,0.0
multidisciplinary-consultation-record-schema,214,15,13,4,2,0,0.07,0.009,0.0
diabetic-neuropathy-schema,205,75,42,1,92,53,0.366,0.449,0.259
endocrine-disease-rehabilitation-assessment-schema,203,34,20,2,1,0,0.167,0.005,0.0
diabetes-nursing-assessment-schema,201,33,21,7,3,0,0.164,0.015,0.0
psychiatric-psychological-metabolism-assessment-schema,199,32,3,3,2,0,0.161,0.01,0.0
nutrition-knowledge-behavior-assessment-schema,197,119,31,2,3,0,0.604,0.015,0.0
colonoscopy-report-schema,196,19,9,5,132,9,0.097,0.673,0.046
diabetic-nephropathy-schema,190,103,26,2,30,94,0.542,0.158,0.495
hypoglycemia-risk-assessment-schema,187,47,11,2,5,0,0.251,0.027,0.0
nutrition-energy-metabolism-schema,184,125,37,2,59,108,0.679,0.321,0.587
blood-glucose-monitoring-skills-assessment-schema,183,123,13,4,1,0,0.672,0.005,0.0
diabetes-self-management-assessment-schema,182,134,3,1,2,0,0.736,0.011,0.0
insulin-injection-technique-assessment-schema,177,97,12,5,4,0,0.548,0.023,0.0
medication-adherence-assessment-schema,176,70,5,2,5,0,0.398,0.028,0.0
diabetes-quality-of-life-assessment-schema,176,109,6,2,5,0,0.619,0.028,0.0
pancreatic-cancer-schema,170,50,26,1,99,38,0.294,0.582,0.224
gastroscopy-report-schema,169,12,6,3,116,4,0.071,0.686,0.024
immune-inflammation-metabolism-schema,167,96,11,1,0,0,0.575,0.0,0.0
vascular-endothelial-function-schema,160,116,8,3,0,0,0.725,0.0,0.0
hypothyroidism-schema,154,31,12,5,84,28,0.201,0.545,0.182
pediatric-developmental-metabolism-schema,150,60,12,3,0,0,0.4,0.0,0.0
metabolic-syndrome-schema,149,94,15,1,57,72,0.631,0.383,0.483
exercise-metabolism-function-schema,147,80,2,1,3,0,0.544,0.02,0.0
hyperthyroidism-schema,146,34,12,3,75,26,0.233,0.514,0.178
arrhythmia-schema,140,29,4,4,76,19,0.207,0.543,0.136
pharmacogenomic-testing-schema,140,8,25,2,1,0,0.057,0.007,0.0
coronary-artery-disease-metabolic-syndrome-schema,133,64,37,2,56,44,0.481,0.421,0.331
diabetic-foot-schema,132,25,59,3,53,20,0.189,0.402,0.152
bone-metabolism-schema,129,63,18,1,56,51,0.488,0.434,0.395
pituitary-function-schema,129,52,11,1,71,49,0.403,0.55,0.38
helicobacter-pylori-schema,123,21,8,7,68,16,0.171,0.553,0.13
gut-microbiome-schema,120,68,31,2,37,45,0.567,0.308,0.375
diabetic-cardiomyopathy-schema,117,30,39,1,52,25,0.256,0.444,0.214
adrenal-incidentaloma-schema,108,19,48,2,39,13,0.176,0.361,0.12
nutrition-genomics-schema,108,7,3,4,1,0,0.065,0.009,0.0
disorders-of-puberty-schema,107,30,41,2,35,28,0.28,0.327,0.262
thyroid-function-comprehensive-schema,104,28,19,2,70,26,0.269,0.673,0.25
adrenal-function-schema,104,45,18,1,49,42,0.433,0.471,0.404
lipid-metabolism-schema,101,47,5,1,48,41,0.465,0.475,0.406
hypertension-comprehensive-schema,98,57,5,5,40,46,0.582,0.408,0.469
familial-hypocalciuric-hypercalcemia-schema,94,18,44,1,34,12,0.191,0.362,0.128
cushings-syndrome-evaluation-schema,93,25,7,2,60,21,0.269,0.645,0.226
tumor-markers-comprehensive-schema,91,18,17,1,33,15,0.198,0.363,0.165
hepatitis-b-screening-schema,90,35,10,3,49,12,0.389,0.544,0.133
insulin-resistance-schema,79,55,4,1,19,46,0.696,0.241,0.582
eye-fundus-schema,77,12,1,19,58,2,0.156,0.753,0.026
lung-nodule-ct-schema,72,0,0,0,0,0,0.0,0.0,0.0
cervical-cancer-screening-schema,69,0,0,0,0,0,0.0,0.0,0.0
colorectal-cancer-screening-schema,69,0,0,0,0,0,0.0,0.0,0.0
diabetes-comprehensive-schema,67,40,3,1,23,33,0.597,0.343,0.493
renal-ultrasound-schema,60,30,1,1,23,14,0.5,0.383,0.233
vital-signs-schema,50,27,4,3,20,20,0.54,0.4,0.4
blood-glucose-monitoring-schema,48,11,3,6,23,7,0.229,0.479,0.146
breast-imaging-schema,46,5,2,1,28,1,0.109,0.609,0.022
chest-xray-schema,42,4,8,1,35,1,0.095,0.833,0.024
pregnancy-complications-schema,39,24,2,1,6,22,0.615,0.154,0.564
electrocardiogram-schema,37,11,4,1,25,9,0.297,0.676,0.243
carotid-artery-ultrasound-schema,37,14,15,1,14,6,0.378,0.378,0.162
urine-routine-schema,35,8,2,1,17,13,0.229,0.486,0.371
blood-biochemistry-schema,34,31,3,1,0,30,0.912,0.0,0.882
non-diabetic-renal-disease-schema,33,15,6,1,9,14,0.455,0.273,0.424
sex-specific-hormone-therapy-schema,32,19,2,1,6,19,0.594,0.188,0.594
lifestyle-wearable-monitoring-schema,27,17,1,4,4,17,0.63,0.148,0.63
blood-routine-schema,27,23,6,1,1,23,0.852,0.037,0.852
