Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,record_id,记录ID,string,,,,,Y,唯一标识,数据追踪
Basic_Info,reporting_period,报告周期,categorical,,Monthly,Quarterly,Annual,,,Y,月度/季度/年度,统计周期
Basic_Info,reporting_date,报告日期,date,,,,,Y,报告时间,时效性
Basic_Info,department,科室,string,,,,,Y,临床科室,部门归属
Basic_Info,hospital_level,医院级别,categorical,,Tertiary,Secondary,Primary,,,Y,三级/二级/一级,机构层级
Quality_Indicators,total_admissions,总入院人次,integer,,0-1000000,,,Y,统计期内入院数,分母数据
Quality_Indicators,total_surgeries,总手术例数,integer,,0-100000,,,N,手术量,外科质量分母
Quality_Indicators,bed_occupancy_rate,床位使用率,float,%,0-150,,,Y,实际占用床日/床位数,医疗资源利用
Quality_Indicators,average_los,平均住院日,float,days,1-100,,,Y,总住院日/出院人次,效率指标
Quality_Indicators,readmission_rate_30d,30日再入院率,float,%,0-50,,,Y,30日内非计划再入院比例,医疗质量
Quality_Indicators,emergency_readmission_rate,急诊再入院率,float,%,0-30,,,N,急诊非计划再入院,质量敏感指标
Quality_Indicators,in_hospital_mortality,院内死亡率,float,%,0-20,,,Y,住院期间死亡比例,安全指标
Quality_Indicators,surgical_mortality,手术死亡率,float,%,0-10,,,N,术后住院期间死亡,手术安全
Quality_Indicators,icu_mortality,ICU死亡率,float,%,0-50,,,N,ICU病死率,重症救治
Quality_Indicators,complication_rate,并发症发生率,float,%,0-50,,,Y,Clavien-Dindo≥II级并发症,医疗质量
Quality_Indicators,unplanned_return_or,非计划再次手术率,float,%,0-20,,,N,同次住院非计划二次手术,手术质量
Patient_Safety,total_safety_incidents,患者安全事件总数,integer,,0-10000,,,Y,上报事件数,安全文化
Patient_Safety,incident_severity,事件严重度分布,string,,,,,Y,无伤害/轻度/中度/重度/死亡例数,伤害分级
Patient_Safety,sentinel_events,哨点事件,integer,,0-100,,,Y,严重不良事件数,医疗安全核心
Patient_Safety,medication_errors,用药错误,integer,,0-5000,,,Y,用药差错事件,药物安全
Patient_Safety,falls_with_injury,跌倒伤害,integer,,0-1000,,,Y,导致伤害的跌倒,护理质量
Patient_Safety,pressure_injury_stage_iii_iv,III/IV期压力性损伤,integer,,0-500,,,Y,院内获得性严重压疮,护理敏感指标
