Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,admission_date,入院日期,date,,,,,Y,入院时间,急诊手术时间线
Basic_Info,age,年龄,integer,years,1-120,,,Y,患者年龄,儿童vs成人
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学
Presentation,symptom_onset,症状起始时间,datetime,,,,,Y,腹痛开始时间,病程评估
Presentation,pain_location,疼痛部位,categorical,,Periumbilical,Right_Lower_Quadrant,Diffuse,,,Y,脐周/右下腹/弥漫,转移性右下腹痛
Presentation,pain_duration,疼痛持续时间,integer,hours,0-240,,,Y,症状持续小时数,穿孔风险
Presentation,nausea_vomiting,恶心呕吐,boolean,,,,,Y,有/无,经典三联征
Presentation,anorexia,厌食,boolean,,,,,Y,食欲减退,炎症反应
Presentation,fever,发热,boolean,,,,,Y,发热史,感染征象
Physical_Exam,mcburney_tenderness,麦氏点压痛,boolean,,,,,Y,右下腹固定压痛,阑尾炎体征
Physical_Exam,rebound_tenderness,反跳痛,boolean,,,,,Y,腹膜刺激征,腹膜炎
Physical_Exam,rovsing_sign,Rovsing征,boolean,,,,,N,左下腹压痛右下腹痛,阑尾炎特征
Physical_Exam,psoas_sign,腰大肌试验,boolean,,,,,N,右髋屈曲疼痛,阑尾位置
Physical_Exam,obturator_sign,闭孔内肌试验,boolean,,,,,N,右髋内旋疼痛,盆腔阑尾
Vital_Signs,temperature,体温,decimal,℃,35-42,8310-5,,Y,体温,发热程度
Vital_Signs,heart_rate,心率,integer,bpm,40-200,8867-4,,Y,心率,全身反应
Vital_Signs,blood_pressure,血压,string,,,,,Y,收缩压/舒张压,血流动力学
Labs,wbc_count,白细胞计数,decimal,×10⁹/L,0-50,6690-2,,Y,WBC,感染指标
Labs,neutrophil_percentage,中性粒细胞百分比,decimal,%,0-100,770-8,,Y,N%,核左移
Labs,crp,C反应蛋白,decimal,mg/L,0-500,1988-5,,Y,CRP,炎症标志物
Labs,procalcitonin,降钙素原,decimal,ng/mL,0-100,33959-8,,N,PCT,细菌感染
Labs,urinalysis,尿常规,categorical,,Normal,Abnormal,,,N,正常/异常,排除泌尿系统
Imaging,ultrasound,超声检查,categorical,,Not_Done,Normal,Appendicitis,Perforation,Abscess,,,Y,未做/正常/阑尾炎/穿孔/脓肿,首选影像学
Imaging,appendix_diameter,阑尾直径,decimal,mm,0-30,,,N,超声/CT测量,>6mm异常
Imaging,ct_scan,CT检查,categorical,,Not_Done,Normal,Appendicitis,Perforation,Abscess,,,N,未做/正常/阑尾炎/穿孔/脓肿,CT诊断金标准
Imaging,free_fluid,腹腔游离液,boolean,,,,,N,有/无,炎症渗出
Scoring,alvarado_score,Alvarado评分,integer,,0-10,,,Y,0-10分,诊断评分
Scoring,appendicitis_probability,阑尾炎可能性,categorical,,Low_Risk,Intermediate_Risk,High_Risk,,,Y,低危<4分/中危5-6分/高危7-10分,手术决策
Diagnosis,final_diagnosis,最终诊断,categorical,,Acute_Simple_Appendicitis,Gangrenous_Appendicitis,Perforated_Appendicitis,Appendiceal_Abscess,Negative_Appendicitis,,,Y,急性单纯/坏疽性/穿孔性/阑尾周围脓肿/阴性阑尾炎,病理分型
Diagnosis,complicated_appendicitis,复杂性阑尾炎,boolean,,,,,Y,穿孔/脓肿/坏疽,预后关键
Treatment_Decision,management_strategy,治疗策略,categorical,,Conservative,Interval_Appendectomy,Emergency_Surgery,,,Y,保守治疗/择期手术/急诊手术,治疗决策
Treatment_Conservative,antibiotics_only,单纯抗生素治疗,boolean,,,,,N,非手术治疗,儿童/早期
Treatment_Conservative,percutaneous_drainage,经皮引流,boolean,,,,,N,脓肿穿刺引流,脓肿治疗
Surgery_Timing,time_to_surgery,症状至手术时间,integer,hours,0-240,,,N,病程至手术小时数,延迟手术风险
Surgery_Approach,surgical_approach,手术方式,categorical,,Open,Laparoscopic,Converted,,,Y,开放/腹腔镜/中转开放,手术入路
Surgery_Approach,incision_type,切口类型,categorical,,McBurney,Midline,Pfannenstiel,Port_Sites,,,N,麦氏切口/正中/Pfannenstiel/戳孔,开放手术切口
Surgery_Procedure,appendectomy_technique,阑尾切除技术,categorical,,Simple_Appendectomy,Cecectomy,Right_Hemicolectomy,,,N,单纯阑尾切除/盲肠部分切除/右半结肠切除,手术范围
Surgery_Procedure,peritoneal_lavage,腹腔冲洗,boolean,,,,,N,腹腔灌洗,穿孔/腹膜炎
