Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,心律失常确诊日期,诊断时间点
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,年龄相关心律失常
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,性别差异

Arrhythmia_Type,primary_arrhythmia,主要心律失常,categorical,,,"Atrial_Fibrillation,Atrial_Flutter,SVT,VT,VF,Bradycardia,AV_Block,Sinus_Node_Dysfunction,PVC,PAC,WPW,Long_QT,Brugada,Other",,,Y,心律失常类型,诊断分类
Arrhythmia_Type,arrhythmia_mechanism,发生机制,categorical,,,"Reentry,Automaticity,Triggered_Activity,Unknown",,,N,电生理机制,病理生理
Arrhythmia_Type,structural_heart_disease,结构性心脏病,categorical,,,"Yes,No,Unknown",,,N,是否有器质性心脏病,预后影响

Atrial_Fibrillation,af_diagnosis,房颤诊断,categorical,,,"Yes,No",,,N,是否房颤,最常见心律失常
Atrial_Fibrillation,af_type,房颤类型,categorical,,,"Paroxysmal,Persistent,Long_Standing_Persistent,Permanent,First_Detected,NA",,,N,房颤分型,治疗策略
Atrial_Fibrillation,af_onset_date,房颤起始日期,date,,,,,N,首次发现房颤时间,病程评估
Atrial_Fibrillation,af_duration,房颤持续时间,categorical,,,"Less_than_7_days,7_days_to_1_year,More_than_1_year,Unknown,NA",,,N,持续性评估,复律决策
Atrial_Fibrillation,af_symptoms,房颤症状,categorical,,,"Palpitations,Dyspnea,Fatigue,Chest_Pain,Syncope,Asymptomatic,Multiple",,,N,症状表现,生活质量
Atrial_Fibrillation,ehra_score,EHRA症状评分,categorical,,,"I,II,III,IV,NA",,,N,欧洲心律学会症状分级,症状严重度
Atrial_Fibrillation,chadsvasc_score,CHA2DS2-VASc评分,integer,,0-9,,,N,卒中风险评分,抗凝决策
Atrial_Fibrillation,hasbled_score,HAS-BLED评分,integer,,0-9,,,N,出血风险评分,抗凝安全性
Atrial_Fibrillation,af_burden,房颤负荷,decimal,%,0-100,,,N,房颤时间占比,监测数据
Atrial_Fibrillation,lone_af,孤立性房颤,categorical,,,"Yes,No,NA",,,N,无结构性心脏病的房颤,预后较好

Atrial_Flutter,flutter_diagnosis,房扑诊断,categorical,,,"Yes,No",,,N,是否房扑,规律房性心律失常
Atrial_Flutter,flutter_type,房扑类型,categorical,,,"Typical_CTI_Dependent,Atypical,NA",,,N,房扑分型,消融策略
Atrial_Flutter,flutter_rate,房扑率,integer,bpm,150-400,,,N,心房率,典型250-350

SVT,svt_diagnosis,室上速诊断,categorical,,,"Yes,No",,,N,是否室上性心动过速,阵发性心动过速
SVT,svt_type,室上速类型,categorical,,,"AVNRT,AVRT,Atrial_Tachycardia,Junctional_Tachycardia,Multifocal_AT,NA",,,N,SVT分型,消融靶点
SVT,svt_rate,室上速心率,integer,bpm,100-300,,,N,发作时心率,典型150-250
SVT,svt_frequency,发作频率,categorical,,,"Daily,Weekly,Monthly,Yearly,Rare,NA",,,N,发作频次,生活影响
SVT,vagal_maneuver_response,迷走神经刺激反应,categorical,,,"Terminates,No_Effect,Not_Tried,NA",,,N,Valsalva动作效果,AVNRT特征
SVT,adenosine_response,腺苷反应,categorical,,,"Terminates,No_Effect,Not_Given,NA",,,N,腺苷终止效果,诊断治疗

Ventricular_Arrhythmia,vt_diagnosis,室速诊断,categorical,,,"Yes,No",,,N,是否室性心动过速,危险心律失常
Ventricular_Arrhythmia,vt_type,室速类型,categorical,,,"Sustained,Non_Sustained,Polymorphic,Monomorphic,Torsades_de_Pointes,NA",,,N,室速分型,危险分层
Ventricular_Arrhythmia,vt_rate,室速心率,integer,bpm,100-300,,,N,室速时心率,血流动力学
Ventricular_Arrhythmia,vt_morphology,室速形态,categorical,,,"RBBB,LBBB,RVOT,LV_Fascicular,Scar_Related,NA",,,N,QRS形态,起源部位
Ventricular_Arrhythmia,hemodynamic_stability,血流动力学,categorical,,,"Stable,Unstable,NA",,,N,是否血流动力学稳定,紧急程度
Ventricular_Arrhythmia,vf_episode,室颤发作,categorical,,,"Yes,No",,,N,是否室颤,心脏骤停
Ventricular_Arrhythmia,scd_aborted,心脏骤停复苏,categorical,,,"Yes,No",,,N,心脏骤停抢救成功,ICD指征
Ventricular_Arrhythmia,pvc_burden,室早负荷,decimal,%,0-100,,,N,PVC占比,>10-15%心肌病风险

Bradycardia,bradycardia_type,缓慢性心律失常,categorical,,,"Sinus_Bradycardia,Sinus_Pause,Sinus_Arrest,Junctional_Rhythm,None",,,N,缓慢类型,起搏指征
Bradycardia,minimum_hr,最低心率,integer,bpm,20-100,8867-4,,N,记录最低心率,症状相关性
Bradycardia,pause_duration,最长停搏,decimal,seconds,0-30,,,N,最长心脏停搏秒数,>3秒有症状
Bradycardia,chronotropic_incompetence,心率反应不良,categorical,,,"Yes,No,Unknown",,,N,运动心率不足,起搏适应证

AV_Block,av_block,房室传导阻滞,categorical,,,"First_Degree,Second_Degree_Mobitz_I,Second_Degree_Mobitz_II,2to1_Block,High_Grade,Third_Degree,None",,,N,AVB类型,起搏指征
