Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,onset_date,起病日期,date,,,,,Y,症状开始,病程
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,发病年龄
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,性别差异
Symptoms,joint_pain,关节痛,boolean,,,,,Y,关节疼痛,炎症性关节炎
Symptoms,morning_stiffness,晨僵,boolean,,,,,Y,晨起僵硬,炎症活动
Symptoms,stiffness_duration,晨僵时长,integer,min,0-360,,,N,持续时间,>30min提示炎症
Symptoms,swollen_joints,关节肿胀,boolean,,,,,Y,关节肿,滑膜炎
Symptoms,fever,发热,boolean,,,,,Y,发热,系统性炎症
Symptoms,rash,皮疹,boolean,,,,,Y,皮肤表现,特异性皮损
Symptoms,muscle_weakness,肌无力,boolean,,,,,Y,肌肉无力,肌炎
Physical_Exam,joint_tenderness,关节压痛,boolean,,,,,Y,触痛,炎症关节
Physical_Exam,joint_swelling,关节肿胀体征,boolean,,,,,Y,肿胀,滑膜增厚/积液
Physical_Exam,limited_range_of_motion,活动受限,boolean,,,,,Y,ROM减少,关节功能
Labs,esr,红细胞沉降率,decimal,mm/h,0-150,4537-7,,Y,ESR,炎症指标
Labs,crp,C反应蛋白,decimal,mg/L,0-500,1988-5,,Y,CRP,急性期反应物
Labs,rf,类风湿因子,categorical,,Negative,Positive,,,Y,RF,自身抗体
Labs,anti_ccp,抗CCP抗体,categorical,,Negative,Positive,,,Y,抗CCP,类风湿关节炎特异性
Labs,ana,抗核抗体,categorical,,Negative,Positive,,,Y,ANA,系统性自身免疫病
Labs,uric_acid,尿酸,decimal,μmol/L,0-1000,3084-1,,Y,UA,痛风诊断
Labs,ck,肌酸激酶,decimal,U/L,0-10000,2157-6,,Y,CK,肌炎标志
Labs,aldolase,醛缩酶,decimal,U/L,0-100,,,N,Aldolase,肌肉损伤
Imaging,xray_joints,关节X线,boolean,,,,,Y,X线检查,结构损害
Imaging,mri_joints,关节MRI,boolean,,,,,N,MRI,滑膜炎/骨髓水肿
Imaging,ultrasound_joints,关节超声,boolean,,,,,N,超声,滑膜增厚/血流
Classification,disease_activity,疾病活动度,categorical,,Remission,Low,Moderate,High,,,Y,缓解/低/中/高,活动性评估
Treatment,nsaids,NSAIDs,boolean,,,,,Y,非甾体抗炎药,症状控制
Treatment,corticosteroids,糖皮质激素,boolean,,,,,Y,激素,抗炎免疫抑制
Treatment,dmards,DMARDs,boolean,,,,,Y,改善病情抗风湿药,甲氨蝶呤等
Treatment,biologics,生物制剂,boolean,,,,,N,TNF抑制剂等,靶向治疗
Outcome,remission,缓解,boolean,,,,,Y,疾病缓解,治疗目标
Outcome,functional_status,功能状态,categorical,,Normal,Mild_Limitation,Moderate_Limitation,Severe_Limitation,,,Y,正常/轻中重度受限,生活质量
Report,rheumatologist,风湿科医师,string,,,,,Y,医师姓名,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
