Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,presentation_date,就诊日期,date,,,,,Y,就诊时间,诊断时点
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,发病年龄
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,性别特异性疾病
Symptoms,lower_urinary_tract_symptoms,下尿路症状,boolean,,,,,Y,LUTS,泌尿症状
Symptoms,urinary_frequency,尿频,boolean,,,,,Y,排尿次数增多,储尿症状
Symptoms,urgency,尿急,boolean,,,,,Y,急迫感,储尿症状
Symptoms,nocturia,夜尿,boolean,,,,,Y,夜间排尿,生活质量
Symptoms,hesitancy,排尿踌躇,boolean,,,,,Y,启动困难,排尿症状
Symptoms,weak_stream,尿流无力,boolean,,,,,Y,尿线细弱,梗阻症状
Symptoms,incomplete_emptying,排尿不尽,boolean,,,,,Y,残余尿感,膀胱功能
Symptoms,hematuria,血尿,boolean,,,,,Y,尿血,肿瘤/结石/感染
Symptoms,dysuria,排尿困难,boolean,,,,,Y,排尿痛,尿路刺激
Symptoms,flank_pain,腰痛,boolean,,,,,Y,肋脊角痛,肾结石/肾盂肾炎
Questionnaires,ipss_score,IPSS评分,integer,,0-35,64937-7,,Y,国际前列腺症状评分,0-7轻度/8-19中度/20-35重度
Questionnaires,qol_score,生活质量评分,integer,,0-6,,,N,IPSS-QOL,症状困扰度
Questionnaires,iief_score,IIEF评分,integer,,1-75,,,N,国际勃起功能指数,ED严重度
Physical_Exam,dre,直肠指检,boolean,,,,,Y,DRE,前列腺评估
Physical_Exam,prostate_size,前列腺大小,categorical,,Normal,Mildly_Enlarged,Moderately_Enlarged,Severely_Enlarged,,,N,正常/轻中重度增大,BPH
Physical_Exam,prostate_consistency,前列腺质地,categorical,,Normal,Firm,Hard_Nodule,,,N,正常/韧/硬结,前列腺癌
Labs,psa,前列腺特异性抗原,decimal,ng/mL,0-100,2857-1,,Y,PSA,前列腺癌筛查
Labs,free_psa,游离PSA,decimal,ng/mL,0-50,10886-0,,N,fPSA,f/tPSA<0.25提示癌
Labs,psa_density,PSA密度,decimal,,0-5,,,N,PSA/前列腺体积,PSAD>0.15提示癌
Labs,creatinine,肌酐,decimal,μmol/L,0-2000,2160-0,,Y,Cr,肾功能
Labs,urinalysis,尿常规,boolean,,,,,Y,尿检,血尿/感染
Labs,urine_culture,尿培养,categorical,,Not_Done,Negative,Positive,,,N,尿培养,UTI
Imaging,transrectal_ultrasound,经直肠超声,boolean,,,,,Y,TRUS,前列腺体积/引导活检
Imaging,prostate_volume,前列腺体积,decimal,mL,10-200,33763-4,,Y,前列腺体积,BPH
Imaging,ct_urography,CT尿路造影,boolean,,,,,N,CTU,结石/肿瘤
Imaging,kidney_ultrasound,肾脏超声,boolean,,,,,Y,肾脏B超,结石/积水
Imaging,bone_scan,骨扫描,boolean,,,,,N,核素显像,前列腺癌骨转移
Uroflowmetry,max_flow_rate,最大尿流率,decimal,mL/s,0-50,9332-8,,Y,Qmax,<10mL/s梗阻
Uroflowmetry,voided_volume,排尿量,decimal,mL,0-1000,,,N,排尿量,≥150mL有效
Uroflowmetry,post_void_residual,残余尿,decimal,mL,0-500,,,Y,PVR,膀胱排空
Biopsy,prostate_biopsy,前列腺活检,boolean,,,,,N,穿刺活检,确诊前列腺癌
Biopsy,gleason_score,Gleason评分,integer,,2-10,35266-6,,N,病理分级,6-10
Biopsy,gleason_primary,Gleason主要成分,integer,,1-5,,,N,主要分级,病理
Biopsy,gleason_secondary,Gleason次要成分,integer,,1-5,,,N,次要分级,病理
Staging,tnm_stage,TNM分期,string,,,,,N,肿瘤分期,T1-T4/N0-N1/M0-M1
Staging,clinical_stage,临床分期,categorical,,Localized,Locally_Advanced,Metastatic,,,N,局限/局部晚期/转移,治疗策略
Treatment_Medical,alpha_blockers,α受体阻滞剂,boolean,,,,,Y,坦索罗辛/多沙唑嗪,BPH一线
Treatment_Medical,5ari,5α还原酶抑制剂,boolean,,,,,Y,非那雄胺/度他雄胺,缩小前列腺
Treatment_Medical,pde5_inhibitors,PDE5抑制剂,boolean,,,,,N,他达拉非,BPH/ED
Treatment_Medical,anticholinergics,抗胆碱药,boolean,,,,,N,索利那新,OAB
Treatment_Surgical,turp,经尿道前列腺切除,boolean,,,,,N,TURP,BPH手术金标准
Treatment_Surgical,holep,激光前列腺剜除,boolean,,,,,N,HoLEP,大前列腺
Treatment_Surgical,radical_prostatectomy,根治性前列腺切除,boolean,,,,,N,RP,局限性前列腺癌
Treatment_Surgical,partial_nephrectomy,保留肾单位手术,boolean,,,,,N,肾部分切除,小肾癌
Treatment_Surgical,radical_nephrectomy,根治性肾切除,boolean,,,,,N,RN,肾癌
Treatment_ADT,androgen_deprivation_therapy,雄激素剥夺治疗,boolean,,,,,N,ADT,晚期前列腺癌
Treatment_ADT,lhrh_agonist,LHRH激动剂,boolean,,,,,N,戈舍瑞林,化学去势
Treatment_ADT,antiandrogen,抗雄激素,boolean,,,,,N,比卡鲁胺,联合阻断
Outcome,symptom_improvement,症状改善,boolean,,,,,Y,LUTS缓解,治疗效果
Outcome,psa_response,PSA反应,categorical,,Complete_Response,Partial_Response,Progression,,,N,完全缓解/部分缓解/进展,肿瘤控制
Outcome,biochemical_recurrence,生化复发,boolean,,,,,N,PSA上升,RP术后PSA≥0.2
Report,urologist,泌尿外科医师,string,,,,,Y,医师姓名,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
