Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,膀胱癌确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,18-100,,,Y,确诊时年龄,老年多发
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,男性发病率3-4倍
Basic_Info,smoking_status,吸烟状态,categorical,,,"Never,Former,Current",,,Y,吸烟史,最主要危险因素
Basic_Info,pack_years,吸烟包年数,decimal,包年,0-150,,,N,累计吸烟量,剂量反应关系
Basic_Info,occupational_exposure,职业暴露,categorical,,,"Aromatic_Amines,Dyes,Rubber,Leather,Painting,Hairdressing,None",,,N,致癌物接触,职业相关
Basic_Info,aristolochic_acid_exposure,马兜铃酸暴露,categorical,,,"Yes,No,Unknown",,,N,中草药暴露,中国特色危险因素
Basic_Info,schistosomiasis_history,血吸虫病史,categorical,,,"Yes,No",,,N,埃及血吸虫,鳞癌相关
Basic_Info,cyclophosphamide_use,环磷酰胺使用史,categorical,,,"Yes,No",,,N,化疗药物暴露,医源性危险因素
Basic_Info,pelvic_radiation_history,盆腔放疗史,categorical,,,"Yes,No",,,N,既往放疗,继发肿瘤风险
Presentation,presenting_symptom,首发症状,categorical,,,"Hematuria,Irritative_Voiding,Abdominal_Pain,Incidental,Weight_Loss,Other",,,Y,主要症状,血尿最常见
Presentation,hematuria_type,血尿类型,categorical,,,"Gross,Microscopic,None",,,N,血尿性质,肉眼vs镜下
Presentation,hematuria_duration,血尿持续时间,categorical,,,"<1month,1-3months,>3months",,,N,症状病程,早期诊断
Presentation,dysuria,排尿困难,categorical,,,"Yes,No",,,N,排尿障碍,刺激症状
Presentation,urgency,尿急,categorical,,,"Yes,No",,,N,尿急症状,膀胱刺激
Presentation,frequency,尿频,categorical,,,"Yes,No",,,N,尿频症状,刺激症状
Presentation,flank_pain,腰痛,categorical,,,"Yes,No",,,N,侧腹痛,上尿路梗阻
Presentation,hydronephrosis,肾积水,categorical,,,"Unilateral,Bilateral,None",,,N,肾盂扩张,梗阻指标
Presentation,palpable_mass,可触及肿块,categorical,,,"Yes,No",,,N,腹部肿块,晚期体征
Cystoscopy,cystoscopy_date,膀胱镜检查日期,date,,,,,Y,内镜检查时间,诊断金标准
Cystoscopy,tumor_location,肿瘤部位,categorical,,,"Trigone,Lateral_Wall,Posterior_Wall,Dome,Anterior_Wall,Bladder_Neck,Multiple",,,Y,膀胱内位置,复发风险分层
Cystoscopy,tumor_number,肿瘤数目,categorical,,,"Single,2-7,>7",,,Y,病灶个数,复发预测因子
Cystoscopy,tumor_size,肿瘤最大径,decimal,cm,0.1-15,,,Y,最大病灶直径,<3cm vs ≥3cm
Cystoscopy,tumor_appearance,肿瘤外观,categorical,,,"Papillary,Sessile,Mixed,Flat,Ulcerated",,,Y,生长模式,乳头vs无蒂
Cystoscopy,cis_present,原位癌,categorical,,,"Yes,No,Suspected",,,Y,CIS存在,高危因素
Cystoscopy,cis_location,CIS部位,categorical,,,"Focal,Multifocal,Diffuse,None",,,N,原位癌范围,预后影响
