fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,检查日期，格式YYYY-MM-DD,2024-12-01
patientID,患者唯一标识符,String,患者的唯一标识符,P202401001
patientName,患者姓名,String,患者的姓名,张三
clinicalIndication,临床适应症,String,进行血糖监测技能评估的临床适应症,血糖监测技能评估
diagnosisImpression,诊断印象,String,基于评估结果的诊断印象,监测技能基本掌握/需要改进
recommendation,建议,String,基于评估结果的建议,加强血糖监测技能培训和规范化指导

# 基本信息
ageAtAssessment,评估时年龄,Number,患者评估时的年龄（岁）,58
gender,性别,String,患者性别,男/女
diabetesType,糖尿病类型,String,患者的糖尿病类型,1型糖尿病/2型糖尿病/妊娠糖尿病/其他特殊类型
diabetesDuration,糖尿病病程,Number,患者糖尿病诊断时间（年）,12.3
bgmExperienceDuration,血糖监测经验时长,Number,血糖自我监测经验时长（年）,10.5
currentTreatment,当前治疗方案,String,患者当前的治疗方案,口服药物/胰岛素/联合治疗/生活方式干预
hbA1cLevel,糖化血红蛋白,Number,最近一次糖化血红蛋白水平（%）,7.6

# 血糖监测知识评估
overallBGMKnowledge,血糖监测知识总分,Number,血糖监测相关知识总评分（0-100分）,74
normalGlucoseRangeKnowledge,正常血糖范围知识,Number,正常血糖范围知识评分（1-5分）,3.8
targetGlucoseRangeKnowledge,目标血糖范围知识,Number,个人目标血糖范围知识评分（1-5分）,3.6
monitoringTimingKnowledge,监测时机知识,Number,血糖监测时机选择知识评分（1-5分）,3.4
factorsAffectingBGKnowledge,影响血糖因素知识,Number,影响血糖因素认知评分（1-5分）,3.2
hypoglycemiaKnowledge,低血糖知识,Number,低血糖定义和症状知识评分（1-5分）,3.5
hyperglycemiaKnowledge,高血糖知识,Number,高血糖定义和症状知识评分（1-5分）,3.3

# 血糖仪操作技能
glucometerFamiliarity,血糖仪熟悉度,Number,对血糖仪熟悉程度评分（1-5分）,4.0
deviceSetupSkill,设备设置技能,Number,血糖仪设置和校准技能评分（1-5分）,3.6
testStripHandling,试纸处理技能,Number,试纸正确处理和保存技能评分（1-5分）,3.8
qualityControlUnderstanding,质量控制理解,Number,血糖仪质量控制理解评分（1-5分）,2.8
errorCodeInterpretation,错误代码解读,Number,血糖仪错误代码解读能力评分（1-5分）,3.0
maintenanceSkill,设备维护技能,Number,血糖仪维护保养技能评分（1-5分）,3.2

# 采样技能评估
handHygienePerformance,手卫生执行,Number,采样前手卫生执行情况评分（1-5分）,4.2
prickingSiteSelection,采血部位选择,Number,采血部位选择合理性评分（1-5分）,3.6
lancetUsageSkill,采血针使用技能,Number,采血针正确使用技能评分（1-5分）,3.8
sampleCollectionTechnique,样本采集技术,Number,血样采集技术正确性评分（1-5分）,3.4
sampleSizeAdequacy,样本量充足性,Number,血样量充足性掌握评分（1-5分）,3.2
fingerRotationPractice,手指轮换实践,Number,采血手指轮换实践评分（1-5分）,2.8

# 测试执行技能
testTimingAccuracy,测试时机准确性,Number,血糖测试时机选择准确性评分（1-5分）,3.4
procedureStepSequence,操作步骤顺序,Number,血糖测试操作步骤正确性评分（1-5分）,3.8
resultReadingAccuracy,结果读取准确性,Number,血糖结果读取准确性评分（1-5分）,4.0
testRepeatDecision,重复测试决策,Number,何时需要重复测试判断能力评分（1-5分）,2.6
interferenceRecognition,干扰因素识别,Number,测试干扰因素识别能力评分（1-5分）,2.4
troubleshootingSkill,故障排除技能,Number,血糖仪故障排除技能评分（1-5分）,2.8

# 结果记录和管理
recordKeepingConsistency,记录保持一致性,Number,血糖记录保持一致性评分（1-5分）,3.2
dataEntryAccuracy,数据录入准确性,Number,血糖数据录入准确性评分（1-5分）,3.6
logbookMaintenance,血糖日志维护,Number,血糖日志维护质量评分（1-5分）,3.0
