fieldName,displayName,dataType,description,exampleValue
basic.reportId,基本信息.报告ID,String,"病理报告唯一标识符",BC-2024-001234
basic.patientId,基本信息.患者ID,String,"患者唯一标识符",P123456789
basic.patientName,基本信息.患者姓名,String,"患者姓名",张三
basic.age,基本信息.年龄,Number,"患者年龄(岁)。<br>**流行病学**: 乳腺癌中位发病年龄45-55岁(中国),比欧美年轻10岁;年轻乳腺癌(<40岁)占15-20%,绝经后乳腺癌占50-60%<br>**临床意义**: 年龄是重要的预后因素,<35岁年轻乳腺癌预后差、复发率高、多为三阴性或HER2阳性;绝经状态决定内分泌治疗选择(绝经前他莫昔芬,绝经后芳香化酶抑制剂)",48
basic.gender,基本信息.性别,String,"患者性别。<br>**建议值**: `女`, `男`<br>**流行病学**: 女性占99%,男性乳腺癌占1%,男性乳腺癌多为HR阳性(90%),预后与女性相似",女
basic.reportDate,基本信息.报告日期,Date,"病理报告出具日期",2024-03-15
basic.hospitalName,基本信息.医院名称,String,"出具报告的医疗机构名称",北京协和医院
basic.pathologistName,基本信息.病理医师,String,"报告病理医师姓名",李医生
specimen.type,标本信息.标本类型,String,"病理标本类型。<br>**建议值**:<br>- `空芯针穿刺活检(CNB)`: 术前诊断金标准,14-16G针,取2-4条组织,确诊率>95%<br>- `细针抽吸活检(FNA)`: 细胞学诊断,仅用于淋巴结评估<br>- `麦默通真空辅助活检`: 取材更多,适合微小钙化或不可触及病灶<br>- `乳腺肿块切除标本`: 保乳手术或诊断性切除<br>- `乳腺单纯切除标本`: 全乳切除<br>- `乳腺根治术标本`: 乳腺+腋窝淋巴结+胸肌筋膜<br>- `改良根治术标本`: 乳腺+腋窝淋巴结(保留胸肌),最常用术式<br>- `前哨淋巴结活检`: 评估腋窝淋巴结状态,阴性可免除腋窝清扫<br>**临床意义**: CNB是术前诊断金标准,可获得ER/PR/HER2/Ki-67信息指导新辅助治疗;前哨淋巴结活检可避免70%患者不必要的腋窝清扫及并发症(淋巴水肿)",空芯针穿刺活检
specimen.laterality,标本信息.病变侧别,String,"病变位于左侧或右侧乳腺。<br>**建议值**: `左侧`, `右侧`, `双侧`<br>**流行病学**: 单侧发病占95%,双侧同时发病占5%,双侧异时发病(10年累积风险)10-15%<br>**临床意义**: 双侧乳腺癌提示遗传性乳腺癌可能(BRCA突变者对侧乳腺癌风险40%),需考虑双侧预防性乳房切除术",左侧
specimen.location,标本信息.肿瘤位置,String,"肿瘤在乳腺的位置(钟盘法或象限法)。<br>**象限法**:<br>- 外上象限: 50-60%,最常见<br>- 外下象限: 10-15%<br>- 内上象限: 10-15%<br>- 内下象限: 5-10%<br>- 中央区(乳晕乳头): 10-15%<br>**钟盘法**: 12点钟方向在头侧,6点钟方向在足侧,以乳头为中心<br>**建议值**: `外上象限`, `外下象限`, `内上象限`, `内下象限`, `中央区`, `3点钟`, `6点钟`, `9点钟`, `12点钟`<br>**临床意义**: 外上象限最常见(50-60%);内侧象限肿瘤淋巴引流至内乳淋巴结(20-30%),预后稍差;中央区肿瘤累及乳头乳晕,保乳率低",外上象限
specimen.size,标本信息.肿瘤大小,String,"肿瘤最大径(cm)。<br>**测量**: 浸润性成分最大径,非整体肿瘤大小<br>**T分期界限**: ≤2cm为T1,2-5cm为T2,>5cm为T3<br>**临床意义**: 肿瘤大小是最重要的预后因素,T1(≤2cm) 10年生存率85-90%,T2 70-80%,T3 50-60%;肿瘤大小决定保乳可行性,一般≤3cm且瘤/乳比<25%可保乳;新辅助治疗后肿瘤缩小可提高保乳率",2.3cm
