Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,exam_date,检查日期,date,,,,,Y,乳腺影像检查日期,检查时间点
Basic_Info,exam_type,检查类型,categorical,,,"Mammography,Ultrasound,MRI,Combined_Mammo_US",,,Y,影像检查方式,筛查/诊断
Basic_Info,age,年龄,integer,years,18-100,,,Y,患者年龄,风险评估
Basic_Info,indication,检查指征,categorical,,,"Screening,Diagnostic_Palpable_Mass,Diagnostic_Pain,Diagnostic_Nipple_Discharge,Follow_Up,High_Risk_Screening,Preoperative,Other",,,Y,检查适应证,临床目的

Mammography,mammography_performed,钼靶检查,categorical,,,"Yes,No",,,N,是否钼靶摄影,X线检查
Mammography,mammo_views,钼靶体位,categorical,,,"CC_MLO_Bilateral,CC_Only,MLO_Only,Additional_Views,NA",,,N,摄影体位,标准双侧CC+MLO
Mammography,breast_density,乳腺密度,categorical,,,"A_Almost_Fatty,B_Scattered_Fibroglandular,C_Heterogeneously_Dense,D_Extremely_Dense,NA",,,N,BI-RADS密度分级,致密乳腺降低敏感性

Mammography_Mass,mammo_mass,钼靶肿块,categorical,,,"Yes,No,NA",,,N,是否肿块,占位性病变
Mammography_Mass,mass_shape,肿块形态,categorical,,,"Round,Oval,Irregular,NA",,,N,形状,规则vs不规则
Mammography_Mass,mass_margin,肿块边缘,categorical,,,"Circumscribed,Obscured,Microlobulated,Indistinct,Spiculated,NA",,,N,边界,毛刺征恶性
Mammography_Mass,mass_density,肿块密度,categorical,,,"High,Equal,Low,Fat_Containing,NA",,,N,密度,高密度可疑

Calcification,calcification_present,钙化,categorical,,,"Yes,No",,,N,是否钙化,微钙化
Calcification,calc_distribution,钙化分布,categorical,,,"Diffuse,Regional,Grouped,Linear,Segmental,NA",,,N,分布模式,线性/段状可疑
Calcification,calc_morphology,钙化形态,categorical,,,"Benign_Coarse,Amorphous,Coarse_Heterogeneous,Fine_Pleomorphic,Fine_Linear_Branching,NA",,,N,钙化形态,细小多形性/细线样高危
Calcification,calc_size,钙化范围,decimal,mm,0-100,,,N,钙化区最大径,范围评估

Ultrasound,ultrasound_performed,超声检查,categorical,,,"Yes,No",,,N,是否超声,致密乳腺补充
Ultrasound_Mass,us_mass,超声肿块,categorical,,,"Yes,No,NA",,,N,超声肿块,实性病变
