字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,唯一患者标识符,P123456
examDate,检查日期,Date,乳腺影像检查日期,2025-03-15
examType,检查类型,String,"**钼靶**: 乳腺X线摄影(Mammography)<br>**超声**: 乳腺超声(Ultrasound)<br>**MRI**: 乳腺核磁共振<br>**联合**: 钼靶+超声",钼靶+超声
indication,检查指征,String,"**筛查**: 无症状筛查<br>**诊断**: 可触及肿块/疼痛/乳头溢液<br>**随访**: 术后/BI-RADS 3随访<br>**高危筛查**: BRCA突变/家族史",筛查
breastDensity,乳腺密度分级,String,"**A类**: 几乎完全脂肪型(密度<25%)<br>**B类**: 散在纤维腺体型(25-50%)<br>**C类**: 不均匀致密型(51-75%)→超声敏感性↑<br>**D类**: 极度致密型(>75%)→钼靶敏感性↓<br>**影响**: 致密乳腺降低钼靶敏感性15-20%",C类
lesion.present,病灶存在,Boolean,是否发现病灶,true
lesion.location,病灶部位,String,"**位置**: 左/右乳<br>**象限**: 外上/外下/内上/内下/中央区<br>**钟面位置**: 1-12点方向<br>**距离**: 距乳头X cm",右乳外上象限2点方向距乳头3.5cm
lesion.size,病灶大小,Number,最大径(mm),18.5
lesion.count,病灶数量,Number,同侧乳腺病灶数量,1

# BI-RADS分级系统 (Breast Imaging Reporting and Data System 5th Edition)
birads.category,BI-RADS分类,String,"**BI-RADS 0**: 需要追加检查(钼靶召回率10-12%)<br>**BI-RADS 1**: 阴性,无异常发现<br>**BI-RADS 2**: 良性发现(纤维腺瘤/囊肿/脂肪瘤等)<br>**BI-RADS 3**: 可能良性,建议短期随访(恶性率<2%)<br>**BI-RADS 4A**: 低度可疑恶性(恶性率2-10%,活检推荐)<br>**BI-RADS 4B**: 中度可疑恶性(恶性率10-50%)<br>**BI-RADS 4C**: 高度可疑恶性(恶性率50-95%)<br>**BI-RADS 5**: 高度提示恶性(恶性率≥95%)<br>**BI-RADS 6**: 已活检证实恶性",BI-RADS 4A
birads.assessment,BI-RADS评估,String,病灶特征描述及分类理由,边界清晰的圆形低回声结节,纵横比<1,后方回声增强,考虑纤维腺瘤可能
birads.recommendation,处理建议,String,"**BI-RADS 1-2**: 常规筛查(1-2年)<br>**BI-RADS 3**: 短期随访(初次6个月,后12/24个月,共2年)<br>**BI-RADS 4-5**: 活检病理诊断<br>**BI-RADS 6**: 手术治疗或新辅助化疗",建议6个月后复查

# 钼靶检查特有字段
mammography.view,钼靶体位,String,"**CC**: 头尾位(Craniocaudal)<br>**MLO**: 内外斜位(Mediolateral Oblique)<br>**附加体位**: 点压/放大/外侧位",CC+MLO双侧
mammography.mass.shape,肿块形态,String,"**圆形/椭圆形**: 良性可能<br>**不规则**: 可疑恶性<br>**分叶状**: 中等可疑",不规则
mammography.mass.margin,肿块边缘,String,"**清晰光滑**: 良性(纤维腺瘤/囊肿)<br>**模糊不清**: 可疑<br>**微分叶**: 中等可疑<br>**毛刺征**: 高度可疑恶性(恶性率80-90%)<br>**浸润性**: 高度可疑",毛刺征
