Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,burn_date,烧伤时间,datetime,,,,,Y,受伤时间,黄金时间
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,老年小儿预后差
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征
Basic_Info,body_weight,体重,decimal,kg,0-300,29463-7,,Y,当前体重,液体复苏计算

Burn_Mechanism,burn_mechanism,烧伤机制,categorical,,Flame,Scald,Contact,Electrical,Chemical,Radiation,,,Y,火焰/热液/接触/电/化学/放射,致伤机制
Burn_Mechanism,closed_space,密闭空间,boolean,,,,,Y,室内火灾,吸入性损伤

TBSA,tbsa_percent,体表面积百分比,decimal,%,0-100,,,Y,TBSA,烧伤面积
TBSA,tbsa_method,面积评估方法,categorical,,Rule_of_Nines,Lund_Browder,Palmer_Method,,,Y,九分法/Lund-Browder/手掌法,评估方法
TBSA,rule_of_nines_head,九分法头颈,decimal,%,0-9,,,N,成人9%/儿童18%,头颈部
TBSA,rule_of_nines_trunk,九分法躯干,decimal,%,0-36,,,N,前18%+后18%,躯干
TBSA,rule_of_nines_arms,九分法上肢,decimal,%,0-18,,,N,每上肢9%,双上肢
TBSA,rule_of_nines_legs,九分法下肢,decimal,%,0-36,,,N,每下肢18%,双下肢
TBSA,rule_of_nines_perineum,九分法会阴,decimal,%,0-1,,,N,1%,会阴部

Burn_Depth,first_degree,I度烧伤,boolean,,,,,Y,红斑,表皮
Burn_Depth,superficial_second_degree,浅II度,boolean,,,,,Y,水疱+疼痛,真皮浅层
Burn_Depth,deep_second_degree,深II度,boolean,,,,,Y,水疱+苍白,真皮深层
Burn_Depth,third_degree,III度烧伤,boolean,,,,,Y,焦痂+无痛,全层皮肤
Burn_Depth,fourth_degree,IV度烧伤,boolean,,,,,N,肌肉骨骼受累,深部组织

Burn_Severity,severity_classification,严重度分类,categorical,,Minor,Moderate,Major,,,Y,轻度/中度/重度,ABA标准
Burn_Severity,major_burn_criteria,重度烧伤标准,boolean,,,,,Y,TBSA>20%成人/>10%儿童老年/III度>5%/特殊部位/吸入伤/电烧伤/合并伤,烧伤中心转诊

Special_Areas,face_burn,面部烧伤,boolean,,,,,Y,面部,瘢痕畸形
Special_Areas,hands_burn,手部烧伤,boolean,,,,,Y,手,功能障碍
Special_Areas,feet_burn,足部烧伤,boolean,,,,,Y,足,行走障碍
Special_Areas,genitalia_burn,会阴烧伤,boolean,,,,,Y,会阴,感染高危
Special_Areas,major_joints_burn,大关节烧伤,boolean,,,,,Y,关节,活动受限
Special_Areas,circumferential_burn,环形烧伤,boolean,,,,,Y,四肢/胸部环绕,筋膜切开

Inhalation_Injury,inhalation_injury,吸入性损伤,boolean,,,,,Y,气道/肺实质损伤,死亡率增加20-40%
