Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,arrest_date,心脏骤停时间,datetime,,,,,Y,心停发生时间,预后关键
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,预后因素
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征
Basic_Info,body_weight,体重,decimal,kg,0-300,29463-7,,Y,估计体重,药物剂量

Arrest_Setting,arrest_location,心停地点,categorical,,OHCA,IHCA,,,Y,院外/院内,生存率差异
Arrest_Setting,witnessed,目击心停,boolean,,,,,Y,有目击者,预后良好因素
Arrest_Setting,bystander_cpr,旁观者CPR,boolean,,,,,Y,现场即刻CPR,存活率提高2-3倍
Arrest_Setting,arrest_circumstance,心停情境,categorical,,Medical,Trauma,Drowning,Asphyxia,Drug_Overdose,Electrocution,Hypothermia,,,Y,内科/创伤/溺水/窒息/药物过量/电击/低体温,病因
Arrest_Setting,public_access_aed,公共AED使用,boolean,,,,,N,PAD,早期除颤

Prodromal_Symptoms,chest_pain,胸痛,boolean,,,,,N,心停前胸痛,ACS
Prodromal_Symptoms,dyspnea,呼吸困难,boolean,,,,,N,心停前气促,心衰/PE
Prodromal_Symptoms,syncope,晕厥,boolean,,,,,N,心停前晕厥,心律失常
Prodromal_Symptoms,palpitations,心悸,boolean,,,,,N,心停前心悸,室性心律失常
Prodromal_Symptoms,seizure_like,类癫痫发作,boolean,,,,,N,抽搐样发作,脑缺氧

Etiology,presumed_cardiac,推定心源性,boolean,,,,,Y,心脏原因,可除颤节律多
Etiology,presumed_respiratory,推定呼吸源性,boolean,,,,,N,呼吸原因,窒息/溺水
Etiology,suspected_cause,疑似病因,categorical,,ACS,Arrhythmia,Heart_Failure,PE,Trauma,Asphyxia,Drug_Toxicity,Electrolyte,Hypothermia,Unknown,,,Y,ACS/心律失常/心衰/PE/创伤/窒息/药物毒性/电解质/低体温/不明,Hs and Ts

Initial_Rhythm,first_monitored_rhythm,初始心律,categorical,,VF,Pulseless_VT,Asystole,PEA,,,Y,室颤/无脉性室速/心停/无脉性电活动,可除颤vs不可除颤
Initial_Rhythm,shockable_rhythm,可除颤心律,boolean,,,,,Y,VF/pVT,除颤指征
Initial_Rhythm,non_shockable_rhythm,不可除颤心律,boolean,,,,,Y,PEA/Asystole,CPR优先

Time_Intervals,time_to_911,呼救时间,integer,min,0-60,,,N,心停至呼救,延误
Time_Intervals,time_to_cpr,CPR开始时间,integer,min,0-60,,,Y,心停至CPR,无流量时间
