字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行心血管代谢风险评估的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行心血管代谢风险评估的临床指征。<br>**建议值**: `代谢综合征`, `糖尿病`, `高血压`, `血脂异常`, `冠心病筛查`, `卒中风险评估`",代谢综合征
riskAssessment.framinghamScore,风险评估.Framingham评分,Number,"Framingham 10年心血管风险评分。<br>单位: %<br>**风险分级**: <6%(低), 6-20%(中), >20%(高)",15.8
riskAssessment.pooledCohortEquation,风险评估.ASCVD风险评估,Number,"ASCVD 10年风险评分。<br>单位: %<br>**风险分级**: <5%(低), 5-7.5%(中), ≥7.5%(高)",12.5
riskAssessment.scoreRisk,风险评估.SCORE风险,Number,"欧洲SCORE 10年致死性心血管风险。<br>单位: %<br>**风险分级**: <1%(低), 1-5%(中), ≥5%(高)",3.2
riskAssessment.chinaParRisk,风险评估.China-PAR风险,Number,"China-PAR 10年心血管风险。<br>单位: %",18.5
riskAssessment.reynoldsRiskScore,风险评估.Reynolds风险评分,Number,"Reynolds风险评分。<br>单位: %",14.2
metabolicSyndrome.criteria.waistCircumference,代谢综合征.诊断标准.腰围,Number,"腰围。<br>单位: cm<br>**异常**: 男性≥90，女性≥85",95
metabolicSyndrome.criteria.bloodPressure.systolic,代谢综合征.诊断标准.血压.收缩压,Number,"收缩压。<br>单位: mmHg<br>**异常**: ≥130",138
metabolicSyndrome.criteria.bloodPressure.diastolic,代谢综合征.诊断标准.血压.舒张压,Number,"舒张压。<br>单位: mmHg<br>**异常**: ≥85",88
metabolicSyndrome.criteria.fastingGlucose,代谢综合征.诊断标准.空腹血糖,Number,"空腹血糖。<br>单位: mmol/L<br>**异常**: ≥5.6",6.8
metabolicSyndrome.criteria.triglycerides,代谢综合征.诊断标准.甘油三酯,Number,"甘油三酯。<br>单位: mmol/L<br>**异常**: ≥1.7",2.3
metabolicSyndrome.criteria.hdlCholesterol,代谢综合征.诊断标准.HDL胆固醇,Number,"HDL胆固醇。<br>单位: mmol/L<br>**异常**: 男性<1.0，女性<1.3",0.9
metabolicSyndrome.diagnosis,代谢综合征.诊断,String,"代谢综合征诊断。<br>**建议值**: `否`, `是`",是
metabolicSyndrome.componentsCount,代谢综合征.异常组分数,Number,"异常组分数量（共5项）",4
bloodPressure.office.systolic,血压.诊室.收缩压,Number,"诊室收缩压。<br>单位: mmHg",138
bloodPressure.office.diastolic,诊室.舒张压,Number,"诊室舒张压。<br>单位: mmHg",88
bloodPressure.office.meanArterialPressure,血压.诊室.平均动脉压,Number,"平均动脉压。<br>单位: mmHg",105
bloodPressure.office.pulsePressure,血压.诊室.脉压,Number,"脉压差。<br>单位: mmHg",50
bloodPressure.ambulatory.24hourMean.systolic,血压.动态.24小时平均.收缩压,Number,"24小时平均收缩压。<br>单位: mmHg<br>**正常**: <130",132
bloodPressure.ambulatory.24hourMean.diastolic,血压.动态.24小时平均.舒张压,Number,"24小时平均舒张压。<br>单位: mmHg<br>**正常**: <80",82
bloodPressure.ambulatory.daytimeMean.systolic,血压.动态.日间平均.收缩压,Number,"日间平均收缩压。<br>单位: mmHg<br>**正常**: <135",138
bloodPressure.ambulatory.daytimeMean.diastolic,血压.动态.日间平均.舒张压,Number,"日间平均舒张压。<br>单位: mmHg<br>**正常**: <85",85
bloodPressure.ambulatory.nighttimeMean.systolic,血压.动态.夜间平均.收缩压,Number,"夜间平均收缩压。<br>单位: mmHg<br>**正常**: <120",125
bloodPressure.ambulatory.nighttimeMean.diastolic,血压.动态.夜间平均.舒张压,Number,"夜间平均舒张压。<br>单位: mmHg<br>**正常**: <70",75
bloodPressure.ambulatory.dippingPattern,血压.动态.杓型模式,String,"血压杓型模式。<br>**建议值**: `杓型`, `非杓型`, `反杓型`, `超杓型`",非杓型
bloodPressure.ambulatory.bloodPressureVariability,血压.动态.血压变异性,Number,"血压变异性系数",12.5
bloodPressure.home.systolic,血压.家庭.收缩压,Number,"家庭血压收缩压。<br>单位: mmHg<br>**正常**: <135",135
bloodPressure.home.diastolic,血压.家庭.舒张压,Number,"家庭血压舒张压。<br>单位: mmHg<br>**正常**: <85",83
bloodPressure.centralPressure.systolic,血压.中心动脉压.收缩压,Number,"中心动脉收缩压。<br>单位: mmHg",128
bloodPressure.centralPressure.diastolic,血压.中心动脉压.舒张压,Number,"中心动脉舒张压。<br>单位: mmHg",88
bloodPressure.centralPressure.augmentationIndex,血压.中心动脉压.增强指数,Number,"增强指数。<br>单位: %",28
lipidProfile.totalCholesterol,血脂谱.总胆固醇,Number,"总胆固醇。<br>单位: mmol/L<br>**理想**: <5.2",5.8
lipidProfile.ldlCholesterol,血脂谱.低密度脂蛋白胆固醇,Number,"LDL胆固醇。<br>单位: mmol/L<br>**目标**: 因风险而异",3.8
lipidProfile.hdlCholesterol,血脂谱.高密度脂蛋白胆固醇,Number,"HDL胆固醇。<br>单位: mmol/L<br>**理想**: 男性>1.0，女性>1.3",0.9
lipidProfile.triglycerides,血脂谱.甘油三酯,Number,"甘油三酯。<br>单位: mmol/L<br>**理想**: <1.7",2.3
lipidProfile.nonHdlCholesterol,血脂谱.非HDL胆固醇,Number,"非HDL胆固醇。<br>单位: mmol/L",4.9
lipidProfile.vldlCholesterol,血脂谱.极低密度脂蛋白胆固醇,Number,"VLDL胆固醇。<br>单位: mmol/L",1.1
lipidProfile.totalCholesterolHdlRatio,血脂谱.总胆固醇HDL比值,Number,"TC/HDL-C比值。<br>**理想**: <5.0",6.4
lipidProfile.ldlHdlRatio,血脂谱.LDL HDL比值,Number,"LDL-C/HDL-C比值。<br>**理想**: <3.5",4.2
lipidProfile.triglyceride HdlRatio,血脂谱.甘油三酯HDL比值,Number,"TG/HDL-C比值。<br>**理想**: <3.5",2.6
lipidProfile.apolipoproteinB,血脂谱.载脂蛋白B,Number,"载脂蛋白B。<br>单位: g/L<br>**目标**: <0.9",1.15
lipidProfile.apolipoproteinA1,血脂谱.载脂蛋白A1,Number,"载脂蛋白A1。<br>单位: g/L<br>**参考范围**: 1.2-1.6",1.05
lipidProfile.apoBApoa1Ratio,血脂谱.ApoB ApoA1比值,Number,"ApoB/ApoA1比值。<br>**理想**: <0.9",1.1
lipidProfile.lipoproteinA,血脂谱.脂蛋白a,Number,"脂蛋白(a)。<br>单位: g/L<br>**风险**: >0.3",0.45
lipidProfile.smallDenseLdl,血脂谱.小而密LDL,Number,"小而密LDL。<br>单位: mmol/L",1.8
lipidProfile.remnantCholesterol,血脂谱.残粒胆固醇,Number,"残粒胆固醇。<br>单位: mmol/L",1.1
glucoseMetabolism.fastingGlucose,糖代谢.空腹血糖,Number,"空腹血糖。<br>单位: mmol/L<br>**正常**: 3.9-6.1",6.8
glucoseMetabolism.postprandialGlucose,糖代谢.餐后血糖,Number,"餐后2小时血糖。<br>单位: mmol/L<br>**正常**: <7.8",9.5
glucoseMetabolism.hba1c,糖代谢.糖化血红蛋白,Number,"糖化血红蛋白。<br>单位: %<br>**正常**: <5.7",6.2
glucoseMetabolism.ogtt.baseline,糖代谢.OGTT.0分钟,Number,"OGTT 0分钟血糖。<br>单位: mmol/L",6.8
glucoseMetabolism.ogtt.30min,糖代谢.OGTT.30分钟,Number,"OGTT 30分钟血糖。<br>单位: mmol/L",10.5
glucoseMetabolism.ogtt.60min,糖代谢.OGTT.60分钟,Number,"OGTT 60分钟血糖。<br>单位: mmol/L",12.8
glucoseMetabolism.ogtt.120min,糖代谢.OGTT.120分钟,Number,"OGTT 120分钟血糖。<br>单位: mmol/L",9.5
glucoseMetabolism.fastingInsulin,糖代谢.空腹胰岛素,Number,"空腹胰岛素。<br>单位: pmol/L<br>**参考范围**: 18-173",125
glucoseMetabolism.homaIr,糖代谢.HOMA-IR,Number,"胰岛素抵抗指数。<br>**正常**: <2.5",3.8
glucoseMetabolism.homaB,糖代谢.HOMA-β,Number,"胰岛β细胞功能指数。<br>**正常**: >100%",85
glucoseMetabolism.matsudaIndex,糖代谢.Matsuda指数,Number,"Matsuda胰岛素敏感性指数。<br>**正常**: >2.5",1.8
glucoseMetabolism.cPeptide,糖代谢.C肽,Number,"空腹C肽。<br>单位: nmol/L<br>**参考范围**: 0.37-1.47",0.85
inflammatoryMarkers.hscrp,炎症标志物.超敏C反应蛋白,Number,"超敏C反应蛋白。<br>单位: mg/L<br>**风险分级**: <1(低), 1-3(中), >3(高)",2.8
inflammatoryMarkers.interleukin6,炎症标志物.白介素6,Number,"白介素6。<br>单位: pg/mL",3.5
inflammatoryMarkers.tnfAlpha,炎症标志物.肿瘤坏死因子α,Number,"TNF-α。<br>单位: pg/mL",8.2
inflammatoryMarkers.fibrinogen,炎症标志物.纤维蛋白原,Number,"纤维蛋白原。<br>单位: g/L<br>**参考范围**: 2.0-4.0",3.8
inflammatoryMarkers.whitBloodCellCount,炎症标志物.白细胞计数,Number,"白细胞计数。<br>单位: ×10⁹/L<br>**参考范围**: 3.5-9.5",7.2
inflammatoryMarkers.neutrophilLymphocyteRatio,炎症标志物.中性粒细胞淋巴细胞比值,Number,"中性粒细胞/淋巴细胞比值。<br>**正常**: <3.0",2.5
endothelialFunction.flowMediatedDilation,内皮功能.血流介导的血管舒张,Number,"肱动脉FMD。<br>单位: %<br>**正常**: >10%",6.5
endothelialFunction.nitroglycerin MediadedDilation,内皮功能.硝酸甘油介导的血管舒张,Number,"硝酸甘油介导的血管舒张。<br>单位: %",15.8
endothelialFunction.peripheralArterialTonometry,内皮功能.外周动脉张力测定,Number,"RHI指数。<br>**正常**: >1.67",1.45
endothelialFunction.nitricOxideMetabolites,内皮功能.一氧化氮代谢产物,Number,"NO代谢产物。<br>单位: μmol/L",25.8
endothelialFunction.endothelin1,内皮功能.内皮素1,Number,"内皮素1。<br>单位: pg/mL",2.8
endothelialFunction.vonWillebrandFactor,内皮功能.血管性血友病因子,Number,"vWF。<br>单位: %<br>**参考范围**: 50-150",185
endothelialFunction.selectinE,内皮功能.E选择素,Number,"E-selectin。<br>单位: ng/mL",45.2
endothelialFunction.vcam1,内皮功能.VCAM-1,Number,"血管细胞黏附分子1。<br>单位: ng/mL",658
endothelialFunction.icam1,内皮功能.ICAM-1,Number,"细胞间黏附分子1。<br>单位: ng/mL",285
arterialStiffness.carotidFemoralPwv,动脉僵硬度.颈动脉股动脉脉搏波传导速度,Number,"cf-PWV。<br>单位: m/s<br>**正常**: <10.0",12.5
arterialStiffness.brachialAnklePwv,动脉僵硬度.肱踝脉搏波传导速度,Number,"ba-PWV。<br>单位: m/s<br>**正常**: <14.0",16.8
arterialStiffness.augmentationIndex,动脉僵硬度.增强指数,Number,"增强指数。<br>单位: %",28
arterialStiffness.centralPulsePressure,动脉僵硬度.中心脉压,Number,"中心脉压。<br>单位: mmHg",45
arterialStiffness.cardiacOutputIndex,动脉僵硬度.心脏指数,Number,"心脏指数。<br>单位: L/min/m²",2.8
