Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,诊疗日期,病程记录
Basic_Info,age,年龄,integer,years,18-90,,,Y,患者年龄,退行性疾病
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,人群特征

Clinical_Type,clinical_classification,临床分型,categorical,,"Cervical,Nerve_Root,Spinal_Cord,Vertebral_Artery,Sympathetic,Mixed",,,Y,颈椎病类型,治疗方案
Clinical_Type,cervical_type,颈型,boolean,,,,,N,颈部症状型,最轻
Clinical_Type,nerve_root_type,神经根型,boolean,,,,,Y,上肢放射痛,最常见
Clinical_Type,spinal_cord_type,脊髓型,boolean,,,,,Y,四肢症状,需手术
Clinical_Type,vertebral_artery_type,椎动脉型,boolean,,,,,N,眩晕头晕,血管压迫
Clinical_Type,sympathetic_type,交感型,boolean,,,,,N,交感症状,少见

Symptoms,neck_pain,颈痛,boolean,,,,,Y,颈部疼痛,局部症状
Symptoms,neck_stiffness,颈部僵硬,boolean,,,,,N,活动受限,肌肉痉挛
Symptoms,arm_pain,上肢痛,categorical,,"None,Unilateral,Bilateral",,,Y,臂痛,神经根
Symptoms,arm_numbness,上肢麻木,boolean,,,,,N,感觉异常,神经受压
Symptoms,hand_weakness,手部无力,boolean,,,,,N,握力下降,运动障碍
Symptoms,gait_disturbance,步态异常,boolean,,,,,Y,行走不稳,脊髓型
Symptoms,dizziness,头晕,boolean,,,,,N,眩晕,椎动脉型
Symptoms,headache,头痛,boolean,,,,,N,枕部头痛,颈源性头痛
Symptoms,手指精细动作障碍,fine_motor_impairment,boolean,,,,,N,系扣子困难,脊髓症状

Imaging_XRay,cervical_lordosis,颈椎生理曲度,categorical,,"Normal,Straightening,Kyphosis",,,Y,曲度改变,早期退变
Imaging_XRay,disc_space_narrowing,椎间隙狭窄,categorical,,"None,C3_C4,C4_C5,C5_C6,C6_C7,Multiple",,,Y,间隙变窄,退变节段
Imaging_XRay,osteophytes,骨赘形成,categorical,,"None,Mild,Moderate,Severe",,,Y,骨刺,椎管狭窄
Imaging_XRay,instability,颈椎不稳,boolean,,,,,N,异常活动,动力位片
