Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,exam_date,检查日期,date,,,,,Y,CT检查日期,检查时间点
Basic_Info,exam_id,检查编号,string,,,,,N,CT报告编号,唯一检查标识
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,年龄相关病变
Basic_Info,gender,性别,categorical,,,"Male,Female",,,Y,患者性别,疾病差异

Scan_Parameters,scan_type,扫描类型,categorical,,,"Non_Contrast,Contrast_Enhanced,HRCT,Low_Dose,Dual_Energy",,,Y,CT扫描方式,技术参数
Scan_Parameters,indication,检查指征,categorical,,,"Screening,Symptoms,Follow_Up,Trauma,Oncology,ILD,Infection,Other",,,Y,检查适应证,临床目的
Scan_Parameters,contrast_used,对比剂使用,categorical,,,"Yes,No",,,N,是否增强,血管/纵隔病变
Scan_Parameters,radiation_dose,辐射剂量,decimal,mSv,0-50,,,N,有效剂量,辐射暴露
Scan_Parameters,slice_thickness,层厚,decimal,mm,0.5-10,,,N,CT层厚,分辨率

Lungs_Parenchyma,lungs_normal,肺实质正常,categorical,,,"Yes,No",,,Y,双肺是否正常,初步评估
Lungs_Parenchyma,ground_glass_opacity,磨玻璃影,categorical,,,"Yes,No",,,N,GGO,非特异性
Lungs_Parenchyma,ggo_distribution,GGO分布,categorical,,,"Focal,Multifocal,Diffuse,Peribronchovascular,Subpleural,NA",,,N,磨玻璃分布,病因推断
Lungs_Parenchyma,consolidation,实变,categorical,,,"Yes,No",,,N,肺实变,感染/肿瘤
Lungs_Parenchyma,consolidation_location,实变部位,categorical,,,"RUL,RML,RLL,LUL,Lingula,LLL,Multiple,NA",,,N,实变位置,定位
Lungs_Parenchyma,crazy_paving,铺路石征,categorical,,,"Yes,No",,,N,Crazy-paving,PCP/肺泡蛋白
Lungs_Parenchyma,reticular_pattern,网格影,categorical,,,"Yes,No",,,N,网状影,ILD/纤维化
Lungs_Parenchyma,honeycombing,蜂窝肺,categorical,,,"Yes,No",,,N,蜂窝样改变,终末期纤维化
Lungs_Parenchyma,traction_bronchiectasis,牵拉性支气管扩张,categorical,,,"Yes,No",,,N,牵拉性支扩,纤维化指标
Lungs_Parenchyma,tree_in_bud,树芽征,categorical,,,"Yes,No",,,N,Tree-in-bud,细支气管炎
Lungs_Parenchyma,centrilobular_nodules,小叶中心结节,categorical,,,"Yes,No",,,N,小叶中心性结节,感染/吸入

Pulmonary_Nodules,nodule_present,肺结节,categorical,,,"Yes,No",,,Y,是否有结节,筛查关键
Pulmonary_Nodules,total_nodules,结节总数,integer,,0-100,,,N,结节数量,多发结节
Pulmonary_Nodules,dominant_nodule_size,最大结节大小,decimal,mm,0-100,,,N,主要结节最大径,Lung-RADS
Pulmonary_Nodules,dominant_nodule_location,主要结节部位,categorical,,,"RUL,RML,RLL,LUL,LLL,NA",,,N,最大结节位置,手术定位
Pulmonary_Nodules,nodule_morphology,结节形态,categorical,,,"Solid,Part_Solid,Pure_GGO,Calcified,Spiculated,Smooth,NA",,,N,结节性质,恶性风险
Pulmonary_Nodules,spiculation,毛刺征,categorical,,,"Yes,No,NA",,,N,分叶毛刺,恶性特征
Pulmonary_Nodules,lung_rads_category,Lung-RADS分类,categorical,,,"0,1,2,3,4A,4B,4X,NA",,,N,Lung-RADS评分,筛查分类
