Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,assessment_date,评估日期,date,,,,,Y,评估时间,诊断时点
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,流行病学
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,疾病分布
Symptoms,primary_symptom,主要症状,string,,,,,Y,症状描述,临床表现
Symptoms,symptom_severity,症状严重度,categorical,,Mild,Moderate,Severe,,,Y,轻度/中度/重度,疾病程度
Labs,liver_function,肝功能,string,,,,,N,ALT/AST/ALP/TB/ALB,肝脏评估
Labs,renal_function,肾功能,string,,,,,N,Cr/eGFR/BUN,肾脏功能
Labs,inflammatory_markers,炎症指标,string,,,,,N,CRP/ESR/WBC,炎症活动
Imaging,imaging_findings,影像学表现,string,,,,,Y,内镜/CT/MRI/超声,诊断依据
Endoscopy,endoscopy_findings,内镜表现,string,,,,,N,病变描述,直视诊断
Endoscopy,biopsy_result,活检结果,string,,,,,N,病理诊断,组织学确诊
Diagnosis,primary_diagnosis,主要诊断,string,,,,,Y,疾病诊断,临床诊断
Diagnosis,complications,并发症,string,,,,,N,相关并发症,疾病进展
Treatment_Pharmacologic,medication,药物治疗,string,,,,,Y,治疗药物,药物方案
Treatment_Lifestyle,lifestyle_modification,生活方式干预,string,,,,,Y,饮食/运动/戒烟酒,非药物治疗
Treatment_Intervention,endoscopic_intervention,内镜干预,categorical,,None,Banding,Sclerotherapy,Hemostasis,Dilation,,,N,无/套扎/硬化/止血/扩张,内镜治疗
Treatment_Surgical,surgical_procedure,手术治疗,categorical,,None,Performed,,,N,无/已行手术,外科干预
Response,treatment_response,治疗反应,categorical,,Complete_Response,Partial_Response,No_Response,,,Y,完全缓解/部分缓解/无反应,疗效评估
Monitoring,follow_up_plan,随访计划,string,,,,,Y,随访安排,长期管理
Outcome,disease_progression,疾病进展,categorical,,Stable,Improved,Worsened,,,Y,稳定/好转/恶化,疾病转归
Report,gastroenterologist,消化科医师,string,,,,,Y,主管医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
