Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,assessment_date,评估日期,date,,,,,Y,评估时间,诊断时点
Basic_Info,age,年龄,integer,years,18-120,,,Y,患者年龄,危险因素
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,流行病学
Risk_Factors,comorbidities,合并症,string,,,,,Y,基础疾病,预后因素
Risk_Factors,immunosuppression,免疫抑制,boolean,,,,,Y,免疫抑制状态,严重感染风险
Clinical_Features,symptoms,症状,string,,,,,Y,临床症状,疾病表现
Clinical_Features,symptom_duration,症状持续时间,integer,days,0-365,,,Y,症状天数,疾病分期
Vital_Signs,temperature,体温,decimal,℃,35-42,8310-5,,Y,体温,感染指标
Vital_Signs,oxygen_saturation,血氧饱和度,integer,%,0-100,2708-6,,Y,SpO2,氧合状态
Labs,inflammatory_markers,炎症指标,string,,,,,Y,WBC/CRP/PCT,感染严重度
Labs,pathogen_testing,病原学检测,string,,,,,Y,培养/抗原/抗体/PCR,病原诊断
Labs,liver_function,肝功能,string,,,,,N,ALT/AST/TB/ALB,肝脏评估
Labs,viral_load,病毒载量,decimal,IU/mL,0-10000000,,,N,HBV DNA/HCV RNA,病毒学指标
Imaging,imaging_findings,影像学表现,string,,,,,Y,胸片/CT,诊断依据
Severity,severity_score,严重度评分,string,,,,,Y,CURB-65/PSI/Child-Pugh,预后评估
Severity,disease_severity,疾病严重度,categorical,,Mild,Moderate,Severe,Critical,,,Y,轻度/中度/重度/危重,分层管理
Diagnosis,primary_diagnosis,主要诊断,string,,,,,Y,疾病诊断,临床诊断
Diagnosis,pathogen_identified,病原体,string,,,,,N,确诊病原体,针对性治疗
Treatment_Antimicrobial,antibiotic_regimen,抗菌治疗方案,string,,,,,Y,抗生素方案,经验性/目标性治疗
Treatment_Antimicrobial,antiviral_therapy,抗病毒治疗,string,,,,,N,核苷类似物/DAA,病毒抑制
Treatment_Supportive,supportive_care,支持治疗,string,,,,,N,氧疗/液体复苏,对症支持
Monitoring,treatment_duration,治疗疗程,integer,days,0-365,,,Y,抗感染疗程,足疗程治疗
Response,clinical_response,临床反应,categorical,,Cure,Improvement,Treatment_Failure,,,Y,治愈/好转/治疗失败,疗效评估
Response,virological_response,病毒学应答,categorical,,SVR,Partial_Response,No_Response,,,N,持续病毒学应答/部分应答/无应答,HCV治疗目标
Outcome,treatment_outcome,治疗结局,categorical,,Recovered,Improved,Died,,,Y,痊愈/好转/死亡,最终结局
Report,infectious_disease_specialist,感染科医师,string,,,,,Y,主管医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
