Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,评估日期,病程记录
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,各年龄段
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,人群特征

Diagnosis,sinusitis_type,鼻窦炎类型,categorical,,"Acute,Chronic,Recurrent_Acute,Acute_on_Chronic",,,Y,急性/慢性/复发性急性/急性加重,病程分类
Diagnosis,chronic_sinusitis,慢性鼻窦炎,boolean,,,,,Y,症状≥12周,诊断标准
Diagnosis,with_nasal_polyps,伴鼻息肉,boolean,,,,,Y,CRSwNP,表型分类
Diagnosis,without_nasal_polyps,不伴鼻息肉,boolean,,,,,Y,CRSsNP,表型分类

Duration,symptom_duration,症状持续时间,integer,weeks,0-520,,,Y,症状周数,急性<4周/慢性≥12周
Duration,episode_frequency,发作频率,integer,,0-50,,,N,每年发作次数,复发性

Cardinal_Symptoms,nasal_obstruction,鼻塞,boolean,,,,,Y,鼻腔阻塞,主要症状
Nasal_obstruction,obstruction_severity,鼻塞严重度,categorical,,"Mild,Moderate,Severe",,,Y,轻度/中度/重度,生活质量影响
Cardinal_Symptoms,nasal_discharge,鼻涕,boolean,,,,,Y,鼻分泌物,主要症状
Cardinal_Symptoms,discharge_quality,鼻涕性质,categorical,,"Clear,Mucoid,Purulent,Bloody",,,Y,清亮/黏液/脓性/血性,感染线索
Cardinal_Symptoms,facial_pain_pressure,面部疼痛压迫感,boolean,,,,,Y,面部痛/胀,主要症状
Cardinal_Symptoms,smell_reduction,嗅觉减退,boolean,,,,,Y,嗅觉下降/丧失,主要症状

Additional_Symptoms,postnasal_drip,鼻后滴漏,boolean,,,,,N,咽后壁黏液,刺激咽喉
Additional_Symptoms,cough,咳嗽,boolean,,,,,N,慢性咳嗽,鼻后滴漏
Additional_Symptoms,halitosis,口臭,boolean,,,,,N,口腔异味,厌氧菌感染
Additional_Symptoms,dental_pain,牙痛,boolean,,,,,N,上颌牙痛,上颌窦炎
Additional_Symptoms,headache,头痛,boolean,,,,,N,额颞痛,额窦/蝶窦
Additional_Symptoms,ear_fullness,耳闷,boolean,,,,,N,耳闭塞感,咽鼓管功能障碍
Additional_Symptoms,fatigue,疲劳,boolean,,,,,N,乏力,慢性炎症

Sinus_Involvement,maxillary_sinuses,上颌窦,categorical,,"Bilateral,Right,Left,None",,,Y,双侧/右/左/无,最常受累
Sinus_Involvement,ethmoid_sinuses,筛窦,categorical,,"Bilateral,Right,Left,None",,,Y,双侧/右/左/无,关键部位
Sinus_Involvement,frontal_sinuses,额窦,categorical,,"Bilateral,Right,Left,None",,,Y,双侧/右/左/无,并发症风险
Sinus_Involvement,sphenoid_sinuses,蝶窦,categorical,,"Bilateral,Right,Left,None",,,Y,双侧/右/左/无,深部鼻窦
Sinus_Involvement,number_of_sinuses,受累鼻窦数,integer,,0-8,,,N,受累窦数,严重程度

