Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,assessment_date,评估日期,date,,,,,Y,评估日期,认知记录
Basic_Info,age,年龄,integer,years,50-120,,,Y,患者年龄,老年认知
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,人群特征
Basic_Info,education_years,受教育年限,integer,years,0-30,,,Y,教育程度,认知储备

MMSE,mmse_performed,MMSE评估,boolean,,,,,Y,简易精神状态检查,筛查工具
MMSE,mmse_total_score,MMSE总分,integer,,0-30,72106-8,,Y,MMSE评分,≤24异常
MMSE,mmse_orientation,定向力,integer,,0-10,,,N,时间地点定向,早期受损
MMSE,mmse_registration,即刻记忆,integer,,0-3,,,N,3个词注册,记忆力
MMSE,mmse_attention_calculation,注意与计算,integer,,0-5,,,N,连续减7或拼写,执行功能
MMSE,mmse_recall,延迟回忆,integer,,0-3,,,N,3个词回忆,记忆损害
MMSE,mmse_language,语言,integer,,0-9,,,N,命名/复述/理解/书写,语言功能

MoCA,moca_performed,MoCA评估,boolean,,,,,N,蒙特利尔认知评估,更敏感
MoCA,moca_total_score,MoCA总分,integer,,0-30,72172-0,,N,MoCA评分,<26异常
MoCA,moca_visuospatial,视空间执行,integer,,0-5,,,N,连线/立方体/钟表,额叶功能
MoCA,moca_naming,命名,integer,,0-3,,,N,动物命名,语义记忆
MoCA,moca_attention,注意力,integer,,0-6,,,N,数字广度/警觉/连续减7,注意功能
MoCA,moca_language,语言,integer,,0-3,,,N,复述/流畅性,语言能力
MoCA,moca_abstraction,抽象,integer,,0-2,,,N,相似性,抽象思维
MoCA,moca_delayed_recall,延迟回忆,integer,,0-5,,,N,5个词回忆,情景记忆
MoCA,moca_orientation,定向,integer,,0-6,,,N,时间地点,定向力

CDR,cdr_performed,CDR评估,boolean,,,,,N,临床痴呆评定量表,分期工具
CDR,cdr_score,CDR评分,categorical,,"0,0.5,1,2,3",,,N,CDR分级,痴呆严重度
