fieldName,displayName,dataType,description,exampleValue
basic.reportId,基本信息.报告ID,String,"病理报告唯一标识符",CRC-2024-001234
basic.patientId,基本信息.患者ID,String,"患者唯一标识符",P123456789
basic.patientName,基本信息.患者姓名,String,"患者姓名",张三
basic.age,基本信息.年龄,Number,"患者年龄(岁)。<br>**流行病学**: 结直肠癌中位发病年龄60-65岁,但年轻化趋势明显,<50岁患者占10-15%<br>**临床意义**: 年龄是独立预后因素,≥70岁患者手术并发症率增加;年轻发病(<50岁)提示Lynch综合征可能(占15-20%),需检测MMR",58
basic.gender,基本信息.性别,String,"患者性别。<br>**建议值**: `男`, `女`<br>**流行病学**: 结肠癌男:女=1.2:1,直肠癌男:女=1.5-2:1",男
basic.reportDate,基本信息.报告日期,Date,"病理报告出具日期",2024-03-15
basic.hospitalName,基本信息.医院名称,String,"出具报告的医疗机构名称",北京协和医院
basic.pathologistName,基本信息.病理医师,String,"报告病理医师姓名",李医生
specimen.type,标本信息.标本类型,String,"病理标本类型。<br>**建议值**:<br>- `肠镜活检`: 诊断金标准,取材6-8块,确诊率>95%<br>- `内镜黏膜切除术(EMR)标本`: 早期癌内镜切除<br>- `内镜黏膜下剥离术(ESD)标本`: 早期癌内镜切除,可评估浸润深度<br>- `结肠部分切除标本`: 根治性手术标本<br>- `直肠切除标本`: 低位前切除/腹会阴切除<br>- `淋巴结活检`: 淋巴结转移诊断<br>- `转移灶活检`: 肝/肺/腹膜转移活检<br>**临床意义**: 肠镜活检确诊率>95%,但浸润深度评估不准确;ESD标本可准确评估T1分期和脉管侵犯",肠镜活检
specimen.location,标本信息.肿瘤部位,String,"肿瘤在结直肠的位置。<br>**结肠**:<br>- **盲肠**: 占5-10%<br>- **升结肠**: 占10-15%<br>- **肝曲**: 占5%<br>- **横结肠**: 占5-10%<br>- **脾曲**: 占3-5%<br>- **降结肠**: 占5-10%<br>- **乙状结肠**: 占25-30%<br>**直肠**:<br>- **直肠上段**: 距肛缘12-15cm,占10-15%<br>- **直肠中段**: 距肛缘7-12cm,占15-20%<br>- **直肠下段**: 距肛缘<7cm,占10-15%<br>**建议值**: `盲肠`, `升结肠`, `肝曲`, `横结肠`, `脾曲`, `降结肠`, `乙状结肠`, `直肠上段(12-15cm)`, `直肠中段(7-12cm)`, `直肠下段(<7cm)`<br>**临床意义**: 右半结肠癌(盲肠-横结肠)占40%,左半结肠癌(脾曲-乙状结肠)占30%,直肠癌占30%;右半结肠癌多为块状肿瘤/贫血,左半结肠癌多为环形狭窄/梗阻;直肠癌位置决定手术方式和保肛可能性",乙状结肠
specimen.size,标本信息.肿瘤大小,String,"肿瘤最大径(cm)。<br>**测量**: 肿瘤长径×宽径,如`4.5×3.0cm`<br>**临床意义**: 肿瘤大小是预后因素,≥5cm提示进展期,淋巴结转移率增加;早期癌(T1)平均1-2cm,进展期平均4-6cm",4.5×3.0cm
clinical.symptoms,临床表现.主要症状,String,"主要临床症状。<br>**右半结肠癌**: 贫血、腹部包块、慢性腹泻、隐痛(40%)<br>**左半结肠癌**: 便血、排便习惯改变、腹痛、肠梗阻(30%)<br>**直肠癌**: 便血(鲜血)、排便习惯改变、里急后重、肛门坠胀(30%)<br>**晚期症状**: 肠梗阻、腹水、黄疸(肝转移)、呼吸困难(肺转移)<br>**建议值**: `无症状(体检/筛查发现)`, `便血`, `贫血`, `排便习惯改变`, `腹痛`, `肠梗阻`, `腹部包块`, `里急后重`<br>**临床意义**: 便血是最常见症状(60-70%),右半结肠便血为暗红色混在粪便中,直肠便血为鲜红色附在粪便表面;15-20%患者无症状通过筛查发现,预后较好",便血,排便习惯改变
