fieldKey,fieldName,fieldType,fieldDescription,exampleValue
screeningMethod,筛查方法,String,"结直肠癌筛查方法。<br>**建议值**: `粪便免疫化学试验(FIT)`, `愈创木脂粪便隐血试验(gFOBT)`, `多靶点粪便FIT-DNA(mt-sDNA)`, `结肠镜检查`, `乙状结肠镜检查`, `CT结肠成像(虚拟肠镜)`, `问卷+FIT初筛(中国模式)`<br>**指南推荐**: 平均风险人群FIT年度筛查或结肠镜10年筛查",粪便免疫化学试验(FIT)
patientAge,患者年龄,Number,"患者年龄,单位岁。<br>**筛查起始年龄**: 45岁(USPSTF 2021更新,原为50岁)<br>**筛查终止年龄**: 75岁(76-85岁个体化决策,>85岁不推荐)<br>**中国指南**: 50-75岁高危人群筛查",52
riskLevel,风险等级,String,"结直肠癌风险等级。<br>**建议值**: `平均风险`, `高风险(家族史)`, `极高风险(遗传综合征)`, `炎症性肠病(IBD)`<br>**平均风险**: 无家族史、无症状、无IBD<br>**高风险**: 一级亲属患CRC或进展期腺瘤、个人腺瘤史<br>**极高风险**: Lynch综合征、FAP、HNPCC等",平均风险
screeningHistory,既往筛查史,String,"既往结直肠癌筛查历史。<br>**建议值**: `首次筛查`, `既往筛查阴性`, `既往发现腺瘤已切除`, `既往发现高危腺瘤`, `既往CRC治疗后随访`<br>**临床意义**: 筛查史影响随访策略",既往筛查阴性
lastColonoscopyDate,上次肠镜日期,String,"上次结肠镜检查日期,格式YYYY-MM-DD。<br>**筛查间隔**:<br>- 阴性结肠镜: 10年<br>- 低危腺瘤(1-2个<10mm管状腺瘤): 5-10年<br>- 高危腺瘤(≥3个或≥10mm或绒毛/高级别异型增生): 3年",2015-06-20
familyHistory.crc,家族史.结直肠癌,String,"一级亲属结直肠癌家族史。<br>**建议值**: `无家族史`, `1个一级亲属≥60岁诊断`, `1个一级亲属<60岁诊断(高危)`, `≥2个一级亲属任何年龄(高危)`<br>**临床意义**: 一级亲属<60岁或≥2个亲属患CRC → 筛查提前至40岁或较最小诊断年龄提前10年",无家族史
familyHistory.lynch,家族史.Lynch综合征,Boolean,"家族中是否有Lynch综合征(遗传性非息肉病性结直肠癌, HNPCC)。<br>**特征**: MSH2/MLH1/MSH6/PMS2/EPCAM基因突变<br>**CRC风险**: 终生风险40-80%<br>**筛查策略**: 20-25岁开始,每1-2年肠镜",false
familyHistory.fap,家族史.家族性腺瘤性息肉病,Boolean,"家族中是否有家族性腺瘤性息肉病(FAP)。<br>**特征**: APC基因突变,结肠数百至数千息肉<br>**CRC风险**: 几乎100%进展为癌(30-40岁)<br>**筛查策略**: 10-15岁开始年度肠镜,通常需预防性结肠切除",false
ibd.history,炎症性肠病.病史,String,"炎症性肠病病史。<br>**建议值**: `无IBD`, `溃疡性结肠炎(UC)`, `克罗恩病(CD)`<br>**CRC风险**: 病程>8年风险显著增加,累积风险8年2%、20年8%、30年18%<br>**筛查策略**: 病程8年后开始每1-3年监测肠镜",无IBD
ibd.duration,炎症性肠病.病程,Number,"炎症性肠病病程,单位年。<br>**关键阈值**: ≥8年开始结肠癌监测<br>**风险分层**: 病程越长风险越高",0
ibd.extent,炎症性肠病.病变范围,String,"炎症性肠病累及范围。<br>**建议值**: `直肠炎(最低风险)`, `左半结肠炎`, `广泛性结肠炎(最高风险)`<br>**临床意义**: 广泛性结肠炎CRC风险是直肠炎的2-3倍",
symptoms.rectalBleeding,症状.便血,String,"便血情况。<br>**建议值**: `无`, `鲜血便(提示下消化道出血)`, `黑便(提示上消化道出血)`, `大便潜血阳性`, `持续性便血`<br>**临床意义**: 有症状者不适合筛查,应直接诊断性肠镜",无
