字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行心血管代谢风险评估的日期,2025-10-01
patientID,患者ID,String,患者唯一标识符,P123456
clinicalPresentation,临床表现,String,"临床表现类型。<br>**建议值**: `无症状`, `稳定性心绞痛`, `不稳定型心绞痛`, `非ST段抬高型心肌梗死(NSTEMI)`, `ST段抬高型心肌梗死(STEMI)`, `慢性心力衰竭`, `急性心力衰竭`, `心律失常`",稳定性心绞痛
anginaClass,心绞痛分级,String,"CCS心绞痛分级。<br>**建议值**: `无`, `I级(剧烈活动)`, `II级(中度活动受限)`, `III级(轻度活动受限)`, `IV级(静息痛)`",II级(中度活动受限)
symptomsAtypical,非典型症状,Boolean,"是否存在非典型症状(乏力、气短、上腹不适等)。<br>**说明**: 糖尿病、老年人、女性多见",true
metsComponents.waistCircumference,代谢综合征组分.腰围,Number,"腰围测量。<br>单位: cm<br>**MetS诊断标准**: 男性≥90cm，女性≥85cm",95
metsComponents.bloodPressure.systolic,代谢综合征组分.血压.收缩压,Number,"收缩压。<br>单位: mmHg<br>**MetS诊断标准**: ≥130 mmHg或已用降压药",145
metsComponents.bloodPressure.diastolic,代谢综合征组分.血压.舒张压,Number,"舒张压。<br>单位: mmHg<br>**MetS诊断标准**: ≥85 mmHg或已用降压药",92
metsComponents.fastingGlucose,代谢综合征组分.空腹血糖,Number,"空腹血糖。<br>单位: mmol/L<br>**MetS诊断标准**: ≥6.1或已确诊糖尿病",6.8
metsComponents.triglycerides,代谢综合征组分.甘油三酯,Number,"甘油三酯。<br>单位: mmol/L<br>**MetS诊断标准**: ≥1.7",2.3
metsComponents.hdlCholesterol,代谢综合征组分.HDL-C,Number,"高密度脂蛋白胆固醇。<br>单位: mmol/L<br>**MetS诊断标准**: 男性<1.0，女性<1.3",0.9
metsComponents.componentCount,代谢综合征组分.组分数量,Number,"符合MetS标准的组分数量。<br>**MetS诊断**: ≥3个组分",4
metsComponents.diagnosis,代谢综合征组分.诊断,String,"是否符合代谢综合征诊断。<br>**建议值**: `是`, `否`",是
riskAssessment.ascvd10Year,风险评估.ASCVD 10年风险,Number,"中国版ASCVD 10年心血管病风险。<br>单位: %<br>**分层**: <5%低危，5-10%中危，10-20%高危，>20%极高危",15.8
riskAssessment.riskCategory,风险评估.风险分层,String,"心血管风险分层。<br>**建议值**: `低危(<5%)`, `中危(5-10%)`, `高危(10-20%)`, `极高危(>20%或已有ASCVD)`",高危(10-20%)
riskAssessment.familyHistory,风险评估.家族史,Boolean,"一级亲属早发冠心病史(男性<55岁，女性<65岁)",true
riskAssessment.smokingStatus,风险评估.吸烟状态,String,"吸烟情况。<br>**建议值**: `从不吸烟`, `已戒烟`, `当前吸烟`",当前吸烟
ecg.stSegmentChange,心电图.ST段改变,String,"ST段改变情况。<br>**建议值**: `正常`, `压低≥0.5mm`, `抬高≥1mm`, `非特异性改变`",压低≥0.5mm
ecg.tWaveChange,心电图.T波改变,String,"T波改变。<br>**建议值**: `正常`, `倒置`, `低平`, `高尖`",倒置
ecg.pathologicalQWave,心电图.病理性Q波,Boolean,"是否存在病理性Q波(提示陈旧性心肌梗死)",false
ecg.arrhythmia,心电图.心律失常,String,"心律失常类型。<br>**建议值**: `无`, `窦性心动过速`, `窦性心动过缓`, `房性早搏`, `室性早搏`, `心房颤动`, `室性心动过速`",室性早搏
exerciseTolerance.testPerformed,运动负荷试验.已完成,Boolean,是否完成运动负荷试验,true
exerciseTolerance.result,运动负荷试验.结果,String,"运动负荷试验结果。<br>**建议值**: `阴性`, `阳性`, `不确定`",阳性
exerciseTolerance.stDepression,运动负荷试验.ST段压低,Number,"运动诱发ST段压低。<br>单位: mm<br>**阳性标准**: ≥1mm(水平或下斜型)",1.5
exerciseTolerance.chestPain,运动负荷试验.胸痛,Boolean,运动中是否出现典型胸痛,true
exerciseTolerance.bpResponse,运动负荷试验.血压反应,String,"血压反应。<br>**建议值**: `正常`, `收缩压下降>10mmHg`, `过度升高`",正常
cacScore.value,冠脉钙化积分.CAC评分,Number,"冠脉钙化积分(Agatston评分)。<br>**分级**: 0=无，1-99=轻度，100-399=中度，≥400=重度",156
cacScore.category,冠脉钙化积分.分级,String,"CAC分级。<br>**建议值**: `CAC=0(极低危)`, `CAC 1-99(轻度)`, `CAC 100-399(中度)`, `CAC≥400(重度，高危)`",CAC 100-399(中度)
