Category,Subcategory,Field_Name,Field_Name_CN,Data_Type,Unit,Value_Range,Normal_Range,Abnormal_Indicators,Clinical_Significance,Interpretation_Logic,Related_Diseases,Risk_Level,Recommended_Actions,LOINC_Code,Notes
Basic_Info,Patient_Info,patient_id,患者ID,String,,,,,Patient unique identifier,,,Low,,,"Unique patient identifier"
Basic_Info,Patient_Info,exam_date,检查日期,Date,,,,,Date of coronary CTA examination,,,Low,,,"Format: YYYY-MM-DD"
Basic_Info,Patient_Info,patient_age,患者年龄,Integer,years,0-120,,,"Age at examination, affects reference ranges",,,Low,,,"Age affects calcium score interpretation"
Basic_Info,Patient_Info,patient_gender,患者性别,Categorical,,Male/Female,,,"Gender affects CAD risk stratification",,,Low,,,"Male/Female"
Basic_Info,Exam_Info,indication,检查适应症,String,,,,,Reason for coronary CTA,,,Low,,,Chest pain/CAD screening/pre-surgery evaluation
Basic_Info,Exam_Info,contrast_volume,对比剂用量,Float,mL,50-150,,,"Volume of iodinated contrast used",,,Low,,,Typical range 60-100mL
Basic_Info,Exam_Info,heart_rate_during_scan,扫描时心率,Integer,bpm,40-100,<65,"HR >65","Heart rate affects image quality, lower is better","HR <65 bpm optimal, >65 may need beta-blocker",Arrhythmia,Medium,HR control before scan,8867-4,"Target <65 bpm for optimal imaging"
Basic_Info,Exam_Info,beta_blocker_used,使用β受体阻滞剂,Boolean,,Yes/No,,,"Whether beta-blocker was given for HR control",,,Low,,,To achieve target HR <65 bpm
Basic_Info,Exam_Info,image_quality,图像质量,Categorical,,"Excellent/Good/Fair/Poor",,Fair/Poor,"Image quality assessment","Excellent/Good: diagnostic; Fair/Poor: may need repeat",,Medium,Consider repeat if poor,,"Motion artifacts affect interpretation"
Basic_Info,Exam_Info,radiation_dose,辐射剂量,Float,mSv,1-15,<5,>10,"Effective radiation dose",,,,Low,,,Modern scanners typically 2-5 mSv

