字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
presentationDate,就诊日期,Date,DVT发现/确诊日期,2025-01-15
encounterType,就诊类型,String,"**建议值**: `门诊`, `急诊`, `住院期间发现`, `体检发现`",急诊

symptoms.legSwelling,症状.下肢肿胀,String,"**最常见症状(80%)**。<br>**建议值**: `无`, `单侧肿胀`, `双侧肿胀(少见,提示髂静脉/下腔静脉血栓)`, `近端(大腿)肿胀`, `远端(小腿)肿胀`",单侧肿胀
symptoms.legPain,症状.下肢疼痛,String,"**建议值**: `无`, `轻度胀痛`, `中度疼痛`, `重度疼痛(活动时加重)`",中度疼痛
symptoms.warmth,症状.局部皮温升高,String,"**建议值**: `无`, `有(患肢较对侧温热)`",有
symptoms.erythema,症状.皮肤发红,String,"**建议值**: `无`, `轻度发红`, `明显发红/紫绀`",轻度发红
symptoms.onset,症状.起病方式,String,"**建议值**: `急性(数小时-1天)`, `亚急性(数天)`, `慢性(数周)`, `无症状(影像学偶然发现)`",急性

symptoms.duration,症状.症状持续时间,String,"从症状出现到就诊。<br>**建议值**: `<24小时`, `1-3天`, `4-7天`, `>1周`",1-3天
symptoms.pe,症状.肺栓塞症状,String,"呼吸困难/胸痛/咯血/晕厥。<br>**建议值**: `无PE症状`, `有疑似PE症状(呼吸困难/胸痛)`, `已确诊合并PE`",无PE症状

physicalExam.affectedLimb,体格检查.患肢,String,"**建议值**: `左下肢`, `右下肢`, `双下肢`, `上肢(少见,UEDVT)`",右下肢
physicalExam.circumferenceDifference,体格检查.周径差,Number,"患肢与健肢周径差异(小腿最粗处或大腿中部)。<br>单位: cm<br>**≥3cm**: 提示DVT(Wells评分标准)",4.5
physicalExam.pitting,体格检查.凹陷性水肿,String,"**建议值**: `无`, `轻度(+)`, `中度(++)`, `重度(+++)`",中度(++)
physicalExam.tenderness,体格检查.压痛,String,"沿静脉走行压痛。<br>**建议值**: `无`, `腓肠肌压痛`, `腘窝压痛`, `股静脉/内收肌管压痛`, `腹股沟区压痛(髂静脉)`",腓肠肌压痛;腘窝压痛
physicalExam.homansSign,体格检查.Homans征,String,"背屈足踝时小腿疼痛(敏感性低,特异性差,不推荐常规使用)。<br>**建议值**: `阴性`, `阳性`, `未检查`",阳性
physicalExam.palpableCord,体格检查.可触及条索状硬结,String,"触及血栓化静脉。<br>**建议值**: `无`, `有`",有

physicalExam.collateralVeins,体格检查.侧支循环,String,"浅静脉扩张/曲张。<br>**建议值**: `无`, `有(慢性DVT/近端阻塞)`",无
physicalExam.cyanosis,体格检查.发绀,String,"**股青肿**(phlegmasia cerulea dolens): 广泛髂股静脉血栓+发绀+动脉缺血,危及肢体。<br>**建议值**: `无`, `轻度`, `重度(股青肿,急症)`",无
physicalExam.pulses,体格检查.动脉搏动,String,"**建议值**: `正常`, `减弱(股青肿或腔隙综合征)`, `消失(股青肿)`",正常

location.proximal,部位.近端DVT,String,"**近端DVT**: 腘静脉及以上(腘静脉/股静脉/股总静脉/髂静脉/下腔静脉),PE风险高,需抗凝治疗。<br>**建议值**: `无近端DVT`, `腘静脉`, `股浅静脉`, `股总静脉`, `髂外静脉`, `髂总静脉`, `下腔静脉`, `多处近端血栓`",腘静脉;股浅静脉
location.distal,部位.远端DVT,String,"**远端DVT**(小腿肌间静脉): 胫后静脉/胫前静脉/腓静脉/肌间静脉,PE风险较低,抗凝策略有争议。<br>**建议值**: `无远端DVT`, `小腿肌间静脉血栓`, `胫后静脉`, `胫前静脉`, `腓静脉`",无远端DVT
location.superficial,部位.浅静脉血栓,String,"**浅静脉血栓性静脉炎**(SVT): 大隐/小隐静脉,通常良性,但近端SVT(距隐股交界<5cm)可延伸至深静脉。<br>**建议值**: `无SVT`, `大隐静脉SVT(远端)`, `大隐静脉SVT(近端,需抗凝)`, `小隐静脉SVT`",无SVT

location.uedvt,部位.上肢DVT,String,"**上肢DVT(UEDVT)**: 锁骨下/腋静脉/肱静脉。<br>**原发性**: Paget-Schroetter综合征(运动相关)<br>**继发性**: 中心静脉置管相关。<br>**建议值**: `不适用(下肢DVT)`, `上肢DVT(锁骨下/腋静脉)`, `导管相关上肢DVT`",不适用

riskFactors.recentSurgery,危险因素.近期手术,String,"**最近3个月**。<br>**高危手术**: 骨科大手术(髋/膝关节置换,髋部骨折),腹盆腔手术,神经外科手术,肿瘤手术。<br>**建议值**: `无`, `高危手术(具体,XX天前)`, `中危手术`, `低危手术`",高危手术(全髋关节置换,2周前)
riskFactors.recentTrauma,危险因素.近期创伤,String,"**建议值**: `无`, `下肢/骨盆骨折`, `脊髓损伤`, `其他严重创伤`,无
riskFactors.immobilization,危险因素.制动,String,"**建议值**: `无`, `卧床≥3天`, `长途旅行(>4-6小时)`, `石膏固定`, `偏瘫/截瘫`, `重症监护室制动`",无
riskFactors.activeCancer,危险因素.活动性肿瘤,String,"**恶性肿瘤**: VTE风险↑4-7倍。<br>**高危肿瘤**: 胰腺癌,胃癌,脑癌,卵巢癌,肺癌,淋巴瘤,骨髓增生性疾病。<br>**建议值**: `无`, `确诊肿瘤未治疗`, `正在化疗/放疗`, `转移性肿瘤`, `肿瘤病史(已治愈>5年)`",无

riskFactors.previousVTE,危险因素.既往VTE史,String,"**最强危险因素**,复发风险↑5-7倍。<br>**建议值**: `无`, `既往DVT(同侧)`, `既往DVT(对侧)`, `既往PE`, `既往DVT+PE`, `复发性VTE(≥2次)`",无
riskFactors.thrombophilia,危险因素.易栓症,String,"**遗传性**: FV Leiden突变,凝血酶原G20210A突变,抗凝血酶III缺乏,蛋白C/S缺乏。<br>**获得性**: 抗磷脂综合征。<br>**建议值**: `无`, `已知易栓症(具体)`, `未检测`, `家族史阳性(疑似)`, `检测中`",未检测

riskFactors.pregnancy,危险因素.妊娠/产褥期,String,"**妊娠**: VTE风险↑5倍,**产后6周**: 风险最高,**剖宫产**: 风险更高。<br>**建议值**: `非妊娠`, `妊娠期(孕周XX周)`, `产后6周内`, `产后>6周`",非妊娠
riskFactors.hormonalTherapy,危险因素.激素治疗,String,"**口服避孕药**: 风险↑2-4倍,**激素替代治疗**: 风险↑2倍。<br>**建议值**: `无`, `口服避孕药`, `激素替代治疗`, `他莫昔芬`, `其他激素`",无

riskFactors.centralLine,危险因素.中心静脉置管,String,"**导管相关DVT**: 锁骨下/颈内静脉置管。<br>**建议值**: `无`, `中心静脉置管(留置XX天)`, `PICC导管`, `已拔除(XX天前)`",无
riskFactors.pacemaker,危险因素.起搏器/ICD导线,String,"**建议值**: `无`, `心脏起搏器`, `ICD`, `置入XX年`",无

riskFactors.medicalConditions,危险因素.基础疾病,String,"**示例**: `心力衰竭`, `呼吸衰竭`, `炎症性肠病(UC/CD)`, `肾病综合征`, `骨髓增生性疾病(真红/原发性血小板增多症)`, `阵发性睡眠性血红蛋白尿`, `Behcet病`, `抗磷脂综合征`, `无特殊基础病`",无特殊基础病
riskFactors.varicoseVeins,危险因素.静脉曲张,String,"**建议值**: `无`, `有`,有
riskFactors.obesity,危险因素.肥胖,String,"**建议值**: `BMI<30`, `BMI 30-40`, `BMI>40(极重度肥胖,VTE风险↑2-3倍)`,BMI<30
riskFactors.smoking,危险因素.吸烟,String,"**建议值**: `从不吸烟`, `已戒烟`, `现吸烟`,从不吸烟
riskFactors.age,危险因素.年龄,Number,"年龄。<br>单位: 岁<br>**>60岁**: VTE风险↑",58

wellsScore.activeCancer,Wells评分.活动性肿瘤,Number,"治疗中/6个月内治疗/姑息治疗。<br>**1分**: 是<br>**0分**: 否",0
wellsScore.paralysis,Wells评分.瘫痪/近期下肢石膏,Number,"瘫痪/近期下肢不动。<br>**1分**: 是<br>**0分**: 否",0
wellsScore.recentImmobilization,Wells评分.近期卧床或手术,Number,"近期卧床≥3天或大手术(4周内)。<br>**1分**: 是<br>**0分**: 否",1
wellsScore.tenderness,Wells评分.深静脉压痛,Number,"沿深静脉走行压痛。<br>**1分**: 是<br>**0分**: 否",1
wellsScore.entireLegSwollen,Wells评分.全腿肿胀,Number,"**1分**: 是<br>**0分**: 否",0
wellsScore.calfCircumference,Wells评分.小腿周径差≥3cm,Number,"患侧较健侧大≥3cm(胫骨结节下10cm处测量)。<br>**1分**: 是<br>**0分**: 否",1
wellsScore.pittingEdema,Wells评分.凹陷性水肿,Number,"患肢凹陷性水肿(大于对侧)。<br>**1分**: 是<br>**0分**: 否",1
wellsScore.collateralVeins,Wells评分.浅静脉侧支,Number,"浅静脉侧支(非静脉曲张)。<br>**1分**: 是<br>**0分**: 否",0
wellsScore.previousVTE,Wells评分.既往DVT,Number,"既往DVT病史。<br>**1分**: 是<br>**0分**: 否",0
wellsScore.alternativeDiagnosis,Wells评分.替代诊断可能性,Number,"DVT的替代诊断可能性大于或等于DVT。<br>**-2分**: 是(如蜂窝织炎/肌肉拉伤/Baker囊肿破裂/充血性心衰/淋巴水肿)<br>**0分**: 否",-2
wellsScore.totalScore,Wells评分.总分,Number,"Wells评分总分。<br>**≤0分**: DVT可能性小(患病率5%)<br>**1-2分**: 中度可能性(17%)<br>**≥3分**: 高度可能性(53%)<br>**简化两分法**: ≤1分(不太可能)vs ≥2分(可能)",3
wellsScore.probability,Wells评分.临床概率,String,"**建议值**: `DVT不太可能(≤1分)`, `DVT可能(≥2分)`, `低度(≤0)`, `中度(1-2)`, `高度(≥3)`",高度(≥3)

dDimer.value,D-二聚体.数值,Number,"血浆D-二聚体。<br>单位: μg/L(FEU)或mg/L<br>**<500 μg/L**: 阴性,可排除低-中度临床可能性DVT<br>**≥500**: 阳性,需超声检查<br>**年龄调整阈值**: >50岁,阈值=年龄×10 μg/L",1200
dDimer.method,D-二聚体.检测方法,String,"**建议值**: `ELISA`, `胶乳凝集法`, `免疫比浊法`, `POCT`,ELISA
dDimer.interpretation,D-二聚体.解读,String,"**建议值**: `阴性(Wells低分可排除DVT)`, `阳性(需超声检查)`, `阳性但使用年龄调整阈值后阴性`,阳性

ultrasound.date,静脉超声.检查日期,Date,下肢静脉超声检查日期,2025-01-15
ultrasound.type,静脉超声.检查类型,String,"**建议值**: `压迫超声(CUS)`, `全下肢静脉超声`, `彩色多普勒超声(CDUS)`, `双功能超声(压迫+多普勒)`",全下肢静脉超声
ultrasound.result,静脉超声.结果,String,"**建议值**: `阴性(无DVT)`, `阳性(确诊DVT)`, `可疑(需重复检查)`,阳性

ultrasound.acuteChronic,静脉超声.急性或慢性,String,"**急性DVT**: 静脉扩张,低回声/无回声血栓,不可压缩,无侧支。<br>**慢性DVT**: 静脉正常或缩小,强回声血栓,部分可压缩,侧支形成。<br>**建议值**: `急性DVT`, `亚急性DVT`, `慢性DVT`, `急性加重慢性DVT`, `无法区分`",急性DVT
ultrasound.nonCompressibility,静脉超声.静脉不可压缩性,String,"**诊断金标准**: 加压后静脉管腔不能完全闭合。<br>**建议值**: `完全可压缩(正常)`, `不可压缩(DVT)`, `部分可压缩(部分闭塞/慢性DVT)`",不可压缩
ultrasound.intraluminalEchoes,静脉超声.管腔内回声,String,"血栓回声。<br>**建议值**: `无管腔内回声(正常)`, `低回声血栓(急性)`, `等回声/高回声血栓(亚急性/慢性)`, `附壁血栓`",低回声血栓
ultrasound.bloodFlow,静脉超声.血流,String,"彩色多普勒血流信号。<br>**建议值**: `血流正常`, `血流缺失(完全闭塞)`, `血流减少(部分闭塞)`, `侧支血流`",血流缺失

ultrasound.thrombusMobility,静脉超声.血栓活动度,String,"**漂浮血栓**: PE高危。<br>**建议值**: `血栓固定`, `漂浮血栓(PE高危)`, `不适用`",血栓固定
ultrasound.extent,静脉超声.血栓累及范围,String,"详细描述血栓位置和长度。<br>**示例**: `右侧腘静脉完全闭塞,向上延伸至股浅静脉中段`, `左侧小腿肌间静脉多发血栓`, `双侧股静脉血栓`,右侧腘静脉+股浅静脉血栓

venography.performed,静脉造影.是否完成,String,"**金标准**(但有创,现已较少使用,超声阴性但临床高度怀疑时考虑)。<br>**建议值**: `已完成`, `未完成(超声已确诊)`, `未完成(超声阴性,临床低度怀疑)`",未完成
venography.result,静脉造影.结果,String,"**建议值**: `阴性`, `阳性(DVT)`, `未做`",未做

mri.performed,MRI静脉成像.是否完成,String,"**MRV适应证**: 髂静脉/下腔静脉血栓(超声显示受限),上肢DVT,中枢静脉血栓(脑静脉窦血栓)。<br>**建议值**: `已完成`, `未完成`, `不需要`",未完成
mri.result,MRI静脉成像.结果,String,"**建议值**: `阴性`, `阳性(髂静脉/下腔静脉血栓)`, `未做`",未做

labs.platelets,实验室.血小板,Number,"血小板计数。<br>单位: ×10⁹/L<br>**<50**: 抗凝禁忌/相对禁忌",220
labs.hemoglobin,实验室.血红蛋白,Number,"血红蛋白。<br>单位: g/L",135
labs.creatinine,实验室.肌酐,Number,"血清肌酐。<br>单位: μmol/L<br>**CrCl<30**: DOAC需调整剂量或禁用",75
