fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,皮肤代谢病变检查日期,2024-12-01
patientID,患者ID,String,患者唯一标识符,DM-001
patientName,患者姓名,String,患者全名,张三
clinicalIndication,临床适应症,String,检查适应症和临床背景,糖尿病皮肤并发症评估
chiefComplaint,主诉,String,患者主要皮肤症状主诉,颈部皮肤变黑增厚
presentIllness,现病史,String,当前皮肤症状详细病史,近2年颈部腋下皮肤逐渐变黑
pastHistory,既往史,String,既往皮肤疾病史,无明显皮肤病史
familyHistory,家族史,String,家族皮肤疾病史,母亲有糖尿病
allergyHistory,过敏史,String,皮肤过敏史,无明显皮肤过敏史
currentMedications,当前用药,String,目前使用的药物,二甲双胍胰岛素
cosmeticHistory,化妆品使用史,String,化妆品护肤品使用史,使用基础护肤品
sunExposureHistory,日晒史,String,日晒暴露史,户外工作日晒较多
occupationalExposure,职业暴露,String,职业性皮肤暴露,无特殊职业暴露
traumaHistory,外伤史,String,皮肤外伤史,无明显外伤史
vitalSigns,生命体征,String,血压心率体温,BP 140/90 HR 76 T 36.5°C
generalAppearance,一般外观,String,整体外观评估,体型肥胖皮肤偏暗
skinOverallAssessment,皮肤整体评估,String,皮肤整体状况,皮肤干燥色素沉着
skinTexture,皮肤质地,String,皮肤质地评估,皮肤粗糙增厚
skinMoisture,皮肤湿润度,String,皮肤水分状况,皮肤干燥
skinElasticity,皮肤弹性,String,皮肤弹性评估,皮肤弹性下降
skinTemperature,皮肤温度,String,皮肤温度评估,皮肤温度正常
skinSensitivity,皮肤敏感性,String,皮肤敏感性评估,皮肤敏感性正常
acanthosisNigricans,黑棘皮病,String,黑棘皮病评估,典型黑棘皮病表现
acanthosisNigricansLocation,黑棘皮病部位,String,黑棘皮病分布部位,颈部腋下腹股沟
acanthosisNigricansSeverity,黑棘皮病严重程度,String,黑棘皮病严重程度,中度
acanthosisNigricansTexture,黑棘皮病质地,String,黑棘皮病皮肤质地,天鹅绒样增厚
acanthosisNigricansColor,黑棘皮病颜色,String,黑棘皮病色素变化,深褐色色素沉着
neckRegionAssessment,颈部评估,String,颈部皮肤检查,颈部明显黑棘皮病
axillaryRegionAssessment,腋下评估,String,腋下皮肤检查,双侧腋下黑棘皮病
inguinalRegionAssessment,腹股沟评估,String,腹股沟皮肤检查,腹股沟轻度黑棘皮病
submammaryRegionAssessment,乳房下评估,String,乳房下皮肤检查,乳房下轻度色素沉着
eyelidAssessment,眼睑评估,String,眼睑皮肤检查,眼睑无明显异常
knuckleAssessment,指关节评估,String,手指关节皮肤检查,指关节轻度色素沉着
diabeticDermopathy,糖尿病皮肤病,String,糖尿病皮肤病评估,轻度糖尿病皮肤病
shinSpots,胫前色素斑,String,胫前色素斑评估,双下肢胫前散在色素斑
diabeticBlistering,糖尿病大疱,String,糖尿病大疱评估,无糖尿病大疱
diabeticThickSkin,糖尿病皮肤增厚,String,糖尿病皮肤增厚评估,轻度皮肤增厚
necrobiosis,坏死性脂样变,String,坏死性脂样变评估,无坏死性脂样变
granuloma,肉芽肿,String,肉芽肿评估,无肉芽肿
xanthoma,黄瘤,String,黄瘤评估,无黄瘤
lipoatrophy,脂肪萎缩,String,脂肪萎缩评估,注射部位轻度脂肪萎缩
lipohypertrophy,脂肪增生,String,脂肪增生评估,注射部位轻度脂肪增生
injectionSiteReactions,注射部位反应,String,胰岛素注射部位反应,注射部位轻度硬结
skinInfections,皮肤感染,String,皮肤感染评估,无明显皮肤感染
fungalInfections,真菌感染,String,真菌感染评估,足趾间轻度真菌感染
bacterialInfections,细菌感染,String,细菌感染评估,无细菌感染
viralInfections,病毒感染,String,病毒感染评估,无病毒感染
candidaInfections,念珠菌感染,String,念珠菌感染评估,无念珠菌感染
intertrigo,擦烂,String,皮肤擦烂评估,腹股沟轻度擦烂
wounds,伤口,String,皮肤伤口评估,无开放性伤口
ulcers,溃疡,String,皮肤溃疡评估,无皮肤溃疡
scars,瘢痕,String,瘢痕评估,无明显瘢痕
keloids,瘢痕疙瘩,String,瘢痕疙瘩评估,无瘢痕疙瘩
woundHealing,伤口愈合,String,伤口愈合能力,伤口愈合延迟
skinBarrierFunction,皮肤屏障功能,String,皮肤屏障功能评估,皮肤屏障功能下降
transcepidermalWaterLoss,经皮失水率,Number,TEWL值(g/m²/h),18.5
skinpH,皮肤pH值,Number,皮肤表面pH值,5.8
sebumProduction,皮脂分泌,String,皮脂分泌评估,皮脂分泌减少
stratum corneumHydration,角质层水合,String,角质层水合评估,角质层水合不足
skinMicrobiome,皮肤微生物组,String,皮肤微生物组评估,皮肤微生物组失衡
inflammatoryChanges,炎症性改变,String,皮肤炎症性改变,轻度炎症性改变
erythema,红斑,String,红斑评估,无明显红斑
papules,丘疹,String,丘疹评估,无丘疹
vesicles,水疱,String,水疱评估,无水疱
bullae,大疱,String,大疱评估,无大疱
pustules,脓疱,String,脓疱评估,无脓疱
nodules,结节,String,结节评估,无结节
plaques,斑块,String,斑块评估,无斑块
scales,鳞屑,String,鳞屑评估,轻度鳞屑
crusts,痂皮,String,痂皮评估,无痂皮
excoriations,抓痕,String,抓痕评估,无抓痕
lichenification,苔藓化,String,苔藓化评估,无苔藓化
atrophy,萎缩,String,皮肤萎缩评估,无皮肤萎缩
hypertrophy,肥厚,String,皮肤肥厚评估,局部皮肤肥厚
telangiectasia,毛细血管扩张,String,毛细血管扩张评估,无毛细血管扩张
petechiae,瘀点,String,瘀点评估,无瘀点
purpura,紫癜,String,紫癜评估,无紫癜
ecchymoses,瘀斑,String,瘀斑评估,无瘀斑
hyperpigmentation,色素沉着,String,色素沉着评估,广泛色素沉着
hypopigmentation,色素减退,String,色素减退评估,无色素减退
vitiligo,白癜风,String,白癜风评估,无白癜风
melasma,黄褐斑,String,黄褐斑评估,面部轻度黄褐斑
cafe_au_lait_spots,咖啡斑,String,咖啡斑评估,无咖啡斑
age_spots,老年斑,String,老年斑评估,面部手部散在老年斑
