Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,检查日期,随访监测
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,年龄与皮肤癌
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,黑色素瘤性别差异

Lesion_Location,anatomic_site,解剖部位,categorical,,"Head_Neck,Trunk_Anterior,Trunk_Posterior,Upper_Extremity,Lower_Extremity,Palms_Soles,Nails,Mucosa",,,Y,头颈/躯干前/躯干后/上肢/下肢/掌跖/甲/黏膜,定位记录
Lesion_Location,specific_location,具体位置,string,,,,,N,详细描述,精确定位
Lesion_Location,laterality,侧别,categorical,,"Left,Right,Midline,Bilateral",,,N,左/右/正中/双侧,对称性

Lesion_Characteristics,lesion_size,病灶最大径,decimal,mm,0-300,,,Y,最大直径,生长监测
Lesion_Characteristics,lesion_shape,病灶形状,categorical,,"Round,Oval,Irregular,Polygonal",,,Y,圆形/卵圆形/不规则/多角形,恶性线索
Lesion_Characteristics,lesion_border,边界,categorical,,"Well_Defined,Ill_Defined,Irregular",,,Y,清楚/模糊/不规则,ABCD标准
Lesion_Characteristics,lesion_color,颜色,categorical,,"Tan,Brown,Dark_Brown,Black,Blue,Gray,Red,Pink,White,Multiple_Colors",,,Y,棕褐/褐/深褐/黑/蓝/灰/红/粉/白/多色,色素评估
Lesion_Characteristics,color_variation,颜色多样性,boolean,,,,,N,颜色不均,恶性特征
Lesion_Characteristics,symmetry,对称性,categorical,,"Symmetric,Asymmetric",,,Y,对称/不对称,ABCD标准

Clinical_Concern,ugly_duckling_sign,丑小鸭征,boolean,,,,,N,与其他痣明显不同,黑色素瘤线索
Clinical_Concern,evolution,变化,boolean,,,,,Y,大小/形状/颜色改变,ABCDE的E
Clinical_Concern,symptoms,症状,categorical,,"None,Itching,Bleeding,Pain",,,N,无/瘙痒/出血/疼痛,警示症状

Dermatoscopy_Performed,dermatoscopy_exam,皮肤镜检查,boolean,,,,,Y,镜检完成,标准评估
Dermatoscopy_Performed,magnification,放大倍数,categorical,,"10x,20x,50x,100x",,,N,放大倍率,检查设备
Dermatoscopy_Performed,polarized,偏振光,boolean,,,,,N,偏振/非偏振,成像模式
Dermatoscopy_Performed,image_quality,图像质量,categorical,,"Excellent,Good,Fair,Poor",,,Y,优/良/中/差,诊断可靠性

Pigmented_Lesion,pigmented_lesion,色素性病变,boolean,,,,,Y,色素性/非色素性,分类
Pigmented_Lesion,lesion_type_suspected,疑似病变类型,categorical,,"Melanocytic_Nevus,Seborrheic_Keratosis,Lentigo,Melanoma,Basal_Cell_Carcinoma,Dermatofibroma,Hemangioma,Other",,,Y,黑素细胞痣/脂溢性角化/雀斑样痣/黑色素瘤/基底细胞癌/皮肤纤维瘤/血管瘤/其他,临床诊断

Pattern_Analysis,global_pattern,整体模式,categorical,,"Reticular,Globular,Homogeneous,Starburst,Multicomponent,Nonspecific",,,Y,网状/球状/均质/星芒状/多成分/非特异,模式识别
Pattern_Analysis,reticular_pattern,网状模式,boolean,,,,,N,色素网,良性痣
Pattern_Analysis,globular_pattern,球状模式,boolean,,,,,N,棕色球,良性痣/Spitz痣
Pattern_Analysis,homogeneous_pattern,均质模式,boolean,,,,,N,弥漫色素,蓝痣/黑色素瘤
Pattern_Analysis,starburst_pattern,星芒模式,boolean,,,,,N,放射状条纹,Spitz痣
Pattern_Analysis,multicomponent_pattern,多成分模式,boolean,,,,,N,≥3种模式,黑色素瘤可疑
Pattern_Analysis,parallel_ridge_pattern,平行嵴模式,boolean,,,,,N,掌跖特殊模式,恶性线索

Melanoma_Specific,asymmetry_of_structure,结构不对称,boolean,,,,,N,一轴或两轴不对称,恶性特征
Melanoma_Specific,atypical_pigment_network,不典型色素网,boolean,,,,,N,网孔不规则/增宽,黑色素瘤
Melanoma_Specific,irregular_dots_globules,不规则点球,boolean,,,,,N,大小形状不一,黑色素瘤
Melanoma_Specific,irregular_streaks,不规则条纹,boolean,,,,,N,放射状条纹不规则,黑色素瘤
Melanoma_Specific,irregular_blotches,不规则斑片,boolean,,,,,N,黑色/棕色不规则斑,黑色素瘤
Melanoma_Specific,blue_white_veil,蓝白色幕,boolean,,,,,N,蓝白色不规则区域,侵袭性黑色素瘤
Melanoma_Specific,regression_structures,退化结构,boolean,,,,,N,白色瘢痕样区/胡椒样颗粒,黑色素瘤退化

Vascular_Structures,dotted_vessels,点状血管,boolean,,,,,N,红色点,黑色素瘤/Spitz痣
Vascular_Structures,linear_irregular_vessels,线状不规则血管,boolean,,,,,N,不规则血管,黑色素瘤
Vascular_Structures,hairpin_vessels,发夹样血管,boolean,,,,,N,U形血管,脂溢性角化
Vascular_Structures,arborizing_vessels,树枝状血管,boolean,,,,,N,分支血管,基底细胞癌
Vascular_Structures,comma_vessels,逗号样血管,boolean,,,,,N,逗号形,良性痣

Specific_Criteria_BCC,bcc_criteria,基底细胞癌标准,boolean,,,,,N,BCC特异性结构,非黑色素瘤皮肤癌
Specific_Criteria_BCC,arborizing_telangiectasia,树枝状毛细血管扩张,boolean,,,,,N,粗大分支血管,BCC特征
Specific_Criteria_BCC,leaf_like_areas,叶片样区,boolean,,,,,N,棕蓝色叶状,色素性BCC
Specific_Criteria_BCC,spoke_wheel_areas,辐轮样区,boolean,,,,,N,放射状结构,BCC
Specific_Criteria_BCC,large_blue_gray_ovoid_nests,蓝灰色卵圆巢,boolean,,,,,N,色素沉着,BCC
Specific_Criteria_BCC,multiple_milia_like_cysts,多发粟丘疹样囊肿,boolean,,,,,N,白色/黄色圆形,BCC
Specific_Criteria_BCC,ulceration,溃疡,boolean,,,,,N,表皮缺损,侵袭性BCC

Specific_Criteria_SK,sk_criteria,脂溢性角化标准,boolean,,,,,N,SK特异性结构,良性
Specific_Criteria_SK,milia_like_cysts,粟丘疹样囊肿,boolean,,,,,N,黄白色圆形,SK
Specific_Criteria_SK,comedo_like_openings,粉刺样开口,boolean,,,,,N,褐黑色开口,SK
Specific_Criteria_SK,fissures_ridges,裂隙和嵴,boolean,,,,,N,脑回样,SK
Specific_Criteria_SK,moth_eaten_border,虫蚀样边缘,boolean,,,,,N,锐利边界,SK

Specific_Criteria_DF,df_criteria,皮肤纤维瘤标准,boolean,,,,,N,DF特异性,良性
Specific_Criteria_DF,central_white_patch,中央白色斑,boolean,,,,,N,中心纤维化,DF特征
Specific_Criteria_DF,peripheral_pigment_network,周围色素网,boolean,,,,,N,边缘网状,DF

ABCD_Rule,abcd_score,ABCD评分,decimal,,1-9,,,N,不对称+边界+颜色+皮肤镜结构,定量评分
ABCD_Rule,abcd_interpretation,ABCD判读,categorical,,"Benign,Suspicious,Malignant,Not_Applicable",,,N,良性<4.75/可疑4.75-5.45/恶性>5.45,黑色素瘤风险

Seven_Point_Checklist,major_criteria_count,主要标准数,integer,,0-3,,,N,不典型网/蓝白幕/不典型血管,0-3项
Seven_Point_Checklist,minor_criteria_count,次要标准数,integer,,0-4,,,N,不规则条纹/不规则点球/不规则斑片/退化,0-4项
Seven_Point_Checklist,seven_point_score,7点检查表评分,integer,,0-11,,,N,总分,≥3分可疑

Menzies_Method,negative_features,阴性特征,boolean,,,,,N,对称性+单一颜色,无则继续评估
