fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,检查日期，格式YYYY-MM-DD,2024-12-01
patientID,患者唯一标识符,String,患者的唯一标识符,P202401001
patientName,患者姓名,String,患者的姓名,张三
clinicalIndication,临床适应症,String,进行护理评估的临床适应症,糖尿病标准化护理评估
diagnosisImpression,诊断印象,String,基于评估结果的护理诊断,知识缺乏/自我护理能力缺陷
recommendation,建议,String,基于评估结果的护理建议,个体化护理计划/健康教育加强

# 基本信息
nursingDate,护理评估日期,String,护理评估日期，格式YYYY-MM-DD,2024-12-01
nurseID,护士编号,String,评估护士的编号,N202401001
nurseName,护士姓名,String,评估护士的姓名,李护士
nursingShift,护理班次,String,护理班次,白班/夜班/小夜班
wardLocation,病房位置,String,患者所在病房位置,内分泌科A区12床
admissionDate,入院日期,String,患者入院日期，格式YYYY-MM-DD,2024-11-28

# 患者基本信息
ageAtAssessment,评估时年龄,Number,患者评估时的年龄（岁）,58
gender,性别,String,患者性别,男/女
primaryDiagnosis,主要诊断,String,患者主要诊断,2型糖尿病
secondaryDiagnosis,次要诊断,String,患者次要诊断,高血压/血脂异常
diabetesType,糖尿病类型,String,患者的糖尿病类型,1型糖尿病/2型糖尿病/妊娠糖尿病/其他特殊类型
diabetesDuration,糖尿病病程,Number,患者糖尿病诊断时间（年）,12.5
currentTreatment,当前治疗方案,String,患者当前的治疗方案,口服药物/胰岛素/联合治疗/生活方式干预

# 生命体征评估
bodyTemperature,体温,Number,体温（摄氏度）,36.8
systolicBP,收缩压,Number,收缩压（mmHg）,145
diastolicBP,舒张压,Number,舒张压（mmHg）,88
heartRate,心率,Number,心率（次/分钟）,78
respiratoryRate,呼吸频率,Number,呼吸频率（次/分钟）,18
oxygenSaturation,血氧饱和度,Number,血氧饱和度（%）,98
painScore,疼痛评分,Number,疼痛评分（0-10分），0分为无痛,2

# 血糖管理评估
currentBloodGlucose,当前血糖,Number,当前血糖水平（mmol/L）,8.5
fastingGlucose,空腹血糖,Number,空腹血糖（mmol/L）,7.8
postprandialGlucose,餐后血糖,Number,餐后2小时血糖（mmol/L）,12.3
hbA1cLevel,糖化血红蛋白,Number,最近一次糖化血红蛋白水平（%）,8.2
glucoseMonitoringFrequency,血糖监测频率,Number,每天血糖监测次数,4
glucoseRecordCompliance,血糖记录依从性,String,血糖记录依从性,良好/一般/差
hypoglycemiaHistory,低血糖史,String,近期低血糖发生情况,无/轻度/中度/重度
hyperglycemiaSymptoms,高血糖症状,String,高血糖相关症状,多饮/多尿/多食/消瘦

# 营养状况评估
height,身高,Number,身高（厘米）,168
weight,体重,Number,体重（公斤）,75
BMI,体重指数,Number,体重指数（kg/m²）,26.6
waistCircumference,腰围,Number,腰围（厘米）,95
nutritionStatus,营养状况,String,营养状况评估,正常/营养不良/营养过剩/肥胖
appetiteStatus,食欲状况,String,食欲状况,良好/一般/差/食欲亢进
dietCompliance,饮食依从性,String,糖尿病饮食依从性,良好/一般/差
dailyCalorieIntake,日热量摄入,Number,估计日热量摄入（千卡）,1800
proteinIntake,蛋白质摄入,String,蛋白质摄入情况,充足/不足/过量
carbIntakePattern,碳水化合物摄入模式,String,碳水化合物摄入模式,定时定量/不规律/过量

# 活动能力评估
mobilityLevel,活动能力等级,String,活动能力等级,完全自理/需要协助/卧床休息
walkingAid,助行器具,String,是否使用助行器具,无/拐杖/助行器/轮椅
exerciseCapacity,运动能力,String,运动能力评估,正常/轻度受限/中度受限/重度受限
fallRisk,跌倒风险,String,跌倒风险评估,低风险/中风险/高风险
balanceStatus,平衡能力,String,平衡能力状况,正常/轻度异常/明显异常
enduranceLevel,耐力水平,String,活动耐力水平,正常/轻度下降/明显下降

# 皮肤完整性评估
