fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,检查日期，格式YYYY-MM-DD,2024-12-01
patientID,患者唯一标识符,String,患者的唯一标识符,P202401001
patientName,患者姓名,String,患者的姓名,张三
clinicalIndication,临床适应症,String,进行生活质量评估的临床适应症,糖尿病生活质量评估
diagnosisImpression,诊断印象,String,基于评估结果的诊断印象,生活质量轻度下降
recommendation,建议,String,基于评估结果的建议,加强心理支持和疾病教育

# 基本信息
ageAtAssessment,评估时年龄,Number,患者评估时的年龄（岁）,45
gender,性别,String,患者性别,男/女
educationLevel,教育程度,String,患者的教育程度,小学/初中/高中/专科/本科/研究生
maritalStatus,婚姻状况,String,患者的婚姻状况,已婚/未婚/离异/丧偶
employmentStatus,就业状况,String,患者的就业状况,在职/退休/失业/学生/其他
monthlyIncome,月收入,Number,患者或家庭月收入（元）,5000
insuranceType,医疗保险类型,String,患者的医疗保险类型,职工医保/居民医保/新农合/商业保险/自费

# 糖尿病病史
diabetesType,糖尿病类型,String,患者的糖尿病类型,1型糖尿病/2型糖尿病/妊娠糖尿病/其他特殊类型
diabetesDuration,糖尿病病程,Number,患者糖尿病诊断时间（年）,5.2
currentTreatment,当前治疗方案,String,患者当前的治疗方案,口服药物/胰岛素/联合治疗/生活方式干预
hbA1cLevel,糖化血红蛋白,Number,最近一次糖化血红蛋白水平（%）,7.5
complicationsPresent,并发症情况,String,是否存在糖尿病并发症,是/否
complicationsList,并发症列表,String,具体的并发症类型,糖尿病肾病/糖尿病视网膜病变/糖尿病神经病变/心血管疾病

# 身体健康相关生活质量
physicalFunctioningScore,身体功能评分,Number,身体功能限制程度评分（0-100分），100分为无限制,85
physicalRoleLimitationScore,身体角色限制评分,Number,因身体健康问题导致的角色限制评分（0-100分）,75
bodilyPainScore,身体疼痛评分,Number,身体疼痛程度和疼痛对工作的影响评分（0-100分）,80
generalHealthScore,一般健康状况评分,Number,对当前健康状况的总体评价评分（0-100分）,70
vitalityScore,活力评分,Number,精力和疲劳程度评分（0-100分），100分为精力充沛,65
socialFunctioningScore,社会功能评分,Number,因身体健康和情感问题对社会活动的影响评分（0-100分）,78
emotionalRoleLimitationScore,情感角色限制评分,Number,因情感问题导致的角色限制评分（0-100分）,72
mentalHealthScore,心理健康评分,Number,心理健康状况评分（0-100分），100分为心理健康,68

# 糖尿病特异性生活质量
diabetesImpactScore,糖尿病影响评分,Number,糖尿病对日常生活影响的总体评分（1-5分），1分影响最小,3.2
treatmentSatisfactionScore,治疗满意度评分,Number,对当前糖尿病治疗的满意度评分（1-5分），5分最满意,3.8
hypoglycemiaFearScore,低血糖恐惧评分,Number,对低血糖的恐惧程度评分（1-5分），5分最恐惧,2.5
dietaryFreedomScore,饮食自由度评分,Number,饮食限制对生活质量的影响评分（1-5分），5分影响最小,2.8
socialBurdenScore,社会负担评分,Number,糖尿病带来的社会负担感评分（1-5分），1分负担最轻,3.5

# 日常生活活动能力
adlBasicScore,基本日常生活活动评分,Number,基本日常生活活动能力评分（0-100分），100分为完全独立,95
adlInstrumentalScore,工具性日常生活活动评分,Number,工具性日常生活活动能力评分（0-100分）,88
mobilityScore,活动能力评分,Number,行走和活动能力评分（1-5分），5分为无限制,4
selfCareScore,自理能力评分,Number,个人卫生和自理能力评分（1-5分）,4.5
houseworkCapacityScore,家务劳动能力评分,Number,完成家务劳动的能力评分（1-5分）,3.8
workCapacityScore,工作能力评分,Number,完成工作任务的能力评分（1-5分）,3.5

# 睡眠质量
sleepQualityScore,睡眠质量评分,Number,总体睡眠质量评分（1-5分），5分为睡眠质量极好,3.2
sleepLatency,入睡时间,Number,通常需要多长时间入睡（分钟）,25
sleepDuration,睡眠时长,Number,每晚实际睡眠时间（小时）,6.5
