fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,检查日期，格式YYYY-MM-DD,2024-12-01
patientID,患者唯一标识符,String,患者的唯一标识符,P202401001
patientName,患者姓名,String,患者的姓名,张三
clinicalIndication,临床适应症,String,进行自我管理评估的临床适应症,糖尿病自我管理能力评估
diagnosisImpression,诊断印象,String,基于评估结果的诊断印象,自我管理能力中等水平
recommendation,建议,String,基于评估结果的建议,加强糖尿病健康教育和技能培训

# 基本信息
ageAtAssessment,评估时年龄,Number,患者评估时的年龄（岁）,52
gender,性别,String,患者性别,男/女
educationLevel,教育程度,String,患者的教育程度,小学/初中/高中/专科/本科/研究生
diabetesType,糖尿病类型,String,患者的糖尿病类型,1型糖尿病/2型糖尿病/妊娠糖尿病/其他特殊类型
diabetesDuration,糖尿病病程,Number,患者糖尿病诊断时间（年）,8.5
currentTreatment,当前治疗方案,String,患者当前的治疗方案,口服药物/胰岛素/联合治疗/生活方式干预
hbA1cLevel,糖化血红蛋白,Number,最近一次糖化血红蛋白水平（%）,7.2

# 疾病知识和理解
diabetesKnowledgeScore,糖尿病知识评分,Number,糖尿病基础知识掌握程度评分（0-100分）,75
diseaseUnderstanding,疾病理解程度,Number,对自身糖尿病病情理解程度评分（1-5分）,3.8
symptomRecognition,症状识别能力,Number,识别糖尿病相关症状能力评分（1-5分）,3.5
complicationAwareness,并发症认知,Number,对糖尿病并发症的认知程度评分（1-5分）,3.2
treatmentGoalUnderstanding,治疗目标理解,Number,对治疗目标理解程度评分（1-5分）,3.6
riskFactorAwareness,危险因素认知,Number,对糖尿病危险因素认知程度评分（1-5分）,3.4

# 血糖监测技能
bgmFrequency,血糖监测频率,Number,每周血糖监测次数,14
bgmTiming,监测时机掌握,Number,血糖监测时机掌握程度评分（1-5分）,3.8
bgmTechnique,监测技术掌握,Number,血糖监测技术掌握程度评分（1-5分）,4.2
bgmRecordKeeping,监测记录维护,Number,血糖监测记录维护质量评分（1-5分）,3.5
bgmResultInterpretation,结果解读能力,Number,血糖监测结果解读能力评分（1-5分）,3.2
bgmActionTaking,应对措施执行,Number,根据血糖结果采取应对措施能力评分（1-5分）,3.0

# 饮食管理技能
dietPlanAdherence,饮食计划依从性,Number,饮食计划依从性评分（1-5分）,3.4
carbohydrateCounting,碳水化合物计算,Number,碳水化合物计算能力评分（1-5分）,2.8
portionControl,份量控制,Number,食物份量控制能力评分（1-5分）,3.2
mealTiming,进餐时间管理,Number,进餐时间管理能力评分（1-5分）,3.6
foodChoiceSkill,食物选择技能,Number,健康食物选择技能评分（1-5分）,3.4
specialSituationManagement,特殊情况饮食管理,Number,特殊情况下饮食管理能力评分（1-5分）,2.6

# 运动管理技能
exercisePlanAdherence,运动计划依从性,Number,运动计划依从性评分（1-5分）,3.0
exerciseIntensityControl,运动强度控制,Number,运动强度控制能力评分（1-5分）,3.2
exerciseTimingManagement,运动时机管理,Number,运动时机选择和管理能力评分（1-5分）,3.4
exerciseSafetyAwareness,运动安全意识,Number,运动安全意识评分（1-5分）,3.6
exerciseAdaptation,运动调整能力,Number,根据身体状况调整运动计划能力评分（1-5分）,2.8
exerciseBloodGlucoseManagement,运动血糖管理,Number,运动前后血糖管理能力评分（1-5分）,2.6

# 药物管理技能
medicationAdherence,用药依从性,Number,用药依从性评分（1-5分）,4.0
medicationTiming,用药时间管理,Number,用药时间管理准确性评分（1-5分）,3.8
dosageAccuracy,剂量准确性,Number,药物剂量掌握准确性评分（1-5分）,4.2
sideEffectRecognition,副作用识别,Number,药物副作用识别能力评分（1-5分）,3.2
medicationAdjustment,用药调整能力,Number,根据医嘱调整用药能力评分（1-5分）,3.0
medicationStorage,药物保存,Number,药物保存方法掌握程度评分（1-5分）,3.6

