字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行心力衰竭评估的日期,2025-10-01
patientID,患者ID,String,患者唯一标识符,P123456
diabetesDuration,糖尿病病程,Number,"糖尿病病程。<br>单位: 年<br>**高危**: >10年",15
diabetesType,糖尿病类型,String,"糖尿病类型。<br>**建议值**: `1型糖尿病`, `2型糖尿病`, `其他特殊类型`",2型糖尿病
comorbidities.hypertension,合并症.高血压,Boolean,是否合并高血压,true
comorbidities.coronaryArteryDisease,合并症.冠心病,Boolean,是否合并冠心病,true
comorbidities.ckd,合并症.慢性肾脏病,Boolean,是否合并慢性肾脏病,true
comorbidities.atrialFibrillation,合并症.心房颤动,Boolean,是否合并心房颤动,false
symptoms.dyspnea,症状.呼吸困难,String,"呼吸困难程度。<br>**建议值**: `无`, `劳力性`, `端坐呼吸`, `阵发性夜间呼吸困难`, `静息呼吸困难`",劳力性
symptoms.fatigue,症状.乏力,String,"乏力程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",中度
symptoms.edema,症状.水肿,String,"水肿部位和程度。<br>**建议值**: `无`, `下肢轻度水肿`, `下肢中度水肿`, `下肢重度水肿`, `全身水肿`",下肢中度水肿
symptoms.orthopnea,症状.端坐呼吸,Boolean,是否需要垫高枕头才能睡眠,true
symptoms.pnd,症状.阵发性夜间呼吸困难,Boolean,是否夜间突然憋醒,false
nyhaClass,NYHA心功能分级,String,"纽约心脏协会心功能分级。<br>**建议值**: `I级(无症状)`, `II级(轻度活动受限)`, `III级(明显活动受限)`, `IV级(休息时症状)`",II级(轻度活动受限)
physicalExam.jvp,体格检查.颈静脉压,String,"颈静脉压。<br>**建议值**: `正常`, `轻度升高`, `明显升高`",轻度升高
physicalExam.lungRales,体格检查.肺部啰音,String,"肺部湿啰音。<br>**建议值**: `无`, `双肺底`, `双肺中下野`, `双肺广泛`",双肺底
physicalExam.s3Gallop,体格检查.S3奔马律,Boolean,是否存在第三心音奔马律,true
physicalExam.hepatomegaly,体格检查.肝大,Boolean,是否存在肝脏肿大,false
physicalExam.ascites,体格检查.腹水,Boolean,是否存在腹水,false
physicalExam.peripheralEdema,体格检查.下肢水肿,String,"下肢水肿程度。<br>**建议值**: `无`, `轻度(+)`, `中度(++)`, `重度(+++)`",中度(++)
biomarkers.ntProBnp,生物标志物.NT-proBNP,Number,"N端脑钠肽前体。<br>单位: pg/mL<br>**排除HF**: <125<br>**提示HF**: 125-450轻度，>450中重度，房颤>900",850
biomarkers.bnp,生物标志物.BNP,Number,"脑钠肽。<br>单位: pg/mL<br>**排除HF**: <35<br>**提示HF**: >35",180
biomarkers.troponinI,生物标志物.肌钙蛋白I,Number,"高敏肌钙蛋白I。<br>单位: ng/L<br>**参考范围**: <26.2<br>**说明**: HF时可轻度升高",45
biomarkers.hsCrp,生物标志物.超敏C反应蛋白,Number,"超敏CRP(炎症标志物)。<br>单位: mg/L<br>**参考范围**: <3",6.5
glycemicControl.fastingGlucose,血糖控制.空腹血糖,Number,"空腹血糖。<br>单位: mmol/L",8.2
glycemicControl.hba1c,血糖控制.糖化血红蛋白,Number,"HbA1c。<br>单位: %<br>**HF患者目标**: 7.0-8.0%(个体化，避免低血糖)<br>**预后不良**: >9.0%",8.5
glycemicControl.hypoglycemiaHistory,血糖控制.低血糖病史,Boolean,近期是否有低血糖发作史,false
renalFunction.creatinine,肾功能.血肌酐,Number,"血肌酐。<br>单位: μmol/L<br>**参考范围**: 44-133",125
renalFunction.egfr,肾功能.估算肾小球滤过率,Number,"eGFR。<br>单位: mL/min/1.73m²<br>**正常**: ≥90<br>**CKD**: <60<br>**预后不良**: <30",45
renalFunction.uacr,肾功能.尿白蛋白肌酐比,Number,"尿白蛋白/肌酐比值。<br>单位: mg/g<br>**正常**: <30<br>**微量白蛋白尿**: 30-300<br>**大量白蛋白尿**: >300<br>**预后不良**: 白蛋白尿存在",350
electrolytes.sodium,电解质.血钠,Number,"血钠浓度。<br>单位: mmol/L<br>**参考范围**: 135-145<br>**预后不良**: <135",132
