字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行糖尿病足评估的日期,2025-10-01
patientID,患者ID,String,患者唯一标识符,P123456
diabetesDuration,糖尿病病程,Number,"糖尿病病程。<br>单位: 年",18
diabetesType,糖尿病类型,String,"糖尿病类型。<br>**建议值**: `1型糖尿病`, `2型糖尿病`",2型糖尿病
riskFactors.previousUlcer,危险因素.既往溃疡史,Boolean,"既往足溃疡或截肢史(相对危险度>10)",true
riskFactors.neuropathyAndPvd,危险因素.神经病变合并血管病变,Boolean,"周围神经病变+周围血管病变(相对危险度>10)",true
riskFactors.neuropathyAndDeformity,危险因素.神经病变合并足畸形,Boolean,"周围神经病变+足部畸形(相对危险度>10)",false
riskFactors.visualImpairment,危险因素.视力减退,Boolean,视力减退影响自我护理,true
riskFactors.ckd,危险因素.糖尿病肾病,Boolean,是否合并糖尿病肾病,true
riskFactors.poorGlycemicControl,危险因素.血糖控制不佳,Boolean,"血糖控制不佳(HbA1c>9%)",false
riskFactors.liveAlone,危险因素.独居,Boolean,独居男性(缺乏足部护理),false
clinicalPresentation,临床表现,String,"糖尿病足临床表现。<br>**建议值**: `高危足无溃疡`, `足部溃疡`, `足部感染`, `足部坏疽`, `夏科关节病`",足部溃疡
ulcerPresent,溃疡存在,Boolean,是否存在足部溃疡,true
ulcerLocation,溃疡部位,String,"溃疡部位。<br>**建议值**: `足底(跖骨头)`, `足跟`, `足趾`, `足背`, `足侧缘`, `多发部位`",足底(跖骨头)
ulcerDuration,溃疡病程,Number,"溃疡存在时间。<br>单位: 周",8
ulcerSize.length,溃疡大小.长度,Number,"溃疡长度。<br>单位: cm",3.5
ulcerSize.width,溃疡大小.宽度,Number,"溃疡宽度。<br>单位: cm",2.8
ulcerSize.depth,溃疡大小.深度,Number,"溃疡深度。<br>单位: cm<br>**说明**: 0=表浅，0.5-1=中度，>1=深部",0.8
ulcerSize.area,溃疡大小.面积,Number,"溃疡面积(长×宽)。<br>单位: cm²",9.8
wagnerGrade,Wagner分级,String,"Wagner分级系统。<br>**建议值**: `0级(高危足无溃疡)`, `1级(表浅溃疡无感染)`, `2级(深部溃疡累及肌腱骨骼无感染)`, `3级(深部溃疡伴感染脓肿或骨髓炎)`, `4级(局限性坏疽)`, `5级(全足坏疽)`",3级(深部溃疡伴感染脓肿或骨髓炎)
texasGrade.depth,Texas分级.深度,String,"Texas分级-深度。<br>**建议值**: `A级(皮前溃疡或愈合后)`, `B级(表浅溃疡)`, `C级(累及肌腱或关节囊)`, `D级(累及骨骼或关节)`",D级(累及骨骼或关节)
texasGrade.infection,Texas分级.感染,Boolean,是否合并感染(I),true
texasGrade.ischemia,Texas分级.缺血,Boolean,是否合并缺血(S),true
