字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行糖尿病肾病检查的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行糖尿病肾病检查的临床指征。<br>**建议值**: `糖尿病肾病筛查`, `蛋白尿评估`, `肾功能下降`, `高血压合并糖尿病`, `肾脏替代治疗评估`",糖尿病肾病筛查
diabeticNephropathyStage,糖尿病肾病分期,String,"根据eGFR和蛋白尿分期。<br>**建议值**: `G1A1`, `G1A2`, `G2A2`, `G3aA2`, `G3bA3`, `G4A3`, `G5A3`",G3aA2
renalFunction.serumCreatinine,肾功能.血肌酐,Number,"血清肌酐。<br>单位: μmol/L<br>**参考范围**: 男性59-104，女性45-84",125
renalFunction.bloodUreaNitrogen,肾功能.尿素氮,Number,"血尿素氮。<br>单位: mmol/L<br>**参考范围**: 2.9-8.2",9.5
renalFunction.estimatedGfr,肾功能.估算肾小球滤过率,Number,"eGFR(CKD-EPI)。<br>单位: mL/min/1.73m²<br>**分级**: >90(G1), 60-89(G2), 45-59(G3a), 30-44(G3b), 15-29(G4), <15(G5)",52
renalFunction.creatinineClearance,肾功能.肌酐清除率,Number,"24小时肌酐清除率。<br>单位: mL/min<br>**正常**: 80-120",58
renalFunction.cystatin C,肾功能.胱抑素C,Number,"血清胱抑素C。<br>单位: mg/L<br>**参考范围**: 0.51-0.98",1.25
renalFunction.beta2Microglobulin,肾功能.β2微球蛋白,Number,"血清β2微球蛋白。<br>单位: mg/L<br>**参考范围**: 0.7-1.8",2.8
renalFunction.kimey1,肾功能.KIM-1,Number,"肾损伤分子1。<br>单位: pg/mL",158
renalFunction.ngal,肾功能.NGAL,Number,"中性粒细胞明胶酶相关脂质运载蛋白。<br>单位: ng/mL<br>**参考范围**: <150",285
proteinuria.urineProtein.dipstick,蛋白尿.尿蛋白.试纸,String,"尿蛋白试纸检测。<br>**建议值**: `阴性`, `微量`, `1+`, `2+`, `3+`, `4+`",2+
proteinuria.urineProtein.quantitative,蛋白尿.尿蛋白.定量,Number,"24小时尿蛋白定量。<br>单位: g/24h<br>**正常**: <0.15",0.85
proteinuria.urineAlbumin.dipstick,蛋白尿.尿白蛋白.试纸,String,"尿白蛋白试纸检测。<br>**建议值**: `阴性`, `微量`, `1+`, `2+`, `3+`",1+
proteinuria.urineAlbumin.microalbumin,蛋白尿.尿白蛋白.微量白蛋白,Number,"尿微量白蛋白。<br>单位: mg/L<br>**分级**: <20(正常), 20-200(微量), >200(大量)",125
proteinuria.albuminCreatinineRatio,蛋白尿.白蛋白肌酐比,Number,"尿白蛋白肌酐比(ACR)。<br>单位: mg/g<br>**分级**: <30(A1), 30-300(A2), >300(A3)",158
proteinuria.proteinCreatinineRatio,蛋白尿.蛋白肌酐比,Number,"尿蛋白肌酐比(PCR)。<br>单位: mg/g<br>**正常**: <200",685
proteinuria.selectivityIndex,蛋白尿.选择性指数,Number,"蛋白尿选择性指数",0.25
proteinuria.lowMolecularWeight.beta2Microglobulin,蛋白尿.低分子量.β2微球蛋白,Number,"尿β2微球蛋白。<br>单位: mg/L",15.8
proteinuria.lowMolecularWeight.alphalMicroglobulin,蛋白尿.低分子量.α1微球蛋白,Number,"尿α1微球蛋白。<br>单位: mg/L",8.5
urinalysis.specificGravity,尿液分析.比重,Number,"尿比重。<br>**参考范围**: 1.003-1.030",1.025
urinalysis.urineGlucose,尿液分析.尿糖,String,"尿糖检测。<br>**建议值**: `阴性`, `1+`, `2+`, `3+`, `4+`",1+
urinalysis.urineKetones,尿液分析.尿酮体,String,"尿酮体检测。<br>**建议值**: `阴性`, `微量`, `1+`, `2+`, `3+`",阴性
urinalysis.urineSediment.redBloodCells,尿液分析.尿沉渣.红细胞,Number,"尿红细胞计数。<br>单位: /hpf<br>**正常**: <3",5
urinalysis.urineSediment.whiteBloodCells,尿液分析.尿沉渣.白细胞,Number,"尿白细胞计数。<br>单位: /hpf<br>**正常**: <5",8
urinalysis.urineSediment.casts,尿液分析.尿沉渣.管型,String,"尿管型检查",透明管型2-3个/hpf
urinalysis.urineSediment.crystals,尿液分析.尿沉渣.结晶,String,"尿结晶检查",少量尿酸结晶
urinalysis.urineElectrolytes.sodium,尿液分析.尿电解质.钠,Number,"24小时尿钠。<br>单位: mmol/24h",158
urinalysis.urineElectrolytes.potassium,尿液分析.尿电解质.钾,Number,"24小时尿钾。<br>单位: mmol/24h",68
