字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行糖尿病神经病变检查的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行糖尿病神经病变检查的临床指征。<br>**建议值**: `糖尿病神经病变筛查`, `感觉异常`, `疼痛评估`, `运动功能评估`, `自主神经功能评估`",糖尿病神经病变筛查
neuropathyClassification.type,神经病变分类.类型,String,"神经病变类型。<br>**建议值**: `周围神经病变`, `自主神经病变`, `颅神经病变`, `单神经病变`, `神经根病变`",周围神经病变
neuropathyClassification.distribution,神经病变分类.分布,String,"神经病变分布。<br>**建议值**: `对称性`, `非对称性`, `局灶性`, `多灶性`",对称性
neuropathyClassification.severity,神经病变分类.严重程度,String,"神经病变严重程度。<br>**建议值**: `轻度`, `中度`, `重度`",中度
neuropathyClassification.progression,神经病变分类.进展,String,"神经病变进展。<br>**建议值**: `急性`, `亚急性`, `慢性`",慢性
peripheralNeuropathy.sensorySymptoms.numbness,周围神经病变.感觉症状.麻木,String,"麻木程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",中度
peripheralNeuropathy.sensorySymptoms.tingling,周围神经病变.感觉症状.刺痛,String,"刺痛程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",轻度
peripheralNeuropathy.sensorySymptoms.burning,周围神经病变.感觉症状.烧灼感,String,"烧灼感程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",中度
peripheralNeuropathy.sensorySymptoms.pain,周围神经病变.感觉症状.疼痛,String,"疼痛程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",中度
peripheralNeuropathy.sensorySymptoms.distribution,周围神经病变.感觉症状.分布,String,"症状分布",双足袜套样分布
peripheralNeuropathy.motorSymptoms.weakness,周围神经病变.运动症状.肌力减退,String,"肌力减退程度。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",轻度
peripheralNeuropathy.motorSymptoms.atrophy,周围神经病变.运动症状.肌肉萎缩,String,"肌肉萎缩。<br>**建议值**: `无`, `轻度`, `中度`, `重度`",无
peripheralNeuropathy.motorSymptoms.fasciculations,周围神经病变.运动症状.肌束颤动,String,"肌束颤动。<br>**建议值**: `无`, `有`",无
peripheralNeuropathy.motorSymptoms.cramps,周围神经病变.运动症状.肌肉痉挛,String,"肌肉痉挛。<br>**建议值**: `无`, `偶尔`, `频繁`",偶尔
nerveConduction.motor.peronealNerve.amplitude,神经传导.运动.腓总神经.波幅,Number,"腓总神经复合肌肉动作电位波幅。<br>单位: mV<br>**正常**: >2.0",1.2
nerveConduction.motor.peronealNerve.velocity,神经传导.运动.腓总神经.传导速度,Number,"腓总神经运动传导速度。<br>单位: m/s<br>**正常**: >40",32
nerveConduction.motor.peronealNerve.distalLatency,神经传导.运动.腓总神经.远端潜伏期,Number,"腓总神经远端潜伏期。<br>单位: ms<br>**正常**: <6.5",8.2
nerveConduction.motor.tibialNerve.amplitude,神经传导.运动.胫神经.波幅,Number,"胫神经复合肌肉动作电位波幅。<br>单位: mV<br>**正常**: >4.0",2.8
nerveConduction.motor.tibialNerve.velocity,神经传导.运动.胫神经.传导速度,Number,"胫神经运动传导速度。<br>单位: m/s<br>**正常**: >40",35
nerveConduction.motor.tibialNerve.distalLatency,神经传导.运动.胫神经.远端潜伏期,Number,"胫神经远端潜伏期。<br>单位: ms<br>**正常**: <5.8",7.5
nerveConduction.sensory.suralNerve.amplitude,神经传导.感觉.腓肠神经.波幅,Number,"腓肠神经感觉动作电位波幅。<br>单位: μV<br>**正常**: >5.0",2.8
nerveConduction.sensory.suralNerve.velocity,神经传导.感觉.腓肠神经.传导速度,Number,"腓肠神经感觉传导速度。<br>单位: m/s<br>**正常**: >40",28
nerveConduction.sensory.suralNerve.distalLatency,神经传导.感觉.腓肠神经.远端潜伏期,Number,"腓肠神经远端潜伏期。<br>单位: ms<br>**正常**: <4.4",5.8
nerveConduction.sensory.medianNerve.amplitude,神经传导.感觉.正中神经.波幅,Number,"正中神经感觉动作电位波幅。<br>单位: μV<br>**正常**: >15",12
nerveConduction.sensory.medianNerve.velocity,神经传导.感觉.正中神经.传导速度,Number,"正中神经感觉传导速度。<br>单位: m/s<br>**正常**: >50",45
nerveConduction.sensory.medianNerve.distalLatency,神经传导.感觉.正中神经.远端潜伏期,Number,"正中神经远端潜伏期。<br>单位: ms<br>**正常**: <3.5",4.2
nerveConduction.sensory.ulnarNerve.amplitude,神经传导.感觉.尺神经.波幅,Number,"尺神经感觉动作电位波幅。<br>单位: μV<br>**正常**: >10",8.5
nerveConduction.sensory.ulnarNerve.velocity,神经传导.感觉.尺神经.传导速度,Number,"尺神经感觉传导速度。<br>单位: m/s<br>**正常**: >50",42
nerveConduction.sensory.ulnarNerve.distalLatency,神经传导.感觉.尺神经.远端潜伏期,Number,"尺神经远端潜伏期。<br>单位: ms<br>**正常**: <3.5",4.0
nerveConduction.fWave.tibialNerve,神经传导.F波.胫神经,Number,"胫神经F波潜伏期。<br>单位: ms",58.5
nerveConduction.fWave.peronealNerve,神经传导.F波.腓总神经,Number,"腓总神经F波潜伏期。<br>单位: ms",62.8
nerveConduction.hReflex.tibialNerve,神经传导.H反射.胫神经,Number,"胫神经H反射潜伏期。<br>单位: ms<br>**正常**: <35",42.5
electromyography.spontaneousActivity,肌电图.自发活动,String,"肌肉自发活动",纤颤电位和正锐波
electromyography.motorUnitPotentials.amplitude,肌电图.运动单位电位.波幅,Number,"运动单位电位平均波幅。<br>单位: mV",0.85
electromyography.motorUnitPotentials.duration,肌电图.运动单位电位.时程,Number,"运动单位电位平均时程。<br>单位: ms",12.5
