Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,exam_date,检查日期,date,,,,,Y,DR检查日期,评估时间点
Basic_Info,exam_eye,检查眼别,categorical,,,"OD,OS,OU",,,Y,检查眼别,单双眼
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,发病年龄

Diabetes_History,diabetes_type,糖尿病类型,categorical,,,"Type_1,Type_2,Gestational,Other",,,Y,DM类型,1型进展快
Diabetes_History,diabetes_duration,糖尿病病程,integer,years,0-80,,,Y,DM年限,病程关键因素
Diabetes_History,hba1c,糖化血红蛋白,decimal,%,3-18,4548-4,,Y,HbA1c,控制水平<7%目标
Diabetes_History,recent_glucose_control,近期血糖控制,categorical,,,"Excellent,Good,Fair,Poor",,,N,血糖控制,HbA1c分层
Diabetes_History,insulin_use,胰岛素使用,categorical,,,"Yes,No",,,N,胰岛素治疗,1型必需

Visual_Function,bcva_od,右眼最佳矫正视力,categorical,,,"20/20,20/25,20/30,20/40,20/50,20/60,20/80,20/100,20/200,CF,HM,LP,NLP",,,Y,右眼BCVA,视功能评估
Visual_Function,bcva_os,左眼最佳矫正视力,categorical,,,"20/20,20/25,20/30,20/40,20/50,20/60,20/80,20/100,20/200,CF,HM,LP,NLP",,,Y,左眼BCVA,视功能评估
Visual_Function,vision_threatening_dr,威胁视力DR,categorical,,,"Yes,No",,,N,VTDR,PDR/CI-DME
Visual_Function,vision_loss,视力下降,categorical,,,"Yes,No",,,N,视力丧失,功能损害

DR_Severity,dr_severity_od,右眼DR严重度,categorical,,,"No_DR,Mild_NPDR,Moderate_NPDR,Severe_NPDR,PDR",,,Y,右眼DR分级,ETDRS分级
DR_Severity,dr_severity_os,左眼DR严重度,categorical,,,"No_DR,Mild_NPDR,Moderate_NPDR,Severe_NPDR,PDR",,,Y,左眼DR分级,ETDRS分级
