fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,消化代谢功能检查日期,2024-12-01
patientID,患者ID,String,患者唯一标识符,DMF-001
patientName,患者姓名,String,患者全名,张三
clinicalIndication,临床适应症,String,检查适应症和临床背景,糖尿病胃轻瘫评估
chiefComplaint,主诉,String,患者主要消化症状主诉,餐后腹胀嗳气
presentIllness,现病史,String,当前消化症状详细病史,近半年餐后腹胀加重
pastHistory,既往史,String,既往消化系统疾病史,无消化性溃疡史
surgicalHistory,手术史,String,腹部手术史,无腹部手术史
familyHistory,家族史,String,家族消化系统疾病史,父亲有胃溃疡
currentMedications,当前用药,String,目前使用的药物,二甲双胍阿卡波糖奥美拉唑
allergies,过敏史,String,药物食物过敏史,无已知过敏
dietaryHabits,饮食习惯,String,饮食习惯和偏好,饮食不规律偏爱辛辣
alcoholConsumption,饮酒情况,String,饮酒习惯,偶尔饮酒
smokingHistory,吸烟史,String,吸烟情况,已戒烟5年
vitalSigns,生命体征,String,血压心率体温,BP 130/80 HR 76 T 36.8°C
generalAppearance,一般外观,String,整体外观评估,营养状态良好
abdominalInspection,腹部视诊,String,腹部外观检查,腹部平坦无异常
abdominalAuscultation,腹部听诊,String,腹部肠鸣音听诊,肠鸣音稍弱3次/分
abdominalPercussion,腹部叩诊,String,腹部叩诊检查,腹部叩诊鼓音
abdominalPalpation,腹部触诊,String,腹部触诊检查,腹部柔软无压痛
liverPalpation,肝脏触诊,String,肝脏触诊检查,肝脏肋下未触及
spleenPalpation,脾脏触诊,String,脾脏触诊检查,脾脏未触及
kidneyPalpation,肾脏触诊,String,肾脏触诊检查,双肾未触及
murphySign,墨菲征,String,墨菲征检查,墨菲征阴性
appendicitisSign,阑尾炎征象,String,阑尾炎相关征象,麦氏点无压痛
bowelSounds,肠鸣音,String,肠鸣音特征,肠鸣音减弱
abdominalTenderness,腹部压痛,String,腹部压痛检查,无明显压痛
reboundTenderness,反跳痛,String,反跳痛检查,无反跳痛
muscularRigidity,肌紧张,String,腹肌紧张度,腹肌松软
ascites,腹水,String,腹水检查,无腹水
herniaExamination,疝气检查,String,腹股沟疝检查,无疝气
rectalExamination,直肠指检,String,直肠指检结果,未行直肠指检
gastricEmptyingTime,胃排空时间,Number,胃排空时间(分钟),180
gastricEmptyingRate,胃排空率,Number,4小时胃排空率(%),65
gastricEmptyingDelay,胃排空延迟,String,胃排空延迟评估,轻度胃排空延迟
solidGastricEmptyuing,固体胃排空,Number,固体食物胃排空时间(分钟),210
liquidGastricEmptyuing,液体胃排空,Number,液体胃排空时间(分钟),45
gastroparesis,胃轻瘫,String,胃轻瘫诊断,轻度胃轻瘫
gastricAccommodation,胃适应性,String,胃适应性功能,胃适应性降低
gastricSensitivity,胃敏感性,String,胃敏感性评估,胃敏感性正常
antralMotility,胃窦运动,String,胃窦收缩运动,胃窦收缩减弱
pylomicFunction,幽门功能,String,幽门开放功能,幽门开放协调
duodenalMotility,十二指肠运动,String,十二指肠运动功能,运动功能正常
jejunalMotility,空肠运动,String,空肠运动功能,运动功能正常
ilealMotility,回肠运动,String,回肠运动功能,运动功能正常
colonicMotility,结肠运动,String,结肠运动功能,结肠运动减慢
colonicTransitTime,结肠传输时间,Number,结肠传输时间(小时),68
wholeGutTransitTime,全肠道传输时间,Number,全肠道传输时间(小时),85
gastroentericReflex,胃肠反射,String,胃肠反射功能,反射功能减弱
migrmotorComplex,移行性运动复合波,String,MMC功能评估,MMC功能异常
