字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,青春期发育评估日期,2025-10-01
patientID,患者ID,String,患者唯一标识符,P123456
patientSex,患者性别,String,"患者性别。<br>**建议值**: `女`, `男`",女
patientAge,患者年龄,Number,"患者实际年龄。<br>单位: 岁",7.5
complaint,主诉,String,"就诊主诉。<br>**建议值**: `性征早现`, `乳房发育过早`, `月经初潮早`, `身高突增`, `性征未发育`, `原发性闭经`, `体检发现`",乳房发育过早
disorderType,异常类型,String,"青春期发育异常类型。<br>**建议值**: `性早熟`, `青春期延迟`, `青春期进展异常`, `待评估`",性早熟
precocity.definition,性早熟.定义符合,Boolean,"是否符合性早熟定义(女孩<8岁、男孩<9岁出现第二性征)",true
precocity.classification,性早熟.分型,String,"性早熟分型。<br>**建议值**: `中枢性性早熟(CPP，GnRH依赖)`, `外周性性早熟(PPP，GnRH独立)`, `单纯乳房早发育`, `单纯阴毛早现`, `待分型`",中枢性性早熟(CPP，GnRH依赖)
delay.definition,青春期延迟.定义符合,Boolean,"是否符合青春期延迟定义(女孩≥13岁、男孩≥14岁无性征发育)",false
delay.classification,青春期延迟.分型,String,"青春期延迟分型。<br>**建议值**: `体质性青春期生长延迟(CDGP)`, `低促性腺激素性性腺功能减退(HH)`, `高促性腺激素性性腺功能减退`, `待分型`, `非延迟`",非延迟
history.onsetAge,病史.性征出现年龄,Number,"第二性征首次出现的年龄。<br>单位: 岁<br>**性早熟**: 女孩<8岁，男孩<9岁",7
history.firstSign,病史.首发征象,String,"首发第二性征。<br>**女孩正常**: 乳房发育(B2)<br>**男孩正常**: 睾丸增大<br>**建议值**: `乳房发育`, `睾丸增大`, `阴毛出现`, `腋毛`, `初潮`, `变声`, `其他`",乳房发育
history.progression,病史.进展速度,String,"性征进展速度。<br>**建议值**: `快速进展(<6月)`, `中等速度`, `缓慢进展`, `停滞`",快速进展(<6月)
history.menarche,病史.初潮(女孩),Boolean,女孩是否已有月经初潮,false
history.menarcheAge,病史.初潮年龄,Number,"月经初潮年龄。<br>单位: 岁<br>**正常**: 10-15岁，平均12.5岁",未初潮
history.growthVelocity,病史.生长速度,String,"身高生长速度。<br>**性早熟**: 早期↑(>6-7 cm/年)<br>**建议值**: `加速(>7 cm/年)`, `正常(4-6 cm/年)`, `减慢(<4 cm/年)`",加速(>7 cm/年)
history.medications,病史.药物/补品,String,"药物或补品接触史(误服避孕药、含激素食品/化妆品)。<br>**建议值**: `无`, `避孕药`, `保健品`, `化妆品`, `其他激素类`",保健品
history.familyHistoryPrecocity,病史.性早熟家族史,Boolean,家族中是否有性早熟病史,false
history.familyHistoryDelay,病史.青春期延迟家族史,Boolean,家族中父母是否有青春期延迟史(CDGP),false
history.cnsSymptoms,病史.中枢神经系统症状,Boolean,"是否有头痛、视力障碍等CNS症状(提示颅内病变)",false
tannerStaging.breastFemale,Tanner分期.乳房发育,String,"女孩乳房发育Tanner分期。<br>**建议值**: `B1(青春期前)`, `B2(乳芽)`, `B3(乳房隆起)`, `B4(乳晕突出)`, `B5(成人型)`",B3(乳房隆起)
tannerStaging.genitalMale,Tanner分期.生殖器发育,String,"男孩生殖器发育Tanner分期。<br>**建议值**: `G1(青春期前)`, `G2(睾丸/阴囊增大)`, `G3(阴茎增长)`, `G4(阴茎增粗)`, `G5(成人型)`",不适用(女孩)
tannerStaging.pubicHair,Tanner分期.阴毛发育,String,"阴毛发育Tanner分期(男女通用)。<br>**建议值**: `PH1(无)`, `PH2(稀疏)`, `PH3(加密变黑)`, `PH4(成人型但范围小)`, `PH5(成人型)`",PH2(稀疏)
tannerStaging.axillaryHair,Tanner分期.腋毛,Boolean,是否有腋毛出现,false
physicalExam.testicleVolume,体格检查.睾丸容积,Number,"睾丸容积(Prader orchidometer测量)。<br>单位: mL<br>**青春期启动**: >4 mL<br>**成人**: 15-25 mL<br>**说明**: 仅男孩",不适用(女孩)
physicalExam.testicleLength,体格检查.睾丸长径,Number,"睾丸长径。<br>单位: cm<br>**青春期启动**: >2.5 cm<br>**说明**: 仅男孩",不适用(女孩)
physicalExam.penisLength,体格检查.阴茎长度,Number,"阴茎拉伸长度。<br>单位: cm<br>**说明**: 仅男孩",不适用(女孩)
physicalExam.height,体格检查.身高,Number,"当前身高。<br>单位: cm",128
physicalExam.heightPercentile,体格检查.身高百分位数,Number,"身高在同龄同性别儿童中的百分位数<br>**说明**: 根据生长曲线图",75
physicalExam.weight,体格检查.体重,Number,"体重。<br>单位: kg",28
physicalExam.bmi,体格检查.BMI,Number,"体重指数。<br>单位: kg/m²<br>**说明**: 肥胖可能与性早熟相关",17.1
physicalExam.parentalHeight,体格检查.父母身高,String,"父母身高(用于计算遗传靶身高)。<br>格式: 父/母 cm",父175/母160
physicalExam.targetHeight,体格检查.遗传靶身高,Number,"遗传靶身高(MPH)。<br>计算: 男=(父+母+13)/2，女=(父+母-13)/2<br>单位: cm",161
physicalExam.cafeAuLait,体格检查.咖啡斑,String,"咖啡斑(McCune-Albright综合征)。<br>**建议值**: `无`, `有(边界规则)`, `有(边界不规则'Maine海岸线样'，提示MAS)`",无
physicalExam.acanthosisNigricans,体格检查.黑棘皮病,Boolean,是否有黑棘皮病(提示胰岛素抵抗),false
physicalExam.anosmia,体格检查.嗅觉,String,"嗅觉评估(Kallmann综合征)。<br>**建议值**: `正常`, `嗅觉减退`, `嗅觉缺失(提示KS)`",正常
physicalExam.visualField,体格检查.视野,String,"视野检查(垂体肿瘤/颅咽管瘤)。<br>**建议值**: `正常`, `双颞侧偏盲`, `其他异常`",正常
labResults.lh,实验室检查.黄体生成素LH,Number,"血清LH(清晨8-10点采血)。<br>单位: IU/L<br>**青春期前**: <0.2<br>**青春期**: 1-10",3.5
labResults.fsh,实验室检查.卵泡刺激素FSH,Number,"血清FSH。<br>单位: IU/L<br>**青春期前**: <2<br>**青春期**: 2-10",4.2
labResults.estradiol,实验室检查.雌二醇E2,Number,"血清雌二醇(女孩)。<br>单位: pmol/L<br>**青春期前**: <75<br>**青春期**: >75",180
labResults.testosterone,实验室检查.睾酮T,Number,"血清睾酮(男孩)。<br>单位: nmol/L<br>**青春期前**: <0.35<br>**青春期**: >0.7",不适用(女孩)
labResults.dheas,实验室检查.DHEA-S,Number,"硫酸脱氢表雄酮(肾上腺来源)。<br>单位: μmol/L<br>**青春期前**: <2.7<br>**升高**: 单纯阴毛早现、肾上腺源性性早熟",1.5
labResults.17ohp,实验室检查.17-OHP,Number,"17-羟孕酮(CAH筛查)。<br>单位: nmol/L<br>**参考范围**: <6<br>**CAH**: >30",2.5
labResults.betaHcg,实验室检查.β-HCG,Number,"β人绒毛膜促性腺激素(生殖细胞瘤标志物)。<br>单位: IU/L<br>**参考范围**: <5",<1
labResults.inhibinB,实验室检查.Inhibin B,Number,"Inhibin B(男孩Sertoli细胞功能标志)。<br>单位: pg/mL<br>**说明**: HH时↓",不适用(女孩)
gnrhTest.performed,GnRH兴奋试验.已完成,Boolean,"是否完成GnRH兴奋试验(鉴别CPP vs PPP金标准)",true
gnrhTest.baseline,GnRH兴奋试验.基线LH,Number,"GnRH注射前LH。<br>单位: IU/L",2.1
gnrhTest.peak,GnRH兴奋试验.峰值LH,Number,"GnRH注射后30-90分钟LH峰值。<br>单位: IU/L<br>**CPP诊断**: >5 IU/L",12.5
gnrhTest.fshPeak,GnRH兴奋试验.峰值FSH,Number,"GnRH注射后FSH峰值。<br>单位: IU/L",8.3
gnrhTest.lhFshRatio,GnRH兴奋试验.LH/FSH峰值比,Number,"LH/FSH峰值比值。<br>**CPP**: >0.6-1.0",1.5
