字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
admissionDate,入院日期,Date,DKA入院日期,2025-01-15
admissionTime,入院时间,String,入院时间,14:30
encounterType,就诊类型,String,"**建议值**: `急诊`, `ICU直接收治`, `普通病房转入ICU`, `门诊发现`",急诊

diagnosis.severity,诊断.严重程度,String,"DKA严重程度分级(ADA标准)。<br>**轻度**: pH 7.25-7.30,HCO₃ 15-18 mmol/L,神志清醒<br>**中度**: pH 7.00-7.24,HCO₃ 10-14,嗜睡/意识模糊<br>**重度**: pH<7.00,HCO₃<10,昏迷<br>**建议值**: `轻度`, `中度`, `重度`",中度
diagnosis.type,诊断.类型,String,"**建议值**: `单纯DKA`, `DKA合并HHS(高渗高血糖状态)`, `正常血糖性DKA(SGLT2i相关)`",单纯DKA

diabetesHistory.diabetesType,糖尿病史.糖尿病类型,String,"**建议值**: `1型糖尿病`, `2型糖尿病`, `新诊断糖尿病(以DKA起病)`, `特殊类型糖尿病`, `妊娠糖尿病`",1型糖尿病
diabetesHistory.diagnosisDate,糖尿病史.诊断日期,Date,糖尿病诊断日期,2020-03-10
diabetesHistory.previousDKA,糖尿病史.既往DKA史,String,"**建议值**: `首次DKA`, `既往1次`, `既往≥2次(复发性DKA)`, `不详`",既往1次
diabetesHistory.usualControl,糖尿病史.平时控制情况,String,"**建议值**: `良好(HbA1c<7%)`, `中等(HbA1c 7-9%)`, `差(HbA1c>9%)`, `不规律就诊`, `不详`",差
diabetesHistory.lastHbA1c,糖尿病史.最近HbA1c,Number,"最近一次HbA1c(3个月内)。<br>单位: %",11.5

precipitatingFactors.infection,诱因.感染,String,"**最常见诱因(30-40%)**。<br>**示例**: `肺炎`, `泌尿系感染`, `胃肠道感染`, `COVID-19`, `脓毒症`, `无明确感染`",肺炎
precipitatingFactors.insulinOmission,诱因.胰岛素中断/不足,String,"**建议值**: `患者自行停药`, `胰岛素泵故障`, `经济原因停药`, `遗忘注射`, `剂量不足`, `无此因素`<br>**常见于1型糖尿病青少年**",患者自行停药
precipitatingFactors.newOnsetDM,诱因.新发糖尿病,String,"**建议值**: `是(DKA为首发表现)`, `否`<br>**1型糖尿病**: 20-30%以DKA起病",否
precipitatingFactors.mi,诱因.心肌梗死,String,"**建议值**: `无`, `疑似(需查心肌酶/ECG)`, `确诊`,无
precipitatingFactors.stroke,诱因.脑卒中,String,"**建议值**: `无`, `疑似`, `确诊`,无
precipitatingFactors.pancreatitis,诱因.急性胰腺炎,String,"**建议值**: `无`, `疑似(腹痛+淀粉酶升高)`, `确诊`,无
precipitatingFactors.trauma,诱因.创伤/手术,String,"**建议值**: `无`, `有(具体)`,无
precipitatingFactors.medications,诱因.药物,String,"**示例**: `糖皮质激素`, `噻嗪类利尿剂`, `抗精神病药物(非典型,如奥氮平)`, `SGLT2抑制剂(正常血糖性DKA)`, `无相关用药`",无相关用药
precipitatingFactors.pregnancy,诱因.妊娠,String,"**建议值**: `非妊娠`, `妊娠期(妊娠期DKA,母胎高危)`,非妊娠
precipitatingFactors.alcohol,诱因.酒精/药物滥用,String,"**建议值**: `无`, `酒精中毒`, `可卡因等毒品`,无
precipitatingFactors.unknown,诱因.不明原因,String,"**建议值**: `诱因明确`, `无明确诱因(约20%)`",诱因明确

symptoms.duration,症状.症状持续时间,String,"从症状出现到就诊的时间。<br>**建议值**: `<24小时`, `1-3天`, `>3天`",1-3天
symptoms.polyuria,症状.多尿,String,"**建议值**: `是`, `否`",是
symptoms.polydipsia,症状.多饮,String,"**建议值**: `是`, `否`",是
symptoms.weightLoss,症状.体重下降,String,"**建议值**: `无`, `轻度(<5kg)`, `明显(≥5kg)`",明显
symptoms.weakness,症状.乏力,String,"**建议值**: `无`, `轻度`, `明显`,明显
symptoms.nausea,症状.恶心,String,"**建议值**: `无`, `有`,有
symptoms.vomiting,症状.呕吐,String,"**建议值**: `无`, `1-2次`, `频繁(>3次)`,频繁
symptoms.abdominalPain,症状.腹痛,String,"**建议值**: `无`, `轻度`, `中-重度(可误诊为急腹症)`,中-重度
symptoms.breathlessness,症状.呼吸困难,String,"Kussmaul呼吸(深大呼吸)。<br>**建议值**: `无`, `有`,有
symptoms.alteredMental,症状.意识改变,String,"**建议值**: `神志清醒`, `嗜睡`, `意识模糊`, `昏迷`,意识模糊

physicalExam.consciousness,体格检查.意识状态,String,"**建议值**: `清醒`, `嗜睡`, `昏睡`, `昏迷`<br>**GCS评分**: 可记录",嗜睡
physicalExam.gcs,体格检查.GCS评分,Number,"格拉斯哥昏迷评分(3-15分)。<br>**≤8**: 昏迷,需气管插管",12
physicalExam.dehydration,体格检查.脱水程度,String,"**建议值**: `轻度(5%)`, `中度(5-10%)`, `重度(>10%)`<br>**体征**: 皮肤弹性差,黏膜干燥,眼窝凹陷,血压下降",重度
physicalExam.ketonBreath,体格检查.呼气烂苹果味,String,"丙酮味。<br>**建议值**: `无`, `有`,有
physicalExam.kussmaul,体格检查.Kussmaul呼吸,String,"深大呼吸(代偿性呼吸性碱中毒)。<br>**建议值**: `无`, `有`,有

physicalExam.temperature,体格检查.体温,Number,"体温。<br>单位: ℃<br>**体温正常/低**: DKA常见(有感染时可发热)",36.8
physicalExam.heartRate,体格检查.心率,Number,"心率。<br>单位: 次/分<br>**窦性心动过速**: 常见(脱水/酸中毒)",110
physicalExam.bloodPressure,体格检查.血压,String,"血压。<br>单位: mmHg<br>**低血压**: 重度脱水/休克",95/60
physicalExam.respiratoryRate,体格检查.呼吸频率,Number,"呼吸频率。<br>单位: 次/分<br>**增快**: Kussmaul呼吸",28
physicalExam.spo2,体格检查.SpO2,Number,"脉搏血氧饱和度(室内空气)。<br>单位: %",96

physicalExam.abdominalExam,体格检查.腹部体征,String,"**示例**: `腹软,无压痛`, `全腹压痛(假性急腹症)`, `反跳痛(需除外真性急腹症)`, `肠鸣音减弱`,全腹压痛
physicalExam.neurologicalExam,体格检查.神经系统,String,"**示例**: `正常`, `腱反射减弱`, `病理征阳性`, `局灶性神经体征(需除外脑卒中/脑水肿)`,腱反射减弱

labInitial.glucose,初始实验室.血糖,Number,"毛细血管或静脉血糖。<br>单位: mmol/L<br>**DKA诊断**: 通常>13.9 mmol/L(>250 mg/dL)<br>**正常血糖性DKA**: <11.1 mmol/L(SGLT2i相关)",24.5
labInitial.glucoseMgDl,初始实验室.血糖(mg/dL),Number,"血糖。<br>单位: mg/dL",441

labInitial.arterialPH,初始实验室.动脉血pH,Number,"动脉血pH。<br>**DKA诊断**: pH<7.30<br>**轻度**: 7.25-7.30<br>**中度**: 7.00-7.24<br>**重度**: <7.00",7.15
labInitial.venousPH,初始实验室.静脉血pH,Number,"静脉血pH(如无动脉血)。<br>**静脉pH**: 比动脉pH低0.03",7.12
labInitial.paco2,初始实验室.PaCO2,Number,"动脉血二氧化碳分压。<br>单位: mmHg<br>**降低**: 代偿性呼吸性碱中毒",22
labInitial.pao2,初始实验室.PaO2,Number,"动脉血氧分压。<br>单位: mmHg",95
labInitial.hco3,初始实验室.碳酸氢根,Number,"血清HCO₃⁻。<br>单位: mmol/L<br>**DKA诊断**: <18 mmol/L<br>**轻度**: 15-18<br>**中度**: 10-14<br>**重度**: <10",12
labInitial.anionGap,初始实验室.阴离子间隙,Number,"AG = Na⁺ - (Cl⁻ + HCO₃⁻)。<br>单位: mmol/L<br>**正常**: 12±2<br>**DKA**: >10,通常>15(高AG代谢性酸中毒)",28

labInitial.ketones.blood.bhb,初始实验室.酮体.血酮.β-羟丁酸,Number,"血β-羟丁酸(最准确)。<br>单位: mmol/L<br>**<0.6**: 正常<br>**0.6-1.5**: 轻度升高<br>**1.5-3.0**: 中度升高<br>**>3.0**: DKA诊断,重度酮症",5.8
labInitial.ketones.blood.qualitative,初始实验室.酮体.血酮.定性,String,"血酮定性(如无定量)。<br>**建议值**: `阴性(-)`, `弱阳性(+)`, `阳性(++)`, `强阳性(+++)`",强阳性
labInitial.ketones.urine,初始实验室.酮体.尿酮,String,"尿酮定性(硝普钠法,主要测乙酰乙酸)。<br>**建议值**: `阴性(-)`, `±`, `+`, `++`, `+++`, `++++`<br>**注意**: 治疗后β-羟丁酸转化为乙酰乙酸,尿酮可假性升高",++++

labInitial.sodium,初始实验室.血钠,Number,"血清钠。<br>单位: mmol/L<br>**正常**: 135-145<br>**假性低钠**: 高血糖稀释,校正钠=测定钠+1.6×(血糖-5.6)/5.6",128
labInitial.correctedSodium,初始实验室.校正钠,Number,"校正血钠。<br>单位: mmol/L",138
labInitial.potassium,初始实验室.血钾,Number,"血清钾。<br>单位: mmol/L<br>**正常**: 3.5-5.5<br>**DKA初始**: 正常或升高(酸中毒/胰岛素缺乏)<br>**治疗中**: 快速下降,需密切监测补钾",5.2
labInitial.chloride,初始实验室.血氯,Number,"血清氯。<br>单位: mmol/L<br>**正常**: 98-106",98
labInitial.phosphate,初始实验室.血磷,Number,"血清磷。<br>单位: mmol/L<br>**正常**: 0.8-1.5<br>**DKA初始**: 正常或升高<br>**治疗中**: 下降,重度低磷(<0.3)需补充",1.2
labInitial.magnesium,初始实验室.血镁,Number,"血清镁。<br>单位: mmol/L<br>**正常**: 0.7-1.0",0.8

labInitial.creatinine,初始实验室.肌酐,Number,"血清肌酐。<br>单位: μmol/L<br>**升高**: 肾前性急性肾损伤(脱水)",150
labInitial.bun,初始实验室.尿素氮,Number,"血尿素氮。<br>单位: mmol/L<br>**升高**: 脱水/肾功能不全",12
labInitial.bunCreatinineRatio,初始实验室.BUN/Cr比值,Number,"BUN/Cr比值。<br>**>20:1**: 肾前性",28

labInitial.osmolality.measured,初始实验室.血浆渗透压.实测值,Number,"实测血浆渗透压。<br>单位: mOsm/kg",
labInitial.osmolality.calculated,初始实验室.血浆渗透压.计算值,Number,"计算血浆渗透压 = 2×Na⁺ + 葡萄糖(mmol/L) + 尿素(mmol/L)。<br>单位: mOsm/kg<br>**正常**: 280-295<br>**DKA**: 通常<320<br>**HHS**: >320",310
labInitial.effectiveOsmolality,初始实验室.有效渗透压,Number,"有效渗透压 = 2×Na⁺ + 葡萄糖(mmol/L)。<br>单位: mOsm/kg<br>**>320**: 高渗状态",305

