Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,event_date,事件时间,datetime,,,,,Y,溺水发生时间,预后关键
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,儿童青少年高危
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,男性高危

Drowning_Definition,drowning,溺水,boolean,,,,,Y,液体呼吸障碍,定义
Drowning_Definition,submersion_time,浸没时间,integer,min,0-120,,,Y,水下时长,预后关键<5min
Drowning_Definition,witnessed,目击,boolean,,,,,Y,有无目击者,时间准确性

Water_Environment,water_type,水体类型,categorical,,Freshwater,Saltwater,Pool,Bathtub,,,Y,淡水/海水/游泳池/浴缸,病理生理
Water_Environment,water_temperature,水温,categorical,,Cold,Temperate,Warm,,,Y,冷<15°C/温15-25°C/暖>25°C,低体温保护
Water_Environment,water_contamination,水质污染,categorical,,Clean,Contaminated,Sewage,,,Y,清洁/污染/污水,感染风险

Rescue,time_to_rescue,至救出时间,integer,min,0-120,,,Y,浸没至救出,生存关键
Rescue,bystander_cpr,旁观者CPR,boolean,,,,,Y,现场即刻CPR,存活率提高
Rescue,time_to_ems,至急救到达时间,integer,min,0-120,,,Y,呼救至EMS,院前延误

Presentation,consciousness,意识状态,categorical,,Alert,Confused,Lethargic,Comatose,,,Y,清醒/意识模糊/嗜睡/昏迷,神经损伤
Presentation,respiratory_distress,呼吸窘迫,boolean,,,,,Y,气促/发绀,肺损伤
Presentation,cough,咳嗽,boolean,,,,,Y,咳嗽,肺水
Presentation,foam_at_mouth,口鼻泡沫,boolean,,,,,Y,泡沫,肺水肿
Presentation,vomiting,呕吐,boolean,,,,,Y,呕吐,吸入胃内容物
Presentation,hypothermia,低体温,boolean,,,,,Y,T<35°C,冷水浸泡

Szpilman_Classification,szpilman_grade,Szpilman分级,categorical,,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,,,Y,1级咳嗽/2级肺部啰音/3级急性肺水肿/4级呼吸衰竭/5级心脏骤停/6级死亡,严重度分级

Vital_Signs,sbp,收缩压,integer,mmHg,0-300,8480-6,,Y,收缩压,休克
Vital_Signs,dbp,舒张压,integer,mmHg,0-200,8462-4,,Y,舒张压,灌注
Vital_Signs,heart_rate,心率,integer,bpm,0-300,8867-4,,Y,心率,心动过缓/停搏
Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,0-60,9279-1,,Y,呼吸频率,呼吸窘迫
Vital_Signs,temperature_core,核心体温,decimal,°C,25-42,8310-5,,Y,直肠/食管温度,低体温程度
Vital_Signs,spo2,血氧饱和度,decimal,%,0-100,59408-5,,Y,SpO2,氧合

Hypothermia,hypothermia_severity,低体温严重度,categorical,,None,Mild,Moderate,Severe,Profound,,,Y,无≥35/轻度32-35/中度28-32/重度20-28/极重度<20°C,Swiss分期
Hypothermia,shivering,寒颤,boolean,,,,,Y,肌肉颤抖,轻度低体温

GCS,gcs_total,GCS总分,integer,,3-15,9269-2,,Y,意识状态,脑缺氧损伤
GCS,gcs_eye,睁眼反应,integer,,1-4,9267-6,,Y,E评分,意识评估
GCS,gcs_verbal,语言反应,integer,,1-5,9270-0,,Y,V评分,神经功能
GCS,gcs_motor,运动反应,integer,,1-6,9268-4,,Y,M评分,运动功能

