Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,评估日期,病程记录
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,婴儿/儿童/成人
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,人群特征

Diagnosis,dermatitis_type,皮炎类型,categorical,,"Atopic_Dermatitis,Contact_Dermatitis_Allergic,Contact_Dermatitis_Irritant,Seborrheic_Dermatitis,Nummular_Dermatitis,Dyshidrotic_Eczema,Stasis_Dermatitis,Other",,,Y,特应性/接触性过敏/接触性刺激/脂溢性/钱币状/汗疱疹/淤积性/其他,分类诊断

Onset,onset_age,发病年龄,integer,years,0-120,,,Y,起病年龄,AD婴儿期起病
Onset,disease_duration,病程,integer,months,0-1200,,,Y,病程月数,慢性病程
Onset,acute_chronic,急慢性,categorical,,"Acute,Subacute,Chronic",,,Y,急性/亚急性/慢性,炎症阶段
Onset,first_episode_recurrent,首次/复发,categorical,,"First_Episode,Recurrent",,,Y,首次/复发,病程模式

Distribution,distribution_pattern,分布模式,categorical,,"Localized,Regional,Generalized",,,Y,局限/区域/广泛,严重程度
Distribution,symmetry,对称性,categorical,,"Symmetric,Asymmetric",,,Y,对称/非对称,病因线索
Distribution,face,面部,boolean,,,,,N,面部受累,婴儿AD
Distribution,scalp,头皮,boolean,,,,,N,头皮受累,脂溢性皮炎
Distribution,neck,颈部,boolean,,,,,N,颈部受累,常见部位
Distribution,trunk,躯干,boolean,,,,,N,躯干受累,分布评估
Distribution,flexural_areas,屈侧,boolean,,,,,N,肘窝/腘窝,AD特征分布
Distribution,extensor_surfaces,伸侧,boolean,,,,,N,伸侧面,儿童AD
Distribution,hands,手部,boolean,,,,,N,手部受累,职业性/汗疱疹
Distribution,feet,足部,boolean,,,,,N,足部受累,汗疱疹
Distribution,lower_legs,小腿,boolean,,,,,N,小腿受累,淤积性皮炎

Morphology,erythema,红斑,boolean,,,,,Y,皮肤潮红,炎症标志
Morphology,edema,水肿,boolean,,,,,Y,肿胀,急性炎症
Morphology,vesicles,水疱,boolean,,,,,N,小水疱,急性湿疹
Morphology,oozing,渗出,boolean,,,,,N,液体渗出,急性期
Morphology,crusting,结痂,boolean,,,,,N,黄色痂皮,渗出干燥
Morphology,scaling,鳞屑,boolean,,,,,Y,脱屑,亚急性/慢性
Morphology,lichenification,苔藓化,boolean,,,,,N,皮肤增厚/皮纹加深,慢性搔抓
Morphology,excoriations,抓痕,boolean,,,,,Y,搔抓痕迹,瘙痒证据
Morphology,fissures,皲裂,boolean,,,,,N,皮肤裂隙,手足湿疹
Morphology,hyperpigmentation,色素沉着,boolean,,,,,N,炎症后色沉,恢复期
Morphology,hypopigmentation,色素减退,boolean,,,,,N,炎症后色减,恢复期

Symptoms,pruritus,瘙痒,boolean,,,,,Y,瘙痒主诉,核心症状
Symptoms,pruritus_severity,瘙痒严重度,categorical,,"Mild,Moderate,Severe",,,Y,轻度/中度/重度,生活质量影响
