fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,检查日期，格式YYYY-MM-DD,2024-12-01
patientID,患者唯一标识符,String,患者的唯一标识符,P202401001
patientName,患者姓名,String,患者的姓名,张三
clinicalIndication,临床适应症,String,进行康复评估的临床适应症,内分泌疾病康复评估
diagnosisImpression,诊断印象,String,基于评估结果的诊断印象,康复需求中等/功能障碍轻度
recommendation,建议,String,基于评估结果的建议,制定个性化康复计划和目标

# 基本信息
ageAtAssessment,评估时年龄,Number,患者评估时的年龄（岁）,55
gender,性别,String,患者性别,男/女
primaryEndocrineDisease,主要内分泌疾病,String,主要内分泌疾病诊断,糖尿病/甲状腺疾病/肾上腺疾病/垂体疾病/性腺疾病
secondaryDiagnoses,次要诊断,String,相关次要诊断,高血压/血脂异常/骨质疏松/心血管疾病
diseaseOnset,疾病起病时间,String,疾病起病时间,急性起病/亚急性起病/慢性起病
diseaseDuration,疾病持续时间,Number,疾病持续时间（年）,8.5
currentTreatmentStatus,当前治疗状态,String,当前疾病治疗状态,稳定期/急性期/调整期/康复期

# 功能状态评估
overallFunctionalStatus,总体功能状态,String,总体功能状态,独立/轻度依赖/中度依赖/重度依赖
mobilityLevel,活动能力水平,String,活动能力水平,正常/轻度受限/中度受限/重度受限/卧床
selfCareAbility,自理能力,String,日常生活自理能力,完全独立/部分独立/需要协助/完全依赖
cognitiveFunctionStatus,认知功能状态,String,认知功能状态,正常/轻度损害/中度损害/重度损害
communicationAbility,沟通能力,String,沟通交流能力,正常/轻度障碍/中度障碍/重度障碍
workCapacity,工作能力,String,工作能力状况,正常/轻度下降/中度下降/重度下降/无工作能力

# 身体功能评估
physicalEndurance,体力耐力,Number,体力耐力评分（1-5分），5分为耐力极好,3.2
muscleStrength,肌肉力量,Number,整体肌肉力量评分（1-5分）,3.4
jointMobility,关节活动度,Number,关节活动度评分（1-5分）,3.6
balance,平衡能力,Number,平衡能力评分（1-5分）,3.0
coordination,协调能力,Number,动作协调能力评分（1-5分）,3.2
cardiovascularFitness,心血管适能,Number,心血管适能评分（1-5分）,2.8
respiratoryFunction,呼吸功能,Number,呼吸功能评分（1-5分）,3.4

# 内分泌特异性评估
hormonalControlStatus,激素控制状态,String,激素水平控制状态,良好控制/部分控制/控制不佳/失控
metabolicStability,代谢稳定性,String,代谢状况稳定性,稳定/轻度不稳定/中度不稳定/重度不稳定
symptomSeverity,症状严重程度,Number,内分泌疾病症状严重程度评分（1-5分）,2.8
complicationPresence,并发症存在,String,是否存在内分泌相关并发症,无/轻度/中度/重度
organSystemInvolvement,器官系统受累,String,受累器官系统,单系统/双系统/多系统
diseaseProgressionRate,疾病进展速度,String,疾病进展速度,稳定/缓慢进展/中等进展/快速进展

# 糖尿病特异性康复评估
glycemicControl,血糖控制,String,血糖控制状况,良好/一般/差
diabeticComplications,糖尿病并发症,String,糖尿病并发症严重程度,无/轻度/中度/重度
footHealthStatus,足部健康状况,String,糖尿病足健康状况,正常/高危/溃疡/感染
diabeticNeuropathy,糖尿病神经病变,String,神经病变程度,无/轻度/中度/重度
diabeticRetinopathy,糖尿病视网膜病变,String,视网膜病变程度,无/背景型/增殖前期/增殖期
diabeticNephropathy,糖尿病肾病,String,糖尿病肾病程度,无/早期/临床期/终末期
diabeticCardiovascularRisk,糖尿病心血管风险,String,心血管风险程度,低风险/中风险/高风险/极高风险

# 甲状腺疾病特异性评估
thyroidFunctionStatus,甲状腺功能状态,String,甲状腺功能状态,正常/亢进/减退/不稳定
thyroidSymptoms,甲状腺症状,String,甲状腺相关症状严重程度,无症状/轻度/中度/重度
metabolicRateImpact,代谢率影响,String,基础代谢率影响程度,正常/轻度影响/中度影响/重度影响
