Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,子宫内膜癌确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,岁,18-100,,,Y,确诊时年龄,绝经后多发
Basic_Info,menopausal_status,绝经状态,categorical,,,"Premenopausal,Perimenopausal,Postmenopausal",,,Y,绝经情况,90%绝经后
Basic_Info,age_at_menarche,初潮年龄,integer,岁,8-20,,,N,月经初潮,早初潮风险
Basic_Info,age_at_menopause,绝经年龄,integer,岁,35-65,,,N,绝经年龄,晚绝经风险
Basic_Info,nulliparity,未产,categorical,,,"Yes,No",,,N,从未生育,危险因素
Basic_Info,parity,产次,integer,次,0-15,,,N,生育次数,保护因素
Basic_Info,obesity,肥胖,categorical,,,"Yes,No",,,N,BMI>30,主要危险因素
Basic_Info,bmi,体重指数,decimal,kg/m²,15-60,,,N,BMI,雌激素过多
Basic_Info,diabetes_mellitus,糖尿病,categorical,,,"Yes,No",,,N,糖尿病史,代谢综合征
Basic_Info,hypertension,高血压,categorical,,,"Yes,No",,,N,高血压史,代谢综合征
Basic_Info,pcos,多囊卵巢综合征,categorical,,,"Yes,No",,,N,PCOS病史,无排卵雌激素
Basic_Info,tamoxifen_use,他莫昔芬使用,categorical,,,"Yes,No",,,N,抗雌激素药物,增加内膜癌风险
Basic_Info,tamoxifen_duration,他莫昔芬使用时长,decimal,年,0-20,,,N,用药年限,累积暴露
Basic_Info,hrt_use,激素替代治疗,categorical,,,"Never,Estrogen_Only,Combined,Progestin_Only",,,N,HRT使用,单雌激素增加风险
Basic_Info,lynch_syndrome,Lynch综合征,categorical,,,"Yes,No,Unknown",,,N,遗传性非息肉性结直肠癌,遗传性内膜癌
Basic_Info,family_history_endometrial,内膜癌家族史,categorical,,,"Yes,No",,,N,一级亲属内膜癌,遗传易感
Presentation,abnormal_uterine_bleeding,异常子宫出血,categorical,,,"Yes,No",,,Y,AUB,最常见症状90%
Presentation,postmenopausal_bleeding,绝经后出血,categorical,,,"Yes,No",,,Y,PMB,警示症状
Presentation,bleeding_duration,出血持续时间,categorical,,,"<1month,1-3months,3-6months,>6months",,,N,症状病程,早期诊断
Presentation,vaginal_discharge,阴道排液,categorical,,,"Watery,Bloody,Purulent,None",,,N,阴道分泌物,晚期症状
Presentation,pelvic_pain,盆腔疼痛,categorical,,,"Yes,No",,,N,下腹痛,晚期或并发症
Presentation,abdominal_distension,腹胀,categorical,,,"Yes,No",,,N,腹部膨隆,晚期腹腔受累
Presentation,weight_loss,体重下降,categorical,,,"Yes,No",,,N,非刻意减重,全身症状
Presentation,incidental_finding,偶然发现,categorical,,,"Yes,No",,,N,无症状发现,影像/病理
Imaging,endometrial_thickness,子宫内膜厚度,decimal,mm,0-50,,,N,超声内膜厚度,>4mm绝经后异常
Imaging,endometrial_heterogeneity,内膜异质性,categorical,,,"Yes,No",,,N,不均匀回声,肿瘤征象
Imaging,myometrial_invasion_imaging,肌层侵犯影像,categorical,,,"None,<50%,≥50%,Unknown",,,N,MRI/超声评估,深肌层侵犯
Imaging,cervical_involvement_imaging,宫颈受累影像,categorical,,,"Yes,No,Uncertain",,,N,影像学宫颈侵犯,II期
Imaging,uterine_size_enlarged,子宫增大,categorical,,,"Yes,No",,,N,子宫体积,肿瘤负荷
Imaging,adnexal_mass,附件肿块,categorical,,,"Unilateral,Bilateral,None",,,N,卵巢/输卵管,转移或合并
