fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,环境代谢毒理学检查日期,2024-12-01
patientID,患者ID,String,患者唯一标识符,EMT-001
patientName,患者姓名,String,患者全名,张三
clinicalIndication,临床适应症,String,检查适应症和临床背景,环境因素对代谢疾病影响评估
chiefComplaint,主诉,String,患者主要环境相关症状主诉,疲劳乏力注意力不集中
presentIllness,现病史,String,当前环境相关症状详细病史,近期症状加重疑似环境暴露
pastHistory,既往史,String,既往环境暴露史,无明显急性中毒史
occupationalHistory,职业史,String,职业暴露详细历史,化工厂工作10年
residentialHistory,居住史,String,居住环境暴露史,居住在工业区附近
dietaryHistory,饮食史,String,饮食相关暴露史,经常食用海鱼
travelHistory,旅行史,String,旅行相关暴露史,无特殊旅行史
hobbyHistory,爱好史,String,爱好相关暴露史,园艺爱好使用农药
familyHistory,家族史,String,家族环境相关疾病史,无家族环境疾病史
currentMedications,当前用药,String,目前使用的药物,二甲双胍ACEI类降压药
supplements,补充剂,String,营养补充剂使用,维生素D钙片
cosmeticProducts,化妆品,String,化妆品个护用品使用,基础护肤品
householdProducts,家用产品,String,家用化学品使用,常规清洁用品
vitalSigns,生命体征,String,血压心率体温,BP 135/85 HR 78 RR 18 T 36.6°C
generalAppearance,一般外观,String,整体外观评估,精神尚可轻度疲倦感
neurologicalExamination,神经系统检查,String,神经系统体格检查,神经系统检查正常
cognitiveFunctioning,认知功能,String,认知功能评估,轻度注意力不集中
memoryAssessment,记忆评估,String,记忆功能评估,记忆力轻度下降
concentrationAssessment,注意力评估,String,注意力评估,注意力集中困难
moodAssessment,情绪评估,String,情绪状态评估,情绪较低落
fatigueAssessment,疲劳评估,String,疲劳程度评估,中度疲劳
sleepAssessment,睡眠评估,String,睡眠质量评估,睡眠质量差
appetiteAssessment,食欲评估,String,食欲评估,食欲下降
headaches,头痛,String,头痛症状评估,偶有头痛
dizziness,头晕,String,头晕症状评估,偶有头晕
nausea,恶心,String,恶心症状评估,偶有恶心
vomiting,呕吐,String,呕吐症状评估,无呕吐
abdominalPain,腹痛,String,腹痛症状评估,无腹痛
diarrhea,腹泻,String,腹泻症状评估,无腹泻
constipation,便秘,String,便秘症状评估,偶有便秘
skinIrritation,皮肤刺激,String,皮肤刺激症状,无明显皮肤刺激
rash,皮疹,String,皮疹症状,无皮疹
respiratorySymptoms,呼吸系统症状,String,呼吸系统症状评估,无明显呼吸症状
cough,咳嗽,String,咳嗽症状,无咳嗽
shortnessOfBreath,气短,String,气短症状,无气短
chestTightness,胸闷,String,胸闷症状,无胸闷
eyeIrritation,眼部刺激,String,眼部刺激症状,无眼部刺激
noseTHroatIrritation,鼻咽刺激,String,鼻咽刺激症状,无鼻咽刺激
bloodPressureChanges,血压变化,String,血压变化评估,血压轻度升高
heartRateChanges,心率变化,String,心率变化评估,心率变化不明显
temperatureChanges,体温变化,String,体温变化评估,体温正常
weightChanges,体重变化,String,体重变化评估,体重无明显变化
heavyMetalsScreening,重金属筛查,String,重金属检测项目,重金属全套检测
lead,铅,Number,血铅水平(μg/dL),8.5
mercury,汞,Number,血汞水平(μg/L),2.8
cadmium,镉,Number,血镉水平(μg/L),1.2
arsenic,砷,Number,尿砷水平(μg/L),15.8
chromium,铬,Number,血铬水平(μg/L),0.8
