fieldName,displayName,dataType,description,exampleValue
basic.reportId,基本信息.报告ID,String,"病理报告唯一标识符",ESO-2024-001234
basic.patientId,基本信息.患者ID,String,"患者唯一标识符",P123456789
basic.patientName,基本信息.患者姓名,String,"患者姓名",张三
basic.age,基本信息.年龄,Number,"患者年龄(岁)。<br>**流行病学**: 食管癌高发年龄50-70岁,中位年龄63岁<br>**临床意义**: 年龄是独立预后因素,≥65岁患者手术并发症率增加,5年生存率略低",65
basic.gender,基本信息.性别,String,"患者性别。<br>**建议值**: `男`, `女`<br>**流行病学**: 中国食管鳞癌男:女=2-3:1,Barrett食管腺癌男:女=4-8:1",男
basic.reportDate,基本信息.报告日期,Date,"病理报告出具日期",2024-03-15
basic.hospitalName,基本信息.医院名称,String,"出具报告的医疗机构名称",北京协和医院
basic.pathologistName,基本信息.病理医师,String,"报告病理医师姓名",李医生
specimen.type,标本信息.标本类型,String,"病理标本类型。<br>**建议值**:<br>- `内镜活检`: 诊断金标准,取材6-8块,确诊率95%<br>- `内镜黏膜下剥离术(ESD)标本`: 早期食管癌内镜切除<br>- `食管部分切除标本`: 根治性手术标本<br>- `食管全切除标本`: Ivor-Lewis/McKeown手术<br>- `淋巴结穿刺/活检`: 淋巴结转移诊断<br>- `转移灶活检`: 远处转移诊断<br>**临床意义**: 内镜活检确诊率95%,但浸润深度评估不准确(与pT分期符合率仅60%);ESD标本可准确评估浸润深度和脉管侵犯",内镜活检
specimen.location,标本信息.肿瘤部位,String,"肿瘤在食管的位置。<br>**解剖分段**(距门齿距离):<br>- **颈段食管**: 15-20cm,食管入口至胸骨上切迹水平,占5%<br>- **胸上段食管**: 20-25cm,胸骨上切迹至气管分叉(隆突),占10%<br>- **胸中段食管**: 25-30cm,气管分叉至食管胃结合部(EGJ)上方约8cm,占50%<br>- **胸下段食管**: 30-40cm,食管胃结合部上方8cm至EGJ,占30%<br>- **食管胃结合部(EGJ)**: 40-45cm,占5-10%<br>**建议值**: `颈段(15-20cm)`, `胸上段(20-25cm)`, `胸中段(25-30cm)`, `胸下段(30-40cm)`, `食管胃结合部(40-45cm)`<br>**临床意义**: 中国食管鳞癌好发于胸中段(50%),而西方Barrett食管腺癌多位于胸下段和EGJ;部位影响手术入路和淋巴结清扫范围",胸中段(27cm)
specimen.siewertType,标本信息.Siewert分型,String,"食管胃结合部(EGJ)腺癌Siewert分型。<br>**定义**: 肿瘤中心位于EGJ上下5cm范围内的腺癌<br>**Siewert I型**: 肿瘤中心位于EGJ上1-5cm(远端食管腺癌),占40-50%,按食管癌分期<br>**Siewert II型**: 肿瘤中心位于EGJ上1cm-下2cm(真正的贲门癌),占30-40%,按食管癌分期(AJCC第8版)<br>**Siewert III型**: 肿瘤中心位于EGJ下2-5cm(贲门下腺癌/胃癌),占20-30%,按胃癌分期<br>**建议值**: `不适用(非EGJ腺癌)`, `Siewert I型`, `Siewert II型`, `Siewert III型`<br>**临床意义**: AJCC第8版规定肿瘤中心在EGJ近端2cm内(Siewert I/II)按食管癌分期,远于2cm按胃癌分期;Siewert I型更像食管癌(多为Barrett腺癌),III型更像胃癌(与H. pylori相关)",Siewert II型
specimen.size,标本信息.肿瘤大小,String,"肿瘤最大径(cm)。<br>**测量**: 肿瘤长径×宽径,如`5.0×3.5cm`<br>**T分期关系**: AJCC第8版T分期不按肿瘤大小,仅按浸润深度<br>**临床意义**: 肿瘤大小是独立预后因素,≥5cm患者5年生存率明显低于<3cm;早期食管癌(T1)平均2-3cm,进展期平均5-8cm",5.0×3.5cm
clinical.symptoms,临床表现.主要症状,String,"主要临床症状。<br>**典型症状**:<br>- **进行性吞咽困难**: 90%患者,先固体后液体,提示中晚期<br>- **胸骨后疼痛/烧灼感**: 50%,提示侵犯纵隔<br>- **进食哽噎感**: 早期症状,常被忽视<br>- **体重下降**: 60%,>10%提示营养不良<br>**晚期症状**:<br>- 声音嘶哑(喉返神经侵犯)<br>- 呛咳(气管食管瘘)<br>- 呕血/黑便(肿瘤出血)<br>**建议值**: `无症状(体检发现)`, `吞咽困难`, `胸骨后疼痛`, `进食哽噎感`, `体重下降>10%`, `声音嘶哑`, `呛咳(气管食管瘘)`, `呕血`<br>**临床意义**: 出现吞咽困难时食管管腔已狭窄50-70%,多为中晚期;早期食管癌多无症状,需内镜筛查",吞咽困难,体重下降15%
clinical.endoscopy,临床表现.内镜表现,String,"胃镜下肿瘤表现。<br>**早期食管癌**(T1):<br>- 0-I型(隆起型): 息肉样/结节样隆起,<10%<br>- 0-II型(平坦型): 粘膜轻微改变,需碘染色/NBI,40%<br>  - 0-IIa: 轻度隆起<br>  - 0-IIb: 完全平坦<br>  - 0-IIc: 轻度凹陷<br>- 0-III型(凹陷型): 浅表溃疡,50%<br>**进展期食管癌**:<br>- Borrmann I型: 隆起型(息肉/蕈伞状),5-10%<br>- Borrmann II型: 溃疡型,边界清楚,30-40%<br>- Borrmann III型: 浸润溃疡型,边界不清,40-50%<br>- Borrmann IV型: 弥漫浸润型(革囊胃样),5-10%,预后最差<br>**建议值**: `0-I型隆起`, `0-IIa轻度隆起`, `0-IIb平坦`, `0-IIc轻度凹陷`, `0-III型凹陷`, `Borrmann I型`, `Borrmann II型`, `Borrmann III型`, `Borrmann IV型`<br>**临床意义**: 早期食管癌5年生存率>90%,进展期<30%;0-IIb/IIc型易漏诊,需碘染色(正常粘膜染色,癌变不着色)或NBI(窄带成像)检查",Borrmann II型溃疡
clinical.tumorMarkers.cea,临床表现.肿瘤标志物.CEA,Number,"癌胚抗原(ng/ml)。<br>**正常值**: <5 ng/ml<br>**阳性率**: 食管腺癌40-60%(较高),食管鳞癌20-30%<br>**临床意义**: CEA升高提示进展期或转移,术后CEA下降提示疗效好,持续升高/复升提示复发;CEA>10 ng/ml常提示远处转移,预后差<br>**监测**: 术前基线+术后每3个月",8.5
