fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,运动代谢功能检查日期,2024-12-01
patientID,患者ID,String,患者唯一标识符,EMF-001
patientName,患者姓名,String,患者全名,张三
clinicalIndication,临床适应症,String,检查适应症和临床背景,糖尿病运动处方制定
chiefComplaint,主诉,String,患者主要症状和主诉,活动后气短乏力
presentIllness,现病史,String,当前疾病详细病史,近半年运动耐力明显下降
pastHistory,既往史,String,既往疾病史,2型糖尿病8年高血压3年
exerciseHistory,运动史,String,既往运动习惯和经历,年轻时经常运动近年减少
injuryHistory,外伤史,String,运动相关外伤史,无明显运动外伤史
currentMedications,当前用药,String,目前使用的药物,二甲双胍阿卡波糖
contraindications,禁忌症,String,运动试验禁忌症评估,无绝对禁忌症
restingVitalSigns,静息生命体征,String,静息状态生命体征,BP 135/85 HR 72 RR 16
restingECG,静息心电图,String,静息心电图检查,窦性心律无明显异常
height,身高,Number,身高测量值(cm),170
weight,体重,Number,体重测量值(kg),75
BMI,体重指数,Number,体重指数值,26.0
bodyFatPercentage,体脂率,Number,体脂率(%),28.5
muscleMass,肌肉量,Number,肌肉量(kg),32.5
visceralFat,内脏脂肪,Number,内脏脂肪级别,8
restingHeartRate,静息心率,Number,静息心率(次/分),72
restingBloodPressure,静息血压,String,静息血压测量,135/85 mmHg
restingOxygenSaturation,静息血氧饱和度,Number,静息SpO2(%),98
restingRespiratoryRate,静息呼吸频率,Number,静息呼吸频率(次/分),16
restingGlucose,静息血糖,Number,运动前血糖(mmol/L),7.8
restingLactate,静息乳酸,Number,静息血乳酸(mmol/L),1.2
preExerciseAssessment,运动前评估,String,运动前整体评估,适合进行运动试验
testProtocol,测试方案,String,运动试验方案,Bruce方案
exerciseModality,运动方式,String,运动试验器械类型,踏车功率计
workloadIncrement,负荷递增,String,运动负荷递增方式,每3分钟递增25W
initialWorkload,初始负荷,Number,初始运动负荷(W),25
maximumWorkload,最大负荷,Number,达到的最大负荷(W),150
exerciseDuration,运动持续时间,Number,运动持续时间(分钟),12
terminationReason,终止原因,String,运动试验终止原因,达到亚极量心率
peakHeartRate,峰值心率,Number,运动峰值心率(次/分),155
maximumPredictedHeartRate,最大预测心率,Number,年龄预测最大心率(次/分),190
heartRateReserve,心率储备,Number,心率储备值(次/分),118
percentageMaxHeartRate,最大心率百分比,Number,达到最大心率百分比(%),82
peakBloodPressure,峰值血压,String,运动峰值血压,165/95 mmHg
systolicBPResponse,收缩压反应,String,运动中收缩压反应,正常升高
diastolicBPResponse,舒张压反应,String,运动中舒张压反应,轻度升高
RPE,主观疲劳感,Number,Borg主观疲劳感评分,16
respiratoryExchangeRatio,呼吸交换率,Number,峰值RER值,1.08
oxygenUptake,摄氧量,Number,峰值摄氧量(ml/kg/min),28.5
relativeVO2max,相对最大摄氧量,Number,相对VO2max(ml/kg/min),28.5
absoluteVO2max,绝对最大摄氧量,Number,绝对VO2max(L/min),2.14
predictedVO2max,预测最大摄氧量,Number,年龄预测VO2max(ml/kg/min),35
VO2maxPercentage,最大摄氧量百分比,Number,达到预测VO2max百分比(%),81
