字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,FHH评估日期,2025-10-01
patientID,患者ID,String,患者唯一标识符,P123456
patientAge,患者年龄,Number,"患者年龄。<br>单位: 岁<br>**说明**: FHH可见于各年龄段，包括儿童",35
discoveryContext,发现背景,String,"高钙血症发现背景。<br>**建议值**: `体检偶然发现`, `家族筛查`, `症状就诊`, `其他疾病检查`",体检偶然发现
symptoms.present,症状.存在症状,Boolean,"是否有高钙血症相关症状(FHH多数无症状)",false
symptoms.polyuria,症状.多尿多饮,Boolean,是否有多尿多饮(<20%的FHH患者),false
symptoms.fatigue,症状.疲劳,Boolean,是否有疲劳感(罕见),false
symptoms.cognitiveImpairment,症状.认知受影响,Boolean,是否有认知轻度受影响(罕见),false
symptoms.renalStones,症状.肾结石史,Boolean,"是否有肾结石史(FHH罕见，提示PHPT可能)",false
symptoms.bonePain,症状.骨痛,Boolean,"是否有骨痛(FHH罕见，提示PHPT可能)",false
symptoms.fracture,症状.骨折史,Boolean,"是否有骨折史(FHH罕见)",false
symptoms.pancreatitis,症状.胰腺炎,Boolean,是否有胰腺炎史(FHH极罕见并发症),false
familyHistory.hypercalcemia,家族史.高钙血症,Boolean,"一级亲属是否有高钙血症(常染色体显性遗传，50%概率)",true
familyHistory.affectedRelatives,家族史.受影响亲属,String,"受影响的家族成员。<br>**建议值**: `无家族史`, `父亲`, `母亲`, `同胞`, `子女`, `多名亲属(多代发病)`",父亲+同胞(兄弟)
familyHistory.generations,家族史.发病代数,Number,"家族中发病代数(祖辈、父母、患者、子女)。<br>**说明**: 多代发病支持FHH",2
familyHistory.unnecessarySurgery,家族史.家族中不必要手术,Boolean,家族成员是否有因误诊为PHPT而接受甲状旁腺手术,false
labResults.serumCalcium,实验室检查.血清总钙,Number,"血清总钙(校正白蛋白后)。<br>单位: mmol/L<br>**FHH典型**: 2.6-3.0 mmol/L(轻度升高)<br>**参考范围**: 2.10-2.60",2.75
labResults.serumCalciumCorrected,实验室检查.校正血钙,Number,"校正血钙。<br>公式: 总钙 + 0.02 × (40 - 白蛋白g/L)<br>单位: mmol/L",2.78
labResults.ionizedCalcium,实验室检查.游离钙,Number,"血清游离钙(直接测定)。<br>单位: mmol/L<br>**参考范围**: 1.15-1.35",1.42
labResults.calciumStability,实验室检查.血钙稳定性,String,"血钙长期稳定性。<br>**FHH特点**: 终身存在，波动小<br>**建议值**: `首次发现`, `稳定>6月`, `稳定>1年`, `稳定>5年`, `波动大`",稳定>5年
labResults.pth,实验室检查.甲状旁腺激素iPTH,Number,"血清完整甲状旁腺激素。<br>单位: pmol/L<br>**参考范围**: 1.6-6.9<br>**FHH**: 正常或轻度升高<br>**PHPT**: 明显升高或不适当正常",4.5
labResults.pthInterpretation,实验室检查.PTH解读,String,"PTH水平解读。<br>**建议值**: `正常`, `轻度升高(不抑制)`, `明显升高(提示PHPT)`",轻度升高(不抑制)
labResults.phosphate,实验室检查.血磷,Number,"血清磷。<br>单位: mmol/L<br>**参考范围**: 0.8-1.5<br>**FHH**: 正常或轻度降低",1.0
labResults.albumin,实验室检查.白蛋白,Number,"血清白蛋白。<br>单位: g/L<br>**参考范围**: 35-55<br>**说明**: 用于校正总钙",42
labResults.25ohVitaminD,实验室检查.25羟维生素D,Number,"25-OH维生素D。<br>单位: nmol/L<br>**参考范围**: >50<br>**说明**: 排除维生素D中毒引起的高钙",65
