Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,exam_date,检查日期,date,,,,,Y,眼底检查日期,检查时间点
Basic_Info,exam_eye,检查眼别,categorical,,,"OD_Right,OS_Left,OU_Both",,,Y,检查眼别,左右眼
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,年龄相关眼病
Basic_Info,exam_type,检查类型,categorical,,,"Fundus_Photography,OCT,FA,ICGA,Combined",,,Y,检查方式,影像类型

Visual_Acuity,bcva_od,右眼最佳矫正视力,categorical,,,"20/20,20/25,20/30,20/40,20/50,20/60,20/80,20/100,20/200,CF,HM,LP,NLP",,,N,右眼BCVA,视功能
Visual_Acuity,bcva_os,左眼最佳矫正视力,categorical,,,"20/20,20/25,20/30,20/40,20/50,20/60,20/80,20/100,20/200,CF,HM,LP,NLP",,,N,左眼BCVA,视功能
Visual_Acuity,logmar_od,右眼LogMAR,decimal,,-0.3-3.0,,,N,右眼LogMAR视力,标准化
Visual_Acuity,logmar_os,左眼LogMAR,decimal,,-0.3-3.0,,,N,左眼LogMAR视力,标准化

IOP,iop_od,右眼眼压,integer,mmHg,0-80,,,N,右眼眼压,青光眼
IOP,iop_os,左眼眼压,integer,mmHg,0-80,,,N,左眼眼压,正常10-21mmHg

Fundus_Photography,fundus_performed,眼底照相,categorical,,,"Yes,No",,,N,是否眼底照相,彩色眼底
Fundus_Photography,image_quality,图像质量,categorical,,,"Excellent,Good,Fair,Poor",,,N,图像质量,诊断价值
Fundus_Photography,pupil_dilation,散瞳,categorical,,,"Yes,No",,,N,是否散瞳,周边眼底

Optic_Disc,optic_disc_normal,视盘正常,categorical,,,"Yes,No",,,N,视盘是否正常,青光眼/水肿
Optic_Disc,cup_disc_ratio_od,右眼杯盘比,decimal,,0-1,,,N,右眼C/D,青光眼0.6-0.7可疑
Optic_Disc,cup_disc_ratio_os,左眼杯盘比,decimal,,0-1,,,N,左眼C/D,青光眼评估
Optic_Disc,disc_hemorrhage,视盘出血,categorical,,,"Yes,No",,,N,视盘出血,青光眼进展
Optic_Disc,neuroretinal_rim,神经纤维层,categorical,,,"Normal,Thinning,Notching",,,N,神经纤维层,RNFL缺损
Optic_Disc,papilledema,视盘水肿,categorical,,,"Yes,No",,,N,视盘水肿,颅内压增高
Optic_Disc,optic_atrophy,视盘萎缩,categorical,,,"Yes,No",,,N,视盘萎缩,视神经病变
Optic_Disc,tilted_disc,倾斜盘,categorical,,,"Yes,No",,,N,倾斜盘,生理性变异

Macula,macula_normal,黄斑正常,categorical,,,"Yes,No",,,Y,黄斑是否正常,中心视力
Macula,foveal_reflex,中心凹反射,categorical,,,"Present,Absent,Abnormal",,,N,中心凹光反射,黄斑结构
Macula,macular_edema,黄斑水肿,categorical,,,"Yes,No",,,N,黄斑水肿,DME/RVO
Macula,cystoid_changes,囊样改变,categorical,,,"Yes,No",,,N,囊样黄斑水肿,CME
Macula,epiretinal_membrane,黄斑前膜,categorical,,,"Yes,No",,,N,ERM,牵拉失真
Macula,macular_hole,黄斑裂孔,categorical,,,"Full_Thickness,Lamellar,Pseudo,None",,,N,黄斑裂孔,手术指征
Macula,hard_exudates,硬性渗出,categorical,,,"Yes,No",,,N,硬性渗出,DR/RVO
Macula,drusen,玻璃疣,categorical,,,"None,Small_Hard,Intermediate,Large_Soft,Confluent",,,N,玻璃疣,AMD
Macula,pigmentary_changes,色素改变,categorical,,,"Hyperpigmentation,Hypopigmentation,Atrophy,None",,,N,色素异常,AMD/RP

Retinal_Vessels,av_ratio,动静脉比,decimal,,0-2,,,N,A/V比值,正常2:3
Retinal_Vessels,arteriolar_narrowing,动脉狭窄,categorical,,,"Yes,No",,,N,动脉狭窄,高血压
Retinal_Vessels,av_nicking,动静脉交叉压迹,categorical,,,"Yes,No",,,N,AV交叉征,高血压
Retinal_Vessels,copper_wiring,铜丝样动脉,categorical,,,"Yes,No",,,N,铜丝样,高血压
Retinal_Vessels,silver_wiring,银丝样动脉,categorical,,,"Yes,No",,,N,银丝样,重度高血压
Retinal_Vessels,tortuous_vessels,血管迂曲,categorical,,,"Yes,No",,,N,血管扭曲,糖尿病/静脉阻塞
Retinal_Vessels,venous_beading,静脉串珠,categorical,,,"Yes,No",,,N,静脉串珠样,重度NPDR
Retinal_Vessels,irma,视网膜内微血管异常,categorical,,,"Yes,No",,,N,IRMA,重度NPDR
Retinal_Vessels,neovascularization,新生血管,categorical,,,"NVD_Disc,NVE_Elsewhere,None",,,N,新生血管,PDR

Diabetic_Retinopathy,dr_present,糖尿病视网膜病变,categorical,,,"Yes,No,NA",,,N,DR,糖尿病并发症
Diabetic_Retinopathy,dr_severity,DR严重程度,categorical,,,"No_DR,Mild_NPDR,Moderate_NPDR,Severe_NPDR,PDR,NA",,,N,DR分级,ETDRS分级
Diabetic_Retinopathy,microaneurysms,微动脉瘤,categorical,,,"Yes,No,NA",,,N,微动脉瘤,DR最早征象
Diabetic_Retinopathy,dot_blot_hemorrhages,点片状出血,categorical,,,"Yes,No,NA",,,N,点片状出血,NPDR
Diabetic_Retinopathy,cotton_wool_spots,棉絮斑,categorical,,,"Yes,No,NA",,,N,棉絮斑,神经纤维层梗死
Diabetic_Retinopathy,dme,糖尿病黄斑水肿,categorical,,,"CI_DME,Non_CI_DME,None,NA",,,N,DME,累及中心vs否
Diabetic_Retinopathy,vitreous_hemorrhage,玻璃体积血,categorical,,,"Yes,No,NA",,,N,玻璃体出血,PDR并发症
Diabetic_Retinopathy,tractional_rd,牵拉性视网膜脱离,categorical,,,"Yes,No,NA",,,N,牵拉性RD,PDR严重并发症

Retinal_Vein_Occlusion,rvo,视网膜静脉阻塞,categorical,,,"CRVO,Hemi_CRVO,BRVO,None",,,N,RVO类型,中央/分支
Retinal_Vein_Occlusion,rvo_ischemic,缺血型,categorical,,,"Ischemic,Non_Ischemic,Unknown,NA",,,N,缺血vs非缺血,预后不同
Retinal_Vein_Occlusion,rvo_me,RVO黄斑水肿,categorical,,,"Yes,No,NA",,,N,RVO相关ME,常见并发症

AMD,amd_present,年龄相关黄斑变性,categorical,,,"Yes,No",,,N,AMD,老年致盲
AMD,amd_type,AMD类型,categorical,,,"Dry_Early,Dry_Intermediate,Dry_Advanced_GA,Wet_Neovascular,NA",,,N,干性vs湿性,治疗不同
