fieldKey,fieldName,fieldType,fieldDescription,exampleValue
examDate,检查日期,String,病理检查日期,2025-03-20
specimenType,标本类型,String,"标本类型。<br>**建议值**: `内镜活检`, `手术切除标本(根治术)`, `姑息性切除标本`, `ESD/EMR切除标本`, `细针穿刺(FNA)`<br>**临床意义**: 标本类型影响诊断完整性和分期准确性",手术切除标本(根治术)
specimenSite,标本部位,String,"胃肿瘤部位。<br>**建议值**: `贲门(胃食管交界GEJ)`, `胃底`, `胃体`, `胃窦`, `幽门`, `全胃`, `胃残端(术后残胃癌)`<br>**Siewert分型**(GEJ腺癌): I型(食管下段)、II型(贲门)、III型(胃上部)<br>**临床意义**: 贲门癌HER2阳性率高,预后较差",胃窦
tumorLocation.detail,肿瘤位置.详细,String,"肿瘤详细位置(前后壁、大小弯)。<br>**建议值**: `胃小弯`, `胃大弯`, `前壁`, `后壁`, `两壁均累及`, `环周生长`<br>**临床意义**: 小弯侧淋巴结转移率高",胃小弯后壁
clinicalIndication,临床指征,String,"病理检查适应症。<br>**建议值**: `内镜发现占位`, `肿瘤标志物升高`, `上腹痛/消瘦`, `梗阻症状`, `出血/黑便`, `术后复发评估`",内镜发现占位
clinicalPresentation.symptoms,临床表现.症状,String,"主要临床症状。<br>**建议值**: `无症状(体检发现)`, `上腹痛/不适`, `消瘦乏力`, `恶心呕吐`, `吞咽困难(贲门癌)`, `幽门梗阻`, `上消化道出血`, `腹水`<br>**临床意义**: 早期胃癌多无症状,有症状多为进展期",上腹痛/不适,消瘦10kg
clinicalPresentation.dysphagia,临床表现.吞咽困难,String,"吞咽困难程度(贲门癌)。<br>**建议值**: `无`, `固体食物困难`, `半流质困难`, `流质困难`, `完全梗阻`<br>**临床意义**: 贲门癌出现吞咽困难通常为中晚期",无
clinicalPresentation.weightLoss,临床表现.体重下降,String,"近期体重下降。<br>**建议值**: `无`, `<5%`, `5-10%`, `>10%`, `恶病质`<br>**临床意义**: 显著体重下降提示进展期或转移",5-10%
clinicalPresentation.performanceStatus,临床表现.体力状态,String,"ECOG体力状态评分。<br>**建议值**: `0分`, `1分`, `2分`, `3分`, `4分`<br>**临床意义**: PS 0-1可耐受手术,PS 3-4仅适合姑息治疗",1分
tumorMarkers.cea,肿瘤标志物.CEA,Number,"癌胚抗原。<br>单位: ng/mL<br>**参考值**: <5<br>**阳性率**: 胃癌30-50%<br>**临床意义**: CEA>20提示可能转移,监测复发",12.8
