Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患儿追踪
Basic_Info,date_of_birth,出生日期,date,,,,,Y,出生日期,年龄计算
Basic_Info,chronological_age,实际年龄,decimal,months,0-216,,,Y,月龄/岁,生长发育评估
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,生长曲线
Basic_Info,gestational_age_at_birth,出生孕龄,decimal,weeks,20-45,,,Y,孕周,早产/足月
Birth_History,birth_weight,出生体重,decimal,g,300-6000,8339-4,,Y,出生体重,低出生体重/巨大儿
Birth_History,birth_length,出生身长,decimal,cm,20-70,89269-5,,N,出生身长,生长基线
Birth_History,birth_head_circumference,出生头围,decimal,cm,20-50,9843-4,,N,出生头围,神经发育
Birth_History,apgar_1min,Apgar 1分钟,integer,,0-10,9272-6,,N,新生儿评分,出生状况
Birth_History,apgar_5min,Apgar 5分钟,integer,,0-10,9274-2,,N,新生儿评分,复苏效果
Anthropometrics,current_weight,当前体重,decimal,kg,2-150,29463-7,,Y,体重,生长监测
Anthropometrics,current_height,当前身高,decimal,cm,40-200,8302-2,,Y,身高/身长,生长监测
Anthropometrics,head_circumference,头围,decimal,cm,30-65,9843-4,,Y,头围,脑发育
Anthropometrics,bmi,体质指数,decimal,,10-40,39156-5,,Y,BMI,营养状况
Anthropometrics,weight_for_age_percentile,体重年龄百分位,integer,,0-100,77606-2,,Y,体重百分位,生长评估
Anthropometrics,height_for_age_percentile,身高年龄百分位,integer,,0-100,77607-0,,Y,身高百分位,生长评估
Anthropometrics,bmi_for_age_percentile,BMI年龄百分位,integer,,0-100,59576-9,,Y,BMI百分位,肥胖/消瘦
Growth_Assessment,growth_velocity,生长速度,categorical,,Normal,Slow,Rapid,,,Y,正常/缓慢/过快,生长曲线趋势
Growth_Assessment,failure_to_thrive,生长发育迟缓,boolean,,,,,Y,FTT,营养不良
Development,developmental_milestones,发育里程碑,categorical,,Age_Appropriate,Delayed,,,Y,年龄相当/延迟,发育评估
Development,gross_motor,大运动,categorical,,Age_Appropriate,Delayed,,,Y,翻身/坐/爬/站/走,运动发育
Development,fine_motor,精细运动,categorical,,Age_Appropriate,Delayed,,,Y,抓握/指捏,手眼协调
Development,language,语言发育,categorical,,Age_Appropriate,Delayed,,,Y,发音/词汇/句子,语言能力
Development,social_emotional,社交情感,categorical,,Age_Appropriate,Delayed,,,Y,微笑/分离焦虑/社交互动,情感发育
Immunization,vaccination_status,疫苗接种,categorical,,Up_to_Date,Delayed,Incomplete,,,Y,按时/延迟/不完整,免疫预防
Immunization,vaccine_record,疫苗记录,string,,,,,N,具体疫苗和日期,接种史
Nutrition,feeding_type,喂养方式,categorical,,Breastfeeding,Formula,Mixed,Solid_Foods,,,Y,母乳/配方奶/混合/固体食物,营养来源
Nutrition,breastfeeding_duration,母乳喂养时长,integer,months,0-36,,,N,母乳月数,WHO推荐6月
Nutrition,vitamin_supplementation,维生素补充,boolean,,,,,Y,维生素D/铁剂,营养补充
Vital_Signs,temperature,体温,decimal,°C,35-42,8310-5,,Y,体温,发热
Vital_Signs,heart_rate,心率,integer,bpm,60-220,8867-4,,Y,心率,年龄正常范围
Vital_Signs,respiratory_rate,呼吸频率,integer,次/min,12-60,9279-1,,Y,呼吸频率,年龄正常范围
Vital_Signs,blood_pressure_sys,收缩压,integer,mmHg,50-180,8480-6,,Y,收缩压,儿童高血压
Common_Symptoms,fever,发热,boolean,,,,,Y,发热,常见症状
Common_Symptoms,cough,咳嗽,boolean,,,,,Y,咳嗽,呼吸道
Common_Symptoms,vomiting,呕吐,boolean,,,,,Y,呕吐,消化道/颅高压
Common_Symptoms,diarrhea,腹泻,boolean,,,,,Y,腹泻,胃肠炎
Common_Symptoms,rash,皮疹,boolean,,,,,Y,皮疹,传染病/过敏
Common_Symptoms,irritability,烦躁,boolean,,,,,Y,烦躁不安,疼痛/不适
Physical_Exam,general_appearance,一般状态,categorical,,Well,Ill_Appearing,Toxic,,,Y,良好/病容/中毒貌,整体评估
Physical_Exam,hydration_status,水合状态,categorical,,Well_Hydrated,Mild_Dehydration,Moderate_Dehydration,Severe_Dehydration,,,Y,良好/轻中重度脱水,液体平衡
Physical_Exam,fontanelle,囟门,categorical,,Normal,Bulging,Sunken,Closed,,,N,正常/饱满/凹陷/闭合,颅内压/脱水
Labs,hemoglobin,血红蛋白,decimal,g/L,50-200,718-7,,Y,Hb,贫血
Labs,wbc,白细胞计数,decimal,×10⁹/L,0-50,6690-2,,Y,WBC,感染
Labs,glucose,血糖,decimal,mmol/L,1-30,2345-7,,Y,GLU,低血糖
Labs,electrolytes,电解质,boolean,,,,,Y,Na/K/Cl,电解质紊乱
Diagnosis,primary_diagnosis,主要诊断,string,,,,,Y,诊断,疾病分类
Treatment,antibiotics,抗生素,boolean,,,,,Y,抗感染,细菌感染
Treatment,antipyretics,退热药,boolean,,,,,Y,对乙酰氨基酚/布洛芬,发热
Treatment,oral_rehydration,口服补液,boolean,,,,,Y,ORS,脱水
Treatment,hospitalization,住院,boolean,,,,,Y,住院治疗,严重疾病
Parent_Education,parent_counseling,家长教育,boolean,,,,,Y,健康教育,预防/照护
Follow_Up,follow_up_needed,随访,boolean,,,,,Y,需随访,持续监测
Report,pediatrician,儿科医师,string,,,,,Y,医师姓名,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
