字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行肠道微生物群检查的日期,2025-08-15
clinicalIndication,检查适应症,String,"进行肠道微生物群检查的临床指征。<br>**建议值**: `代谢综合征`, `糖尿病`, `肠道菌群失调`, `肠易激综合征`, `炎症性肠病`, `肥胖症`",代谢综合征
sampleType,样本类型,String,"检测样本类型。<br>**建议值**: `粪便`, `十二指肠液`, `结肠液`",粪便
sampleCollection.method,样本采集.采集方法,String,"样本采集方法。<br>**建议值**: `家庭采集`, `医院采集`, `内镜采集`",家庭采集
sampleCollection.preservationMethod,样本采集.保存方法,String,"样本保存方法。<br>**建议值**: `冷冻(-80°C)`, `冷藏(4°C)`, `常温保存试剂`",冷冻(-80°C)
sampleCollection.transportTime,样本采集.运输时间,Number,"从采集到检测的时间。<br>单位: 小时",24
sampleQuality.dnaYield,样本质量.DNA产量,Number,"提取的DNA总量。<br>单位: ng/μL",125.6
sampleQuality.dnaIntegrity,样本质量.DNA完整性,String,"DNA完整性评估。<br>**建议值**: `优`, `良`, `可`, `差`",良
sequencingMethod,测序方法,String,"使用的测序方法。<br>**建议值**: `16S rRNA`, `宏基因组`, `宏转录组`",16S rRNA
sequencingPlatform,测序平台,String,"测序平台。<br>**建议值**: `Illumina`, `Ion Torrent`, `PacBio`, `Oxford Nanopore`",Illumina
sequencingDepth,测序深度,Number,"测序深度。<br>单位: reads",45000
alphaDiv versity.shannon,Alpha多样性.Shannon指数,Number,"Shannon多样性指数。<br>**参考范围**: 2.0-6.0",3.85
alphaDiversity.chao1,Alpha多样性.Chao1指数,Number,"Chao1丰富度指数。<br>**参考范围**: 100-1000",456
alphaDiversity.simpson,Alpha多样性.Simpson指数,Number,"Simpson多样性指数。<br>**参考范围**: 0.5-0.95",0.82
alphaDiversity.observedOtus,Alpha多样性.观察到的OTUs,Number,"观察到的OTU数量",358
alphaDiversity.faithPd,Alpha多样性.Faith系统发育多样性,Number,"Faith PD系统发育多样性",28.5
betaDiversity.unifrac.weighted,Beta多样性.UniFrac.加权,Number,"加权UniFrac距离",0.65
betaDiversity.unifrac.unweighted,Beta多样性.UniFrac.未加权,Number,"未加权UniFrac距离",0.48
betaDiversity.brayCurtis,Beta多样性.Bray-Curtis,Number,"Bray-Curtis相异性",0.72
taxonomicComposition.phylum.firmicutes,分类组成.门.厚壁菌门,Number,"厚壁菌门相对丰度。<br>单位: %<br>**参考范围**: 40-70%",58.5
taxonomicComposition.phylum.bacteroidetes,分类组成.门.拟杆菌门,Number,"拟杆菌门相对丰度。<br>单位: %<br>**参考范围**: 20-45%",32.8
taxonomicComposition.phylum.actinobacteria,分类组成.门.放线菌门,Number,"放线菌门相对丰度。<br>单位: %<br>**参考范围**: 1-10%",5.2
taxonomicComposition.phylum.proteobacteria,分类组成.门.变形菌门,Number,"变形菌门相对丰度。<br>单位: %<br>**参考范围**: 1-15%",2.8
taxonomicComposition.phylum.verrucomicrobia,分类组成.门.疣微菌门,Number,"疣微菌门相对丰度。<br>单位: %",0.6
taxonomicComposition.ratios.firmicutesBacteroidetes,分类组成.比值.厚壁菌门拟杆菌门比,Number,"F/B比值。<br>**参考范围**: 0.5-3.0",1.78
taxonomicComposition.family.lactobacillaceae,分类组成.科.乳杆菌科,Number,"乳杆菌科相对丰度。<br>单位: %",8.5
taxonomicComposition.family.bifidobacteriaceae,分类组成.科.双歧杆菌科,Number,"双歧杆菌科相对丰度。<br>单位: %",4.2
taxonomicComposition.family.enterobacteriaceae,分类组成.科.肠杆菌科,Number,"肠杆菌科相对丰度。<br>单位: %",1.8
taxonomicComposition.family.akkermansiaceae,分类组成.科.阿克曼菌科,Number,"阿克曼菌科相对丰度。<br>单位: %",0.5
taxonomicComposition.genus.lactobacillus,分类组成.属.乳杆菌属,Number,"乳杆菌属相对丰度。<br>单位: %",7.8
taxonomicComposition.genus.bifidobacterium,分类组成.属.双歧杆菌属,Number,"双歧杆菌属相对丰度。<br>单位: %",4.1
taxonomicComposition.genus.bacteroides,分类组成.属.拟杆菌属,Number,"拟杆菌属相对丰度。<br>单位: %",18.5
taxonomicComposition.genus.akkermansia,分类组成.属.阿克曼菌属,Number,"阿克曼菌属相对丰度。<br>单位: %",0.4
taxonomicComposition.genus.faecalibacterium,分类组成.属.粪杆菌属,Number,"粪杆菌属相对丰度。<br>单位: %",6.8
taxonomicComposition.genus.roseburia,分类组成.属.玫瑰杆菌属,Number,"玫瑰杆菌属相对丰度。<br>单位: %",3.2
taxonomicComposition.genus.clostridium,分类组成.属.梭菌属,Number,"梭菌属相对丰度。<br>单位: %",2.8
taxonomicComposition.genus.enterococcus,分类组成.属.肠球菌属,Number,"肠球菌属相对丰度。<br>单位: %",1.2
taxonomicComposition.genus.escherichia,分类组成.属.大肠杆菌属,Number,"大肠杆菌属相对丰度。<br>单位: %",1.5
taxonomicComposition.genus.streptococcus,分类组成.属.链球菌属,Number,"链球菌属相对丰度。<br>单位: %",0.8
taxonomicComposition.species.lactobacillusRhamnosus,分类组成.种.鼠李糖乳杆菌,Number,"鼠李糖乳杆菌相对丰度。<br>单位: %",2.5
taxonomicComposition.species.bifidobacteriumLongum,分类组成.种.长双歧杆菌,Number,"长双歧杆菌相对丰度。<br>单位: %",1.8
taxonomicComposition.species.akkermansiaMuciniphila,分类组成.种.嗜黏蛋白阿克曼菌,Number,"嗜黏蛋白阿克曼菌相对丰度。<br>单位: %",0.3
taxonomicComposition.species.faecalibacteriumPrausnitzii,分类组成.种.普拉梭菌,Number,"普拉梭菌相对丰度。<br>单位: %",5.2
functionalPrediction.kegg.carbohydrateMetabolism,功能预测.KEGG.碳水化合物代谢,Number,"碳水化合物代谢相关基因相对丰度。<br>单位: %",18.5
functionalPrediction.kegg.aminoAcidMetabolism,功能预测.KEGG.氨基酸代谢,Number,"氨基酸代谢相关基因相对丰度。<br>单位: %",12.8
functionalPrediction.kegg.lipidMetabolism,功能预测.KEGG.脂质代谢,Number,"脂质代谢相关基因相对丰度。<br>单位: %",8.5
functionalPrediction.kegg.vitaminMetabolism,功能预测.KEGG.维生素代谢,Number,"维生素代谢相关基因相对丰度。<br>单位: %",5.2
functionalPrediction.kegg.scfProduction,功能预测.KEGG.短链脂肪酸产生,Number,"短链脂肪酸产生相关基因相对丰度。<br>单位: %",6.8
functionalPrediction.cog.metabolism,功能预测.COG.代谢功能,Number,"代谢功能相关基因相对丰度。<br>单位: %",45.6
functionalPrediction.cog.informationStorage,功能预测.COG.信息存储处理,Number,"信息存储处理相关基因相对丰度。<br>单位: %",15.2
functionalPrediction.cog.cellularProcesses,功能预测.COG.细胞过程,Number,"细胞过程相关基因相对丰度。<br>单位: %",12.8
metaboliteProduction.scfa.acetate,代谢产物.短链脂肪酸.乙酸,Number,"乙酸浓度。<br>单位: mmol/kg<br>**参考范围**: 20-80",55.8
