Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,诊疗日期,病程记录
Basic_Info,age,年龄,integer,years,5-100,,,Y,患者年龄,发病年龄
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,偏头痛女性3倍

Headache_Type,headache_type,头痛类型,categorical,,"Migraine,Tension_Type,Cluster,Medication_Overuse,Secondary,Other",,,Y,头痛分类,ICHD-3
Migraine_Type,migraine_with_aura,先兆偏头痛,boolean,,,,,N,有先兆,视觉先兆
Migraine_Type,migraine_without_aura,无先兆偏头痛,boolean,,,,,N,无先兆,普通型
Migraine_Type,chronic_migraine,慢性偏头痛,boolean,,,,,N,≥15天/月≥3月,慢性化
Migraine_Type,menstrual_migraine,月经性偏头痛,boolean,,,,,N,月经相关,激素波动
Pain_Characteristics,pain_location,疼痛部位,categorical,,"Unilateral,Bilateral,Frontal,Temporal,Occipital,Vertex",,,Y,头痛位置,偏侧/双侧
Pain_Characteristics,pain_quality,疼痛性质,categorical,,"Pulsating,Pressing,Stabbing,Burning",,,Y,疼痛特征,搏动性
Pain_Characteristics,pain_intensity,疼痛强度,integer,,0-10,,,Y,VAS评分,中重度
Pain_Characteristics,pain_duration,发作持续时间,categorical,,"Minutes,<4h,4_72h,>72h",,,Y,持续时间,偏头痛4-72h
Frequency,attack_frequency,发作频率,categorical,,"<1/month,1_3/month,4_14/month,≥15/month",,,Y,每月天数,慢性vs发作性
Associated_Symptoms,nausea,恶心,boolean,,,,,N,恶心,偏头痛常见
Associated_Symptoms,vomiting,呕吐,boolean,,,,,N,呕吐,严重发作
Associated_Symptoms,photophobia,畏光,boolean,,,,,N,怕光,感觉过敏
Associated_Symptoms,phonophobia,畏声,boolean,,,,,N,怕声音,感觉过敏
Associated_Symptoms,osmophobia,畏嗅,boolean,,,,,N,气味敏感,偏头痛特征
Aura,aura_present,先兆症状,boolean,,,,,N,先兆,<60分钟
Aura,visual_aura,视觉先兆,boolean,,,,,N,闪光/暗点/视野缺损,最常见
Aura,sensory_aura,感觉先兆,boolean,,,,,N,麻木刺痛,针刺感
Aura,speech_aura,言语先兆,boolean,,,,,N,言语障碍,失语
