Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,test_date,检测日期,date,,,,,Y,Hp检测日期,诊断时间点
Basic_Info,age,年龄,integer,years,0-120,,,N,患者年龄,流行病学
Basic_Info,gender,性别,categorical,,,"Male,Female",,,N,患者性别,感染差异

Testing_Indication,test_indication,检测指征,categorical,,,"Dyspepsia,Gastritis,PUD,MALT_Lymphoma,Gastric_Cancer_Family_History,Post_Eradication,Screening,Unexplained_IDA,Other",,,Y,检测适应证,临床目的
Testing_Indication,symptoms,症状,categorical,,,"Epigastric_Pain,Bloating,Nausea,Early_Satiety,Heartburn,Asymptomatic,Multiple",,,N,临床表现,症状相关

Non_Invasive_Tests,ubt_performed,尿素呼气试验,categorical,,,"Yes,No",,,N,是否做UBT,非侵入性金标准
UBT,ubt_type,UBT类型,categorical,,,"C13,C14,NA",,,N,呼气试验同位素,C13首选
UBT,ubt_result,UBT结果,categorical,,,"Positive,Negative,Indeterminate,NA",,,N,UBT定性,阳性感染
UBT,ubt_value,UBT数值,decimal,DOB,0-100,,,N,δ超基线值,定量结果
UBT,ubt_cutoff,UBT阈值,decimal,DOB,0-10,,,N,阳性判断值,通常4.0
UBT,ppi_stopped,PPI停用,categorical,,,"Yes,No,Unknown,NA",,,N,PPI停用≥2周,假阴性避免
UBT,antibiotics_stopped,抗生素停用,categorical,,,"Yes,No,Unknown,NA",,,N,抗生素停用≥4周,假阴性避免

Stool_Antigen,sat_performed,粪便抗原检测,categorical,,,"Yes,No",,,N,是否做SAT,非侵入性
Stool_Antigen,sat_type,SAT方法,categorical,,,"Monoclonal,Polyclonal,NA",,,N,抗原检测类型,单克隆更准确
Stool_Antigen,sat_result,SAT结果,categorical,,,"Positive,Negative,Indeterminate,NA",,,N,粪抗原定性,活动感染
Stool_Antigen,sat_value,SAT数值,decimal,,0-10,,,N,定量值,阳性程度

