Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,diagnosis_date,诊断日期,date,,,,,Y,诊断时间,疾病起点
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,流行病学
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,发病率差异
Clinical_Presentation,fatigue,乏力,boolean,,,,,Y,疲劳,贫血症状
Clinical_Presentation,pallor,面色苍白,boolean,,,,,Y,苍白,贫血体征
Clinical_Presentation,dyspnea,呼吸困难,boolean,,,,,Y,气促,组织缺氧
CBC,hemoglobin,血红蛋白,decimal,g/L,20-250,718-7,,Y,Hb,贫血诊断
CBC,hematocrit,红细胞压积,decimal,%,0-100,4544-3,,Y,HCT,贫血严重度
CBC,mcv,平均红细胞体积,decimal,fL,50-120,787-2,,Y,MCV,贫血分类
CBC,mch,平均血红蛋白量,decimal,pg,15-50,785-6,,Y,MCH,血红蛋白含量
CBC,mchc,平均血红蛋白浓度,decimal,g/L,200-400,786-4,,Y,MCHC,血红蛋白浓度
CBC,rdw,红细胞分布宽度,decimal,%,10-25,788-0,,Y,RDW,红细胞大小变异
CBC,wbc,白细胞计数,decimal,×10⁹/L,0-100,6690-2,,Y,WBC,感染/血液病
CBC,platelet,血小板,decimal,×10⁹/L,0-1000,777-3,,Y,PLT,出凝血
CBC,reticulocyte_count,网织红细胞计数,decimal,%,0-10,4679-7,,Y,Retic,骨髓造血功能
Iron_Studies,serum_iron,血清铁,decimal,μmol/L,0-100,2498-4,,Y,SI,铁储备
Iron_Studies,tibc,总铁结合力,decimal,μmol/L,0-150,2500-7,,Y,TIBC,转铁蛋白
Iron_Studies,transferrin_saturation,转铁蛋白饱和度,decimal,%,0-100,2502-3,,Y,TSAT,铁利用
Iron_Studies,ferritin,铁蛋白,decimal,μg/L,0-2000,2276-4,,Y,Ferritin,铁储存
Bone_Marrow,bone_marrow_biopsy,骨髓活检,boolean,,,,,Y,骨髓穿刺,诊断金标准
Bone_Marrow,cellularity,骨髓细胞度,categorical,,Hypocellular,Normocellular,Hypercellular,,,N,低/正常/高细胞,增生程度
Bone_Marrow,blast_percentage,原始细胞百分比,decimal,%,0-100,,,N,Blast%,白血病诊断
Treatment,transfusion,输血,boolean,,,,,Y,红细胞输注,严重贫血
Treatment,iron_supplementation,补铁,boolean,,,,,Y,口服/静脉铁剂,缺铁性贫血
Treatment,chemotherapy,化疗,boolean,,,,,N,化学治疗,血液系统恶性肿瘤
Treatment,immunosuppression,免疫抑制,boolean,,,,,N,ATG/环孢素,再生障碍性贫血
Outcome,response_to_treatment,治疗反应,categorical,,Complete_Response,Partial_Response,No_Response,,,Y,完全缓解/部分缓解/无反应,疗效
Outcome,hemoglobin_improvement,血红蛋白改善,boolean,,,,,Y,Hb升高,贫血纠正
Report,hematologist,血液科医师,string,,,,,Y,医师姓名,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
