字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行乙肝五项检测的日期,2025-08-15
testingMethod,检测方法,String,"检测方法。<br>**建议值**: `化学发光免疫分析(CLIA)`, `酶联免疫吸附(ELISA)`, `电化学发光(ECLIA)`",化学发光免疫分析(CLIA)
clinicalIndication,检测指征,String,"检测指征。<br>**建议值**: `常规体检`, `术前检查`, `孕前检查`, `疑似肝炎`, `HBV暴露后`, `疫苗接种后评估`, `慢性HBV监测`",常规体检
riskFactors,危险因素,String,"HBV感染危险因素。<br>**建议值**: `无`, `医务人员`, `HBV感染者家属`, `血液透析`, `多性伴侣`, `静脉药物滥用`, `其他`",HBV感染者家属

# 乙肝五项核心指标
hbsag.result,HBsAg.定性结果,String,"乙肝表面抗原定性结果。<br>**建议值**: `阴性(-)`, `阳性(+)`, `弱阳性(±)`<br>**临床意义**: HBV感染最重要标志，阳性表示HBV感染",阴性(-)
hbsag.value,HBsAg.定量值,Number,"HBsAg定量值(如检测)。<br>单位: IU/mL 或 COI<br>**参考范围**: <1.0 IU/mL (阴性)<br>**临床意义**: 定量监测可评估抗病毒疗效",0.35
hbsag.cutoffValue,HBsAg.临界值,Number,"HBsAg阳性判断临界值。<br>单位: IU/mL 或 COI",1.0
hbsag.interpretation,HBsAg.解读,String,"HBsAg结果解读。<br>**建议值**: `未感染HBV`, `急性HBV感染`, `慢性HBV感染`, `需进一步确认`",未感染HBV

hbsab.result,抗-HBs.定性结果,String,"乙肝表面抗体定性结果。<br>**建议值**: `阴性(-)`, `阳性(+)`, `弱阳性(±)`<br>**临床意义**: 保护性抗体，阳性表示有免疫力",阳性(+)
hbsab.value,抗-HBs.定量值,Number,"抗-HBs定量值。<br>单位: mIU/mL<br>**保护性抗体**: ≥10 mIU/mL<br>**强保护力**: ≥100 mIU/mL",156.8
hbsab.cutoffValue,抗-HBs.临界值,Number,"抗-HBs阳性判断临界值。<br>单位: mIU/mL",10.0
hbsab.protectionLevel,抗-HBs.保护水平,String,"保护水平评估。<br>**建议值**: `无保护(<10)`, `低保护(10-99)`, `中等保护(100-999)`, `强保护(≥1000)`",中等保护(100-999)
hbsab.interpretation,抗-HBs.解读,String,"抗-HBs结果解读。<br>**建议值**: `已获得免疫力`, `疫苗接种成功`, `HBV感染恢复`, `保护力不足`",已获得免疫力

hbeag.result,HBeAg.定性结果,String,"乙肝e抗原定性结果。<br>**建议值**: `阴性(-)`, `阳性(+)`, `弱阳性(±)`<br>**临床意义**: 病毒复制和传染性标志，阳性表示HBV活跃复制",阴性(-)
hbeag.value,HBeAg.定量值,Number,"HBeAg定量值(如检测)。<br>单位: S/CO (信号比) 或 PEIU/mL<br>**参考范围**: <1.0 (阴性)",0.25
hbeag.cutoffValue,HBeAg.临界值,Number,"HBeAg阳性判断临界值",1.0
hbeag.interpretation,HBeAg.解读,String,"HBeAg结果解读。<br>**建议值**: `病毒低复制`, `病毒高复制`, `e抗原血清学转换`",病毒低复制

hbeab.result,抗-HBe.定性结果,String,"乙肝e抗体定性结果。<br>**建议值**: `阴性(-)`, `阳性(+)`, `弱阳性(±)`<br>**临床意义**: 病毒复制减弱标志，阳性通常表示病毒复制下降",阴性(-)
hbeab.value,抗-HBe.定量值,Number,"抗-HBe定量值(如检测)。<br>单位: S/CO 或 PEIU/mL",0.68
hbeab.cutoffValue,抗-HBe.临界值,Number,"抗-HBe阳性判断临界值",1.0
hbeab.interpretation,抗-HBe.解读,String,"抗-HBe结果解读。<br>**建议值**: `未发生e抗原血清转换`, `e抗原血清转换`, `病毒低复制状态`",未发生e抗原血清转换

hbcab.result,抗-HBc.定性结果,String,"乙肝核心抗体定性结果。<br>**建议值**: `阴性(-)`, `阳性(+)`, `弱阳性(±)`<br>**临床意义**: 既往或现症感染标志，几乎终身阳性",阴性(-)
hbcab.value,抗-HBc.定量值,Number,"抗-HBc定量值(如检测)。<br>单位: S/CO",0.42
hbcab.cutoffValue,抗-HBc.临界值,Number,"抗-HBc阳性判断临界值",1.0
hbcab.interpretation,抗-HBc.解读,String,"抗-HBc结果解读。<br>**建议值**: `从未感染HBV`, `既往感染`, `现症感染`, `隐匿性HBV感染可能`",从未感染HBV

# 乙肝五项组合模式解读 (基于9种常见模式)
