字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
screeningDate,筛查日期,Date,丙肝筛查日期,2025-01-15
screeningReason,筛查原因,String,"**建议值**: `常规体检筛查`, `肝功能异常`, `高危人群筛查`, `输血前筛查`, `术前筛查`, `既往感染者随访`, `配偶/性伴阳性`, `职业暴露`, `妊娠筛查`",常规体检筛查

riskFactors.ivdu,危险因素.静脉注射毒品史,String,"**建议值**: `从未`, `既往史`, `当前使用`<br>**最高危因素**",从未
riskFactors.transfusion,危险因素.1992年前输血或血制品,String,"**建议值**: `无`, `有(1992年前)`, `有(1992年后,风险低)`<br>**1992年前**: 供血筛查HCV前",无
riskFactors.hemodialysis,危险因素.血液透析,String,"**建议值**: `从未`, `既往`, `当前透析`",从未
riskFactors.hiv,危险因素.HIV感染,String,"**建议值**: `阴性`, `阳性(HCV合并感染常见)`",阴性
riskFactors.healthcare,危险因素.医源性暴露,String,"**示例**: `针刺伤`, `医疗器械污染(内镜/牙科)`, `不规范注射`, `纹身/穿刺(非正规机构)`, `无暴露史`",无暴露史
riskFactors.sexualRisk,危险因素.性传播风险,String,"**建议值**: `无`, `多性伴`, `HCV阳性配偶/性伴`, `男男性行为`",无
riskFactors.motherToChild,危险因素.母婴传播史,String,"**建议值**: `母亲HCV阴性`, `母亲HCV阳性`, `不详`",不详
riskFactors.occupational,危险因素.职业暴露,String,"医务人员针刺伤等。<br>**建议值**: `无`, `有职业暴露史`, `高危职业(医务/急救)`",无

riskFactors.liverDisease,危险因素.不明原因肝病,String,"**建议值**: `无`, `ALT升高`, `肝硬化`, `肝癌`",ALT升高
riskFactors.birthCohort,危险因素.1945-1965年出生,String,"**建议值**: `是`, `否`<br>**美国CDC推荐**: 该出生队列一次性筛查(HCV流行高峰)",否
riskFactors.incarceration,危险因素.监禁史,String,"**建议值**: `无`, `有(高危环境)`",无

antiHCV.date,抗-HCV.检测日期,Date,抗-HCV抗体检测日期,2025-01-15
antiHCV.method,抗-HCV.检测方法,String,"**建议值**: `化学发光免疫分析(CLIA)`, `ELISA`, `快速检测`, `不详`",化学发光免疫分析
antiHCV.result,抗-HCV.结果,String,"**建议值**: `阴性(-)`, `阳性(+)`, `不确定(灰区)`<br>**阳性**: 曾经或现在感染HCV",阴性
antiHCV.signalCutoff,抗-HCV.S/CO比值,Number,"信号/临界值比值(Signal-to-Cutoff ratio)。<br>**≥1.0**: 阳性<br>**高S/CO(>10)**: 真阳性可能大",

hcvRna.date,HCV RNA.检测日期,Date,HCV RNA病毒载量检测日期,2025-01-16
hcvRna.method,HCV RNA.检测方法,String,"**建议值**: `实时荧光定量PCR(RT-qPCR)`, `TMA(转录介导扩增)`, `未做`",实时荧光定量PCR
hcvRna.result,HCV RNA.定性结果,String,"**建议值**: `未检出(阴性)`, `检出(阳性)`, `未做`<br>**检出**: 现症感染,需治疗<br>**抗-HCV(+)+HCV RNA(-)**: 既往感染已清除或自愈",检出
hcvRna.quantitative,HCV RNA.定量结果,Number,"HCV RNA病毒载量。<br>单位: IU/mL<br>**检出下限**: 通常15 IU/mL<br>**高病毒载量**: >800,000 IU/mL",1.5×10⁶
hcvRna.log10,HCV RNA.log10 IU/mL,Number,"病毒载量对数值。<br>**示例**: 1,000,000 IU/mL = 6.0 log IU/mL",6.18

hcvGenotype.tested,HCV基因型.是否检测,String,"**建议值**: `已检测`, `未检测`, `计划检测`<br>**用途**: 指导DAA治疗方案选择(部分新方案泛基因型,可不测)",已检测
hcvGenotype.result,HCV基因型.结果,String,"**HCV基因型**(1-6型):<br>**中国常见**: 1b(56.8%),2a(24.1%),3a/3b(9.1%),6a(6.3%)<br>**示例**: `1b型`, `2a型`, `3a型`, `1a型`, `混合型`, `未分型`",1b型
hcvGenotype.subtype,HCV基因型.亚型,String,"**示例**: `1a`, `1b`, `2a`, `2b`, `3a`, `未详细分型`",1b

liverFunction.alt,肝功能.ALT,Number,"丙氨酸转氨酶。<br>单位: U/L<br>**正常**: <40(男)/<35(女)<br>**升高**: 肝细胞损伤",85
liverFunction.ast,肝功能.AST,Number,"天冬氨酸转氨酶。<br>单位: U/L<br>**正常**: <40",65
liverFunction.astAltRatio,肝功能.AST/ALT比值,Number,"**<1**: 慢性肝炎<br>**>1**: 肝硬化/酒精性肝病可能",0.76
liverFunction.alp,肝功能.ALP,Number,"碱性磷酸酶。<br>单位: U/L<br>**正常**: 40-150",95
liverFunction.ggt,肝功能.GGT,Number,"γ-谷氨酰转肽酶。<br>单位: U/L<br>**正常**: <50(男)/<32(女)<br>**升高**: 胆汁淤积/酒精性肝病",120
liverFunction.tbil,肝功能.总胆红素,Number,"总胆红素。<br>单位: μmol/L<br>**正常**: 5-21<br>**升高**: 黄疸/肝衰竭",18
liverFunction.dbil,肝功能.直接胆红素,Number,"直接胆红素。<br>单位: μmol/L<br>**正常**: <7",6
liverFunction.albumin,肝功能.白蛋白,Number,"血清白蛋白。<br>单位: g/L<br>**正常**: 35-50<br>**<35**: 肝合成功能下降",40
liverFunction.globulin,肝功能.球蛋白,Number,"血清球蛋白。<br>单位: g/L<br>**升高**: 慢性炎症",32
liverFunction.ag,肝功能.A/G比值,Number,"白蛋白/球蛋白比值。<br>**正常**: 1.5-2.5<br>**<1.0**: 肝硬化可能",1.25

liverFunction.pt,肝功能.凝血酶原时间,Number,"PT。<br>单位: 秒<br>**正常**: 11-15<br>**延长**: 肝合成功能障碍",13.5
liverFunction.inr,肝功能.INR,Number,"国际标准化比值。<br>**正常**: 0.8-1.2<br>**>1.5**: 肝衰竭风险",1.1

cbc.platelet,血常规.血小板,Number,"血小板计数。<br>单位: ×10⁹/L<br>**正常**: 100-300<br>**<100**: 血小板减少,肝硬化/脾功能亢进",150
cbc.wbc,血常规.白细胞,Number,"白细胞计数。<br>单位: ×10⁹/L<br>**<4**: 脾功能亢进",6.5

fibrosis.apri,肝纤维化评估.APRI指数,Number,"AST-to-Platelet Ratio Index = (AST/ULN)×100/血小板(10⁹/L)。<br>**<0.5**: 无显著纤维化可能大<br>**>1.5**: 肝硬化可能大<br>**0.5-1.5**: 中间灰区",0.43
fibrosis.fib4,肝纤维化评估.FIB-4指数,Number,"FIB-4 = 年龄×AST/(血小板×√ALT)。<br>**<1.45**: 无显著纤维化可能大<br>**>3.25**: 进展期纤维化/肝硬化可能大<br>**1.45-3.25**: 中间灰区",1.85

fibrosis.fibroscan.date,肝纤维化评估.FibroScan.检测日期,Date,肝脏瞬时弹性成像检查日期,2025-01-18
fibrosis.fibroscan.lsm,肝纤维化评估.FibroScan.肝硬度值,Number,"肝硬度测定值(LSM)。<br>单位: kPa<br>**<7.0**: F0-F1(无/轻度纤维化)<br>**7.0-9.5**: F2(中度纤维化)<br>**9.5-12.5**: F3(进展期纤维化)<br>**>12.5**: F4(肝硬化)",8.5
fibrosis.fibroscan.cap,肝纤维化评估.FibroScan.脂肪衰减参数,Number,"CAP(受控衰减参数,评估脂肪变)。<br>单位: dB/m<br>**<238**: S0(无脂肪变)<br>**238-260**: S1(轻度)<br>**260-290**: S2(中度)<br>**>290**: S3(重度)",250

fibrosis.metavir,肝纤维化评估.METAVIR分期,String,"**肝纤维化分期**(如有肝活检):<br>**F0**: 无纤维化<br>**F1**: 汇管区纤维化<br>**F2**: 汇管区周围纤维化<br>**F3**: 纤维间隔形成(桥接纤维化)<br>**F4**: 肝硬化<br>**建议值**: `F0`, `F1`, `F2`, `F3`, `F4`, `未活检`",未活检
