Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,visit_date,就诊日期,date,,,,,Y,评估日期,病程记录
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,各年龄段
Basic_Info,gender,性别,categorical,,Male,Female,,,Y,性别,人群特征

HIV_Status,hiv_positive,HIV阳性,boolean,,,,,Y,HIV感染,确诊
HIV_Status,diagnosis_date,诊断日期,date,,,,,Y,HIV确诊时间,病程起点
HIV_Status,time_since_diagnosis,诊断后时间,integer,years,0-50,,,Y,感染年数,疾病进程
HIV_Status,newly_diagnosed,新诊断,boolean,,,,,Y,新确诊<1年,链接治疗
HIV_Status,aids_diagnosis,AIDS诊断,boolean,,,,,Y,CD4<200或机会性感染,C3期

Transmission_Risk,transmission_category,传播途径,categorical,,MSM,Heterosexual,PWID,Mother_to_Child,Blood_Products,Unknown,,,Y,男男性行为/异性性传播/注射吸毒/母婴/血制品/不明,流行病学
Transmission_Risk,estimated_year_of_infection,估计感染年份,integer,year,1980-2030,,,N,感染时间,病程估计

Clinical_Stage,who_clinical_stage,WHO临床分期,categorical,,Stage_1,Stage_2,Stage_3,Stage_4,,,Y,1期无症状/2期轻度/3期进展期/4期严重AIDS,疾病严重度
Clinical_Stage,cdc_classification,CDC分类,categorical,,A1,A2,A3,B1,B2,B3,C1,C2,C3,,,Y,A无症状/B有症状/C AIDS,CD4+临床分类

Presentation,asymptomatic,无症状,boolean,,,,,Y,无临床表现,早期HIV
Presentation,acute_retroviral_syndrome,急性HIV综合征,boolean,,,,,N,发热+皮疹+淋巴结肿大,原发感染2-4周
Presentation,persistent_generalized_lymphadenopathy,持续性全身淋巴结肿大,boolean,,,,,N,PGL,>1cm/>3月/>2个部位
Presentation,constitutional_symptoms,全身症状,boolean,,,,,Y,发热/盗汗/体重下降/腹泻,进展期
Presentation,oral_candidiasis,口腔念珠菌病,boolean,,,,,Y,鹅口疮,免疫抑制标志
Presentation,hairy_leukoplakia,毛状白斑,boolean,,,,,N,舌侧缘,EBV相关
Presentation,herpes_zoster,带状疱疹,boolean,,,,,N,VZV再激活,免疫功能下降
Presentation,seborrheic_dermatitis,脂溢性皮炎,boolean,,,,,N,面部皮疹,常见皮肤病
Presentation,kaposi_sarcoma,卡波西肉瘤,boolean,,,,,N,KS,HHV-8相关肿瘤

CD4_Count,cd4_count,CD4计数,decimal,cells/μL,0-2000,24467-3,,Y,CD4+ T细胞,免疫状态
CD4_Count,cd4_percent,CD4百分比,decimal,%,0-100,32518-6,,Y,CD4%,相对免疫功能
CD4_Count,cd4_category,CD4分类,categorical,,>500,350_500,200_349,50_199,<50,,,Y,>500正常/350-500轻度/200-349中度/50-199重度/<50极重度,免疫抑制程度
CD4_Count,cd4_nadir,CD4最低值,decimal,cells/μL,0-2000,,,N,历史最低CD4,免疫重建评估

Viral_Load,hiv_rna,HIV病毒载量,decimal,copies/mL,0-10000000,25836-8,,Y,HIV-1 RNA,病毒复制
