Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一标识,患者追踪
Basic_Info,recording_date,记录日期,date,,,,,Y,Holter开始日期,监测时间
Basic_Info,age,年龄,integer,years,0-120,,,Y,患者年龄,心律失常风险
Basic_Info,gender,性别,categorical,,"Male,Female",,,Y,性别,人群特征

Recording,duration,记录时长,integer,hours,12-168,,,Y,监测小时数,24h/48h/7天
Recording,indication,检查适应证,categorical,,"Palpitations,Syncope,Presyncope,Chest_Pain,Stroke_Workup,Post_Ablation,ICD_Check",,,Y,检查原因,临床指征
Recording,recording_quality,记录质量,categorical,,"Excellent,Good,Fair,Poor",,,N,信号质量,可分析性
Recording,analyzable_time,可分析时间,decimal,hours,0-168,,,N,有效时间,排除伪差

Heart_Rate,min_hr,最低心率,integer,bpm,20-200,,,Y,最慢心率,窦缓/传导阻滞
Heart_Rate,max_hr,最高心率,integer,bpm,40-300,,,Y,最快心率,窦速/室上速
Heart_Rate,average_hr,平均心率,integer,bpm,30-150,,,Y,平均心率,整体水平
Heart_Rate,circadian_variation,昼夜变异,categorical,,"Normal,Reduced,Absent",,,N,HR昼夜差,自主神经功能

Rhythm_Analysis,predominant_rhythm,主导心律,categorical,,"Sinus,Atrial_Fibrillation,Atrial_Flutter,Junctional,Paced",,,Y,主要节律,基础心律
Rhythm_Analysis,sinus_rhythm_percentage,窦性心律百分比,decimal,%,0-100,,,N,窦律占比,节律稳定性

Pause,pauses,停搏,boolean,,,,,Y,心脏停搏,>3秒
Pause,longest_pause,最长停搏,decimal,seconds,0-30,,,N,最长RR间期,>3秒病理性
Pause,pause_count,停搏次数,integer,,0-1000,,,N,停搏发作数,频率

Supraventricular,svt,室上性心动过速,boolean,,,,,Y,SVT,>100bpm
Supraventricular,svt_type,SVT类型,categorical,,"NA,Sinus_Tachycardia,AVNRT,AVRT,Atrial_Tachycardia,Atrial_Flutter",,,N,SVT分类,机制
Supraventricular,svt_episodes,SVT发作次数,integer,,0-1000,,,N,SVT次数,阵发性
Supraventricular,svt_max_rate,SVT最快心率,integer,bpm,100-300,,,N,SVT最快,血流动力学
Supraventricular,svt_longest_duration,SVT最长持续时间,integer,seconds,0-86400,,,N,SVT持续秒数,持续性

Atrial_Fibrillation,af_burden,房颤负荷,decimal,%,0-100,,,N,AF占比,抗凝指征
Atrial_Fibrillation,af_type,房颤类型,categorical,,"None,Paroxysmal,Persistent",,,N,阵发/持续,分类
Atrial_Fibrillation,af_episodes,房颤发作次数,integer,,0-1000,,,N,AF次数,频率
Atrial_Fibrillation,af_ventricular_response,房颤心室率,categorical,,"NA,Controlled_<100,Rapid_>100",,,N,心室率控制,药物调整

Atrial_Flutter,atrial_flutter,心房扑动,boolean,,,,,N,房扑,规律房波
Atrial_Flutter,flutter_rate,扑动频率,integer,bpm,150-350,,,N,房扑率,典型240-300

PACs,pacs,房性早搏,boolean,,,,,Y,PAC,良性
PACs,pac_count,PAC总数,integer,,0-100000,,,N,PAC个数,24h总数
PACs,pac_burden,PAC负荷,decimal,%,0-100,,,N,PAC占比,频发>1%
PACs,pac_couplets,PAC成对,integer,,0-10000,,,N,PAC二联律,连续2个
PACs,pac_runs,PAC连发,integer,,0-1000,,,N,PAC≥3连发,短阵房速

Ventricular,pvcs,室性早搏,boolean,,,,,Y,PVC,室性异位
Ventricular,pvc_count,PVC总数,integer,,0-100000,,,Y,PVC个数,24h总数
Ventricular,pvc_burden,PVC负荷,decimal,%,0-100,,,Y,PVC占比,频发>10%
Ventricular,pvc_morphology,PVC形态,categorical,,"NA,Unifocal,Multifocal",,,N,单源/多源,起源部位
Ventricular,pvc_couplets,PVC成对,integer,,0-10000,,,N,PVC二联律,连续2个
Ventricular,pvc_bigeminy,二联律,boolean,,,,,N,室性二联律,交替出现
Ventricular,pvc_trigeminy,三联律,boolean,,,,,N,室性三联律,每3个1个PVC

Ventricular_Tachycardia,vt,室性心动过速,boolean,,,,,Y,VT,≥3个连续PVC
Ventricular_Tachycardia,vt_type,VT类型,categorical,,"NA,NSVT,Sustained_VT",,,Y,非持续/持续,>30秒持续
Ventricular_Tachycardia,vt_episodes,VT发作次数,integer,,0-1000,,,N,VT次数,频率
Ventricular_Tachycardia,vt_max_rate,VT最快心率,integer,bpm,100-300,,,N,VT最快,血流动力学
Ventricular_Tachycardia,vt_morphology,VT形态,categorical,,"NA,Monomorphic,Polymorphic",,,N,单形/多形,TdP
Ventricular_Tachycardia,torsades,尖端扭转,boolean,,,,,N,TdP,QT延长

AV_Block,av_block,房室传导阻滞,categorical,,"None,First_Degree,Second_Degree_I,Second_Degree_II,Third_Degree,Advanced",,,Y,AVB,传导障碍
AV_Block,pr_interval_max,最长PR间期,integer,ms,0-1000,,,N,PR最长,一度AVB>200ms
AV_Block,second_degree_type,二度AVB类型,categorical,,"NA,Mobitz_I_Wenckebach,Mobitz_II",,,N,I型/II型,预后不同

Bundle_Branch_Block,bbb,束支传导阻滞,categorical,,"None,RBBB,LBBB,IVCD,Intermittent",,,N,BBB,QRS宽大
Bundle_Branch_Block,qrs_duration,QRS时限,integer,ms,60-200,,,N,QRS宽度,>120ms宽QRS

ST_T_Changes,st_depression,ST段压低,boolean,,,,,Y,ST下移,心肌缺血
ST_T_Changes,st_elevation,ST段抬高,boolean,,,,,N,ST抬高,变异性心绞痛/MI
ST_T_Changes,st_depression_max,最大ST压低,decimal,mm,0-10,,,N,最大下移,>1mm显著
ST_T_Changes,ischemic_episodes,缺血发作次数,integer,,0-1000,,,N,ST缺血次数,无症状性缺血
ST_T_Changes,chest_pain_correlation,胸痛相关,boolean,,,,,N,症状与ST改变相关,心绞痛

QT_Interval,qtc_min,最短QTc,integer,ms,200-700,,,N,最短校正QT,QT缩短综合征
QT_Interval,qtc_max,最长QTc,integer,ms,200-700,,,N,最长校正QT,长QT综合征
QT_Interval,qtc_prolonged,QTc延长,boolean,,,,,N,QTc>470ms女/450ms男,TdP风险

HRV,hrv_analysis,心率变异性,boolean,,,,,N,HRV分析,自主神经
HRV,sdnn,SDNN,integer,ms,0-300,,,N,标准差,整体HRV
HRV,rmssd,RMSSD,integer,ms,0-200,,,N,均方根,副交感
HRV,pnn50,pNN50,decimal,%,0-100,,,N,>50ms差值百分比,迷走张力

Pacemaker,pacemaker_present,起搏器,boolean,,,,,N,心脏起搏器,装置
Pacemaker,pacing_percentage,起搏百分比,decimal,%,0-100,,,N,起搏占比,起搏依赖
Pacemaker,pacing_mode,起搏模式,categorical,,"NA,AAI,VVI,DDD,Biventricular",,,N,起搏类型,单腔/双腔
Pacemaker,undersensing,感知不良,boolean,,,,,N,低感知,装置故障
Pacemaker,oversensing,过感知,boolean,,,,,N,过感知,误触发
Pacemaker,pacing_failure,起搏失败,boolean,,,,,N,起搏不夺获,阈值升高

ICD,icd_present,ICD,boolean,,,,,N,植入式除颤器,ICD
ICD,appropriate_shocks,适当放电,integer,,0-100,,,N,真性室速放电,治疗性
ICD,inappropriate_shocks,不适当放电,integer,,0-100,,,N,误放电,SVT误识别

Symptoms_Correlation,symptom_diary,症状日记,boolean,,,,,N,患者记录,症状相关性
Symptoms_Correlation,palpitation_events,心悸事件,integer,,0-1000,,,N,心悸次数,患者按钮
Symptoms_Correlation,syncope_events,晕厥事件,integer,,0-100,,,N,晕厥次数,血流动力学
Symptoms_Correlation,symptom_rhythm_correlation,症状心律相关,categorical,,"None,Partial,Complete",,,N,症状与心律关联,因果关系

Diagnosis,primary_diagnosis,主要诊断,string,,,,,Y,Holter诊断,心律失常类型
Diagnosis,clinical_significance,临床意义,categorical,,"Benign,Potentially_Significant,Clinically_Significant,Life_Threatening",,,Y,临床重要性,治疗决策

Recommendations,further_evaluation,进一步检查,string,,,,,N,建议检查,心超/电生理等
Recommendations,therapy_recommendation,治疗建议,string,,,,,N,处理建议,药物/消融/装置

Report,cardiologist,心内科医师,string,,,,,Y,诊断医师,责任医师
Report,report_date,报告日期,date,,,,,Y,报告时间,文档记录
