Category,Subcategory,Field_Name,Field_Name_CN,Data_Type,Unit,Value_Range,Normal_Range,Abnormal_Indicators,Clinical_Significance,Interpretation_Logic,Related_Diseases,Risk_Level,Recommended_Actions,LOINC_Code,Notes
Basic_Info,Patient_Info,patient_id,患者ID,String,,,,,Patient unique identifier,,,Low,,,"Unique patient identifier"
Basic_Info,Patient_Info,exam_date,检查日期,Date,,,,,Date of examination,,,Low,,,"Format: YYYY-MM-DD"
Basic_Info,Patient_Info,patient_age,患者年龄,Integer,years,0-120,,,"Age at diagnosis","Peak incidence 50-60 years",,Low,,,More common in older adults
Basic_Info,Patient_Info,patient_gender,患者性别,Categorical,,Male/Female,,,"Gender","Women 3-4 times more common than men",,Low,,,"Female predominance"
Basic_Info,Patient_Info,menopausal_status,绝经状态,Categorical,,"Premenopausal/Postmenopausal/N/A",,,"Menopausal status (females)","Postmenopausal women at highest risk",,Medium,,,Estrogen loss increases risk

Laboratory,Calcium,serum_calcium,血清钙,Float,mg/dL,7-15,8.5-10.5,>10.5,"Total serum calcium","Hallmark of PHPT",Hypercalcemia,Critical,Diagnostic parameter,17861-6,"Corrected for albumin if needed"
Laboratory,Calcium,corrected_calcium,校正血钙,Float,mg/dL,7-15,8.5-10.5,>10.5,"Albumin-corrected calcium","Adjust for low albumin: Ca + 0.8*(4-albumin)",,Critical,Use if albumin abnormal,,"More accurate than total Ca"
Laboratory,Calcium,ionized_calcium,离子钙,Float,mmol/L,0.8-1.5,1.12-1.32,>1.32,"Ionized (free) calcium","Gold standard, unaffected by albumin",Hypercalcemia,Critical,Most accurate measurement,1994-3,"Preferred if available"
Laboratory,Calcium,hypercalcemia_severity,高钙血症严重程度,Categorical,,"Normal/Mild/Moderate/Severe",,Any,"Severity of hypercalcemia","Mild 10.5-12; Moderate 12-14; Severe >14 mg/dL",,High,Severe requires urgent treatment,,"Based on corrected calcium"
Laboratory,Calcium,calcium_trend,血钙趋势,Categorical,,"Stable/Rising/Falling",,Rising,"Trend of calcium levels over time","Rising: progressive disease",,Medium,Serial monitoring,,

Laboratory,PTH,intact_pth,全段甲状旁腺激素,Float,pg/mL,5-200,10-65,>65,"Intact PTH level","Inappropriately normal or elevated in PHPT",Primary_Hyperparathyroidism,Critical,Diagnostic hallmark,2731-8,"Key diagnostic test"
Laboratory,PTH,pth_calcium_relationship,PTH与钙关系,Categorical,,"Appropriate/Inappropriate",,Inappropriate,"PTH appropriateness for calcium level","PTH should be suppressed if Ca high; if normal/high: PHPT",PHPT,Critical,Defines primary vs secondary,,"PTH >20 with hypercalcemia inappropriate"
Laboratory,PTH,pth_elevation_degree,PTH升高程度,Categorical,,"Normal/Mildly_elevated/Moderately_elevated/Markedly_elevated",,Any,"Degree of PTH elevation","Mild: 1-2x ULN; Moderate: 2-5x; Marked: >5x ULN",,High,Higher suggests adenoma vs hyperplasia,,"Level doesn't predict severity"

Laboratory,Phosphorus,serum_phosphorus,血清磷,Float,mg/dL,1-6,2.5-4.5,<2.5,"Serum phosphate","Low-normal or frankly low in PHPT",Hypophosphatemia,Medium,PTH increases phosphate excretion,2777-1,"May be normal"
Laboratory,Phosphorus,calcium_phosphorus_product,钙磷乘积,Float,mg²/dL²,20-80,<55,>55,"Ca x PO4 product","Risk of ectopic calcification if >55",,Medium,Assess calcification risk,,"Usually normal in PHPT"
Laboratory,Phosphorus,renal_phosphate_threshold,肾磷阈值,Float,mg/dL,2.5-4.2,2.5-4.2,<2.5,"TmP/GFR (tubular reabsorption)","Decreased in PHPT",,Low,Specialized test,,"Reflects PTH effect on kidney"

Laboratory,Vitamin_D,25oh_vitamin_d,25羟维生素D,Float,ng/mL,5-100,30-100,<20,"25-OH vitamin D","Often low in PHPT",Vitamin_D_Deficiency,High,Check and supplement,1989-3,"Low D worsens PHPT"
Laboratory,Vitamin_D,vitamin_d_status,维生素D状态,Categorical,,"Deficient/Insufficient/Sufficient",,Deficient/Insufficient,"Vitamin D status","<20: deficient; 20-30: insufficient; >30: sufficient",,High,Replicate before surgery,,"Correct before parathyroidectomy"
Laboratory,Vitamin_D,1_25oh_vitamin_d,1,25双羟维生素D,Float,pg/mL,15-75,19-67,>67,"1,25-(OH)2 vitamin D (calcitriol)","May be elevated in PHPT",,Low,Usually not needed,,"PTH stimulates 1-alpha-hydroxylase"

Laboratory,Bone_Markers,alkaline_phosphatase,碱性磷酸酶,Float,U/L,20-200,40-130,>130,"Alkaline phosphatase","Bone turnover marker, may be elevated",Bone_Turnover,Medium,Bone-specific isoform better,6768-6,"Reflects osteoblast activity"
Laboratory,Bone_Markers,bone_specific_alp,骨特异性碱性磷酸酶,Float,μg/L,5-50,<20,>20,"Bone-specific ALP","More specific for bone turnover",,Medium,If total ALP elevated,,"Elevated in high-turnover PHPT"
Laboratory,Bone_Markers,ctx,I型胶原C端肽,Float,ng/mL,0.1-1.5,<0.57 (F), <0.70 (M),>0.57/>0.70,"C-terminal telopeptide (CTX)","Bone resorption marker",,Medium,Reflects osteoclast activity,,"Elevated in PHPT"
Laboratory,Bone_Markers,p1np,I型前胶原N端肽,Float,ng/mL,10-150,<76 (postmenopausal F),>76,"Procollagen type 1 N-terminal propeptide","Bone formation marker",,Medium,Reflects osteoblast activity,,"May be elevated"

Laboratory,Renal_Function,serum_creatinine,血清肌酐,Float,mg/dL,0.3-3.0,0.6-1.2,>1.2,"Serum creatinine","Assess kidney function",,High,Baseline renal function,2160-0,"PHPT can cause CKD"
Laboratory,Renal_Function,egfr,肾小球滤过率,Float,mL/min/1.73m²,10-150,>60,<60,"Estimated GFR","CKD if <60",,High,Monitor kidney function,,"PHPT is surgical if eGFR <60"
Laboratory,Renal_Function,24hr_urine_calcium,24小时尿钙,Float,mg/24hr,50-500,<400 (M), <300 (F),>400/>300,"24-hour urinary calcium excretion","High: risk of stones; Low: FHH consideration",Hypercalciuria,High,Differentiate PHPT from FHH,6874-2,">400 mg/day abnormal"
Laboratory,Renal_Function,calcium_creatinine_clearance_ratio,钙肌酐清除率比值,Float,ratio,0.001-0.03,<0.01,>0.02,"Ca/Cr clearance ratio","PHPT: >0.02; FHH: <0.01",FHH,High,Distinguish FHH from PHPT,,"FHH: ratio <0.01"
Laboratory,Renal_Function,fena_calcium,尿钙排泄分数,Float,%,0.5-5,1-2,>2,"Fractional excretion of calcium","Elevated in PHPT",,Medium,,,

