字段名 (英文),字段名 (中文),数据类型,描述,示例
examDate,检查日期,String,进行高血压检查的日期,2025-08-15
hypertensionType,高血压类型,String,"高血压分类。<br>**建议值**: `原发性高血压`, `继发性高血压`, `单纯收缩期高血压`, `白大衣高血压`, `隐匿性高血压`",原发性高血压
hypertensionDuration,高血压病程,Number,"高血压诊断至今的年数。<br>单位: 年",8
hypertensionStage,高血压分级,String,"高血压分级。<br>**建议值**: `正常`, `正常高值`, `1级高血压`, `2级高血压`, `3级高血压`",2级高血压
officeBloodPressure.systolic,诊室血压.收缩压,Number,"诊室收缩压。<br>单位: mmHg<br>**分级标准**: <120(正常), 120-139(正常高值), 140-159(1级), 160-179(2级), ≥180(3级)",165
officeBloodPressure.diastolic,诊室血压.舒张压,Number,"诊室舒张压。<br>单位: mmHg<br>**分级标准**: <80(正常), 80-89(正常高值), 90-99(1级), 100-109(2级), ≥110(3级)",95
officeBloodPressure.pulse,诊室血压.脉压,Number,"脉压差。<br>单位: mmHg<br>**计算公式**: 收缩压-舒张压",70
officeBloodPressure.meanArterialPressure,诊室血压.平均动脉压,Number,"平均动脉压。<br>单位: mmHg<br>**计算公式**: (收缩压+2×舒张压)/3",118
homeBloodPressure.systolic,家庭血压.收缩压,Number,"家庭自测收缩压平均值。<br>单位: mmHg<br>**诊断标准**: ≥135为高血压",140
homeBloodPressure.diastolic,家庭血压.舒张压,Number,"家庭自测舒张压平均值。<br>单位: mmHg<br>**诊断标准**: ≥85为高血压",88
ambulatoryBloodPressure.24hSystolic,动态血压.24小时收缩压,Number,"24小时平均收缩压。<br>单位: mmHg<br>**诊断标准**: ≥130为高血压",145
ambulatoryBloodPressure.24hDiastolic,动态血压.24小时舒张压,Number,"24小时平均舒张压。<br>单位: mmHg<br>**诊断标准**: ≥80为高血压",90
ambulatoryBloodPressure.daytimeSystolic,动态血压.白天收缩压,Number,"白天平均收缩压。<br>单位: mmHg<br>**诊断标准**: ≥135为高血压",150
ambulatoryBloodPressure.daytimeDiastolic,动态血压.白天舒张压,Number,"白天平均舒张压。<br>单位: mmHg<br>**诊断标准**: ≥85为高血压",92
ambulatoryBloodPressure.nighttimeSystolic,动态血压.夜间收缩压,Number,"夜间平均收缩压。<br>单位: mmHg<br>**诊断标准**: ≥120为高血压",135
ambulatoryBloodPressure.nighttimeDiastolic,动态血压.夜间舒张压,Number,"夜间平均舒张压。<br>单位: mmHg<br>**诊断标准**: ≥70为高血压",85
bloodPressureVariability.systolic,血压变异性.收缩压标准差,Number,"收缩压标准差，反映血压变异性。<br>单位: mmHg",15.2
bloodPressureVariability.diastolic,血压变异性.舒张压标准差,Number,"舒张压标准差，反映血压变异性。<br>单位: mmHg",8.5
