Category,Field_Name,Chinese_Name,Data_Type,Unit,Valid_Range,LOINC_Code,Required,Description,Clinical_Significance
Basic_Info,patient_id,患者ID,string,,,,,Y,唯一患者标识,用于患者追踪
Basic_Info,diagnosis_date,确诊日期,date,,,,,Y,甲亢确诊日期,疾病起点
Basic_Info,age_at_diagnosis,确诊年龄,integer,years,0-120,,,N,甲亢确诊时年龄,青壮年多见
Basic_Info,gender,性别,categorical,,,"Male,Female,Other",,,Y,患者性别,女性更常见(5-10:1)
Basic_Info,ethnicity,种族,categorical,,,"Han,Minority,Caucasian,African,Asian,Other",,,N,种族背景,Graves病风险差异

Etiology,primary_diagnosis,主要病因,categorical,,,"Graves_Disease,Toxic_Multinodular_Goiter,Toxic_Adenoma,Thyroiditis,Iodine_Induced,TSH_Secreting_Adenoma,HCG_Mediated,Factitious,Other",,,Y,甲亢病因分类,Graves占70-80%
Etiology,graves_disease,Graves病,categorical,,,"Yes,No,Suspected",,,N,是否Graves病,自身免疫性甲亢
Etiology,toxic_nodular,毒性结节性甲状腺肿,categorical,,,"Multinodular,Solitary_Adenoma,No",,,N,结节性甲亢,老年多见
Etiology,thyroiditis_type,甲状腺炎类型,categorical,,,"Subacute,Painless,Postpartum,Hashitoxicosis,None",,,N,甲状腺炎分型,一过性甲亢
Etiology,medication_induced,药物诱发,categorical,,,"Amiodarone,Iodine_Contrast,Lithium,Interferon,None",,,N,药物相关甲亢,碘负荷/胺碘酮

Presentation_Symptoms,symptom_onset_date,症状起始日期,date,,,,,N,首次出现症状时间,病程评估
Presentation_Symptoms,palpitations,心悸,categorical,,,"Severe,Moderate,Mild,None",,,N,心悸程度,高代谢症状
Presentation_Symptoms,weight_loss,体重下降,categorical,,,"Yes,No",,,N,是否体重减轻,食欲亢进仍消瘦
Presentation_Symptoms,weight_change,体重变化,decimal,kg,-50-50,,,N,体重改变量,典型减轻5-15kg
Presentation_Symptoms,heat_intolerance,怕热,categorical,,,"Severe,Moderate,Mild,None",,,N,怕热程度,高代谢表现
Presentation_Symptoms,sweating,多汗,categorical,,,"Severe,Moderate,Mild,None",,,N,出汗程度,交感兴奋
Presentation_Symptoms,tremor,震颤,categorical,,,"Fine_Tremor,Coarse_Tremor,None",,,N,手震颤,细震颤特征
Presentation_Symptoms,fatigue,乏力,categorical,,,"Severe,Moderate,Mild,None",,,N,疲劳程度,肌病表现
Presentation_Symptoms,anxiety,焦虑,categorical,,,"Severe,Moderate,Mild,None",,,N,焦虑程度,精神症状
Presentation_Symptoms,irritability,易激惹,categorical,,,"Yes,No",,,N,是否易激惹,情绪改变
Presentation_Symptoms,insomnia,失眠,categorical,,,"Severe,Moderate,Mild,None",,,N,失眠程度,睡眠障碍
Presentation_Symptoms,diarrhea,腹泻,categorical,,,"Frequent,Occasional,None",,,N,腹泻情况,肠蠕动亢进
Presentation_Symptoms,oligomenorrhea,月经减少,categorical,,,"Yes,No,NA",,,N,月经改变(女性),生育影响

Physical_Exam,heart_rate,心率,integer,bpm,30-300,8867-4,,N,静息心率,窦性心动过速常见
Physical_Exam,systolic_bp,收缩压,integer,mmHg,60-250,8480-6,,N,收缩压,脉压增大
Physical_Exam,diastolic_bp,舒张压,integer,mmHg,30-150,8462-4,,N,舒张压,舒张压偏低
Physical_Exam,atrial_fibrillation,房颤,categorical,,,"Yes,No",,,N,是否房颤,老年甲亢常见
Physical_Exam,goiter,甲状腺肿大,categorical,,,"None,Grade_1,Grade_2,Grade_3",,,N,甲状腺肿大程度,WHO分级
Physical_Exam,goiter_characteristics,甲状腺特征,categorical,,,"Diffuse_Smooth,Nodular,Firm,Tender,Normal",,,N,甲状腺触诊,Graves弥漫光滑
Physical_Exam,thyroid_bruit,甲状腺血管杂音,categorical,,,"Present,Absent",,,N,是否有血管杂音,Graves病特征
Physical_Exam,skin_changes,皮肤改变,categorical,,,"Warm_Moist,Pretibial_Myxedema,Normal,Other",,,N,皮肤表现,胫前黏液水肿
Physical_Exam,proximal_myopathy,近端肌病,categorical,,,"Present,Absent",,,N,是否近端肌无力,甲亢性肌病

Graves_Ophthalmopathy,eye_involvement,眼部受累,categorical,,,"Yes,No",,,N,是否有眼病,25-50% Graves患者
Graves_Ophthalmopathy,proptosis,突眼,categorical,,,"Severe,Moderate,Mild,None",,,N,眼球突出程度,Graves眼病
