fieldName,fieldNameCN,dataType,description,examples
examDate,检查日期,String,检查日期，格式YYYY-MM-DD,2024-12-01
patientID,患者唯一标识符,String,患者的唯一标识符,P202401001
patientName,患者姓名,String,患者的姓名,张三
clinicalIndication,临床适应症,String,进行低血糖风险评估的临床适应症,低血糖风险评估
diagnosisImpression,诊断印象,String,基于评估结果的诊断印象,低血糖高风险/中度风险/低风险
recommendation,建议,String,基于评估结果的建议,加强低血糖预防措施和应急处理培训

# 基本信息
ageAtAssessment,评估时年龄,Number,患者评估时的年龄（岁）,68
gender,性别,String,患者性别,男/女
diabetesType,糖尿病类型,String,患者的糖尿病类型,1型糖尿病/2型糖尿病/妊娠糖尿病/其他特殊类型
diabetesDuration,糖尿病病程,Number,患者糖尿病诊断时间（年）,15.8
currentTreatment,当前治疗方案,String,患者当前的治疗方案,口服药物/胰岛素/联合治疗/生活方式干预
hbA1cLevel,糖化血红蛋白,Number,最近一次糖化血红蛋白水平（%）,6.8
recentFastingGlucose,近期空腹血糖,Number,近期空腹血糖水平（mmol/L）,5.8

# 低血糖病史
hypoglycemiaHistoryPresence,低血糖史存在,String,是否有低血糖病史,是/否
severehypoglycemiaHistory,严重低血糖史,String,是否有严重低血糖史,是/否
lastHypoglycemiaEpisode,最近低血糖发作,String,最近一次低血糖发作时间,1周内/1月内/3月内/6月内/1年内/1年以上/无
hypoglycemiaFrequency,低血糖频率,Number,近3个月低血糖发作次数,3
severeHypoglycemiaFrequency,严重低血糖频率,Number,近1年严重低血糖发作次数,0
unconsciousnessHistory,意识丧失史,String,是否有低血糖导致意识丧失史,是/否
seizureHistory,抽搐史,String,是否有低血糖导致抽搐史,是/否
hospitalizationHistory,住院史,String,是否有因低血糖住院史,是/否

# 低血糖症状认知
classicalSymptomsRecognition,典型症状识别,Number,典型低血糖症状识别能力评分（1-5分）,3.5
autonomicSymptomsRecognition,自主神经症状识别,Number,自主神经症状识别能力评分（1-5分）,3.2
neuroglycopenicSymptomsRecognition,神经性低血糖症状识别,Number,神经性低血糖症状识别能力评分（1-5分）,2.8
earlyWarningSignsAwareness,早期预警信号意识,Number,早期低血糖预警信号认知评分（1-5分）,3.0
symptomVariabilityAwareness,症状变异性认知,Number,个人低血糖症状变异性认知评分（1-5分）,2.6
asymptomaticHypoglycemiaAwareness,无症状低血糖认知,Number,无症状低血糖风险认知评分（1-5分）,2.4

# 低血糖无感知症
hypoglycemiaUnawarenessPresence,低血糖无感知存在,String,是否存在低血糖无感知症,是/否
awarenessScore,感知评分,Number,低血糖感知能力评分（1-7分），7分为完全感知,4
symptomsBluntingDegree,症状迟钝程度,Number,低血糖症状迟钝程度评分（1-5分）,3
thresholdShift,阈值偏移,String,低血糖症状出现阈值是否偏移,是/否
counterregulatoryResponse,反调节反应,String,低血糖反调节反应是否受损,正常/轻度受损/中度受损/重度受损
recurrentHypoglycemiaImpact,反复低血糖影响,Number,反复低血糖对感知能力影响评分（1-5分）,3.2
awarenessTrainingHistory,感知训练史,String,是否接受过低血糖感知训练,是/否

# 药物相关风险因素
insulinType,胰岛素类型,String,使用的胰岛素类型,速效/短效/中效/长效/预混/无胰岛素
insulinRegimen,胰岛素方案,String,胰岛素治疗方案,基础/餐时/基础+餐时/预混/强化治疗
sulfonylureaUse,磺脲类药物使用,String,是否使用磺脲类药物,是/否
meglitinideUse,格列奈类药物使用,String,是否使用格列奈类药物,是/否
otherHypoglycemicdrugs,其他降糖药,String,其他可能导致低血糖的药物,是/否
drugInteractions,药物相互作用,String,是否存在增加低血糖风险的药物相互作用,是/否
dosageAppropriatenss,剂量适当性,String,当前药物剂量适当性,适当/偏高/明显过量

# 血糖控制模式
glycemicVariability,血糖变异性,String,血糖变异性程度,低/中等/高/极高
