字段名(英文),字段名(中文),数据类型,描述,示例
patientId,患者ID,String,患者唯一标识符,P123456
eventDate,事件日期,Date,低血糖事件发生日期,2025-01-15
eventTime,事件时间,String,低血糖发生时间,03:30
eventType,事件类型,String,"**建议值**: `单次低血糖事件`, `反复低血糖评估`, `严重低血糖`, `无症状性低血糖`, `夜间低血糖`, `运动相关低血糖`",严重低血糖

classification.level,分级.低血糖水平,String,"**ADA 2023分级**:<br>**1级(警戒值)**: 葡萄糖3.0-3.9 mmol/L(54-70 mg/dL),需采取行动<br>**2级(临床显著)**: 葡萄糖<3.0 mmol/L(<54 mg/dL),严重低血糖风险<br>**3级(严重)**: 认知障碍,需外界帮助,无特定血糖阈值<br>**建议值**: `1级`, `2级`, `3级(严重)`",3级(严重)
classification.symptomatic,分级.症状性低血糖,String,"**建议值**: `有症状`, `无症状(未察觉)`, `症状不典型`",有症状
classification.nocturnal,分级.夜间低血糖,String,"**建议值**: `否`, `是(00:00-06:00)`, `不详`",是
classification.recurrent,分级.反复低血糖,String,"过去1周内低血糖频率。<br>**建议值**: `单次事件`, `2-3次/周`, `≥4次/周(频繁)`, `每日多次`",单次事件

glucose.lowestValue,血糖.最低血糖值,Number,"记录的最低血糖值。<br>单位: mmol/L<br>**<3.9**: 低血糖<br>**<3.0**: 显著低血糖<br>**<2.8**: 严重低血糖",2.3
glucose.lowestValueMgDl,血糖.最低血糖值(mg/dL),Number,"最低血糖值。<br>单位: mg/dL",41
glucose.measurementMethod,血糖.测量方法,String,"**建议值**: `毛细血管血糖(SMBG)`, `CGM实时数据`, `CGM回顾性数据`, `静脉血糖(实验室)`, `急诊快速血糖`, `未测量(仅症状)`",毛细血管血糖
glucose.cgmAlert,血糖.CGM低血糖预警,String,"如使用CGM。<br>**建议值**: `不适用`, `有预警但未采取行动`, `预警后及时处理`, `无预警(设置阈值过低/关闭)`, `无CGM`",不适用

symptoms.autonomic,症状.自主神经症状,String,"**肾上腺素能反应**(血糖<3.9时)。<br>**示例**: `心悸`, `颤抖`, `出汗`, `饥饿感`, `焦虑/紧张`, `面色苍白`, `无自主神经症状`",心悸;出汗;颤抖
symptoms.neuroglycopenic,症状.神经性低血糖症状,String,"**中枢神经系统功能障碍**(血糖<3.0时)。<br>**示例**: `意识模糊`, `注意力不集中`, `言语困难`, `视物模糊`, `头晕`, `行为异常`, `嗜睡`, `昏迷`, `癫痫发作`, `偏瘫(可误诊为卒中)`, `无神经症状`",意识模糊;癫痫发作
symptoms.nonspecific,症状.非特异性症状,String,"**示例**: `恶心`, `头痛`, `疲劳`, `无力`, `无非特异症状`",头痛
symptoms.noSymptoms,症状.无症状性低血糖,String,"**未察觉低血糖**(Impaired Awareness of Hypoglycemia, IAH)。<br>**建议值**: `有症状`, `无症状(未察觉)`, `症状减轻(部分未察觉)`<br>**IAH**: 反复低血糖导致自主神经反应阈值下降",无症状

timing.relationToMeal,时机.与进餐关系,String,"**建议值**: `空腹(餐前)`, `餐后1-2小时`, `餐后3-5小时(晚期餐后低血糖)`, `夜间(睡眠中)`, `不确定`",空腹
timing.relationToExercise,时机.与运动关系,String,"**建议值**: `运动中`, `运动后0-12小时`, `运动后12-24小时(延迟性)`, `与运动无关`",运动后12-24小时
timing.relationToAlcohol,时机.与饮酒关系,String,"**建议值**: `饮酒后6-24小时内`, `与饮酒无关`",与饮酒无关

severity.consciousnessLevel,严重程度.意识水平,String,"**建议值**: `清醒`, `嗜睡`, `意识模糊`, `昏迷`, `癫痫发作`",昏迷
severity.assistanceRequired,严重程度.需外界帮助,String,"**严重低血糖定义**: 需他人帮助恢复。<br>**建议值**: `自行处理`, `需提醒但可自行进食`, `需他人喂食`, `需静脉葡萄糖/胰高糖素`,需静脉葡萄糖
severity.motorFunction,严重程度.运动功能,String,"**建议值**: `正常`, `震颤/不协调`, `肢体无力`, `癫痫发作`, `去大脑强直`",癫痫发作

treatment.oralGlucose,处理.口服葡萄糖,String,"**15-15法则**: 15g快速碳水化合物(葡萄糖片3-4片/果汁150mL/蜂蜜1汤匙),15分钟后复测。<br>**建议值**: `未使用(无法口服)`, `使用(剂量)`,未使用
treatment.glucagon,处理.胰高糖素,String,"**适应证**: 无法口服/昏迷。<br>**剂量**: 1mg IM/SC(成人),0.5mg(<25kg儿童)<br>**鼻用胰高糖素**: 3mg鼻喷<br>**建议值**: `未使用`, `1mg IM`, `鼻用3mg`, `微量胰高糖素(0.1-0.2mg)`,1mg IM
treatment.ivGlucose,处理.静脉葡萄糖,String,"**急诊/昏迷**: 25-50mL 50%葡萄糖IV推注(12.5-25g),随后10%葡萄糖持续输注。<br>**示例**: `50mL 50%葡萄糖IV bolus`, `10%葡萄糖100mL/h`, `未使用`,50mL 50%葡萄糖IV
treatment.responseTime,处理.恢复时间,Number,"从治疗到血糖>3.9mmol/L且症状缓解的时间。<br>单位: 分钟<br>**口服糖**: 10-20分钟<br>**胰高糖素**: 10-15分钟<br>**IV葡萄糖**: 5-10分钟",15

treatment.emergencyServices,处理.急救服务,String,"**建议值**: `未呼叫`, `呼叫120`, `家人送医`, `自行就医`",呼叫120
treatment.hospitalAdmission,处理.住院,String,"**建议值**: `未住院(门急诊处理后出院)`, `留观`, `住院`, `ICU`",留观
treatment.duration,处理.观察时长,Number,"急诊/住院观察时长。<br>单位: 小时<br>**长效胰岛素/磺脲类**: 需观察12-24小时",6

diabetesHistory.diabetesType,糖尿病史.糖尿病类型,String,"**建议值**: `1型糖尿病`, `2型糖尿病`, `妊娠糖尿病`, `无糖尿病(其他原因低血糖)`, `糖尿病前期`, `反应性低血糖(餐后)`",1型糖尿病
diabetesHistory.duration,糖尿病史.糖尿病病程,Number,"糖尿病病程。<br>单位: 年<br>**病程长**: 低血糖未察觉风险增加",15
diabetesHistory.lastHbA1c,糖尿病史.最近HbA1c,Number,"最近一次HbA1c(3个月内)。<br>单位: %<br>**<7%**: 严格控制,低血糖风险高<br>**快速下降**: 低血糖风险高",6.5
